##NAMES=Adelite
##RRUFFID=R140962
##IDEAL CHEMISTRY=CaMgAs^5+^O_4_(OH)
##LOCALITY=Sterling Hill, Ogdensburg, Franklin Mining District, Sussex County, New Jersey, USA
##OWNER=RRUFF
##SOURCE=Marcus Origlieri
##DESCRIPTION=Massive aggregate of smokey orange granular crystals, associated with red zincite and black franklinite
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R140962
139.2411, 0.0000000E+00
139.7232, 1.144043
140.2053, 2.694336
140.6874, 3.852783
141.1696, 4.937988
141.6517, 6.800537
142.1338, 10.29712
142.6159, 12.64819
143.0980, 12.74219
143.5801, 10.00952
144.0623, 8.625000
144.5444, 9.090332
145.0265, 10.73999
145.5086, 12.47510
145.9907, 14.98633
146.4728, 16.86206
146.9550, 17.34351
147.4371, 15.15991
147.9192, 15.74097
148.4013, 20.58105
148.8834, 28.05200
149.3655, 32.67139
149.8477, 33.45898
150.3298, 32.48584
150.8119, 30.42358
151.2940, 26.90015
151.7761, 22.78638
152.2583, 16.87964
152.7404, 10.23755
153.2225, 5.868652
153.7046, 6.752441
154.1867, 8.023926
154.6688, 7.394531
155.1510, 1.737549
155.6331, 2.290527
156.1152, 2.656494
156.5973, 0.2565920
157.0794, 1.372070
157.5615, 0.6552730
158.0437, 0.5192870
158.5258, 0.9858400
159.0079, 4.4922002E-02
159.4900, 1.177490
159.9721, 1.786133
160.4542, 2.118408
160.9364, 4.130371
161.4185, 9.443848
161.9006, 16.28516
162.3827, 23.22339
162.8648, 30.47021
163.3469, 37.16284
163.8291, 42.98120
164.3112, 47.87598
164.7933, 52.01709
165.2754, 55.08374
165.7575, 57.58203
166.2396, 60.02930
166.7218, 63.47681
167.2039, 66.24780
167.6860, 67.40210
168.1681, 66.91357
168.6502, 64.99561
169.1323, 61.21265
169.6145, 56.21948
170.0966, 50.91943
170.5787, 44.90308
171.0608, 39.22217
171.5429, 34.42725
172.0250, 30.48657
172.5072, 28.37134
172.9893, 30.85303
173.4714, 35.54956
173.9535, 38.05542
174.4356, 34.16187
174.9177, 28.03809
175.3999, 24.48853
175.8820, 23.76611
176.3641, 24.58691
176.8462, 26.94409
177.3283, 30.03589
