##NAMES=Alluaudite
##RRUFFID=R160082
##IDEAL CHEMISTRY=NaMn^2+^Fe^3+^_2_(PO_4_)_3_
##LOCALITY=Custer, South Dakota, USA
##OWNER=UAMM
##SOURCE=Rock Currier
##DESCRIPTION=Dark green massive, associated with muscovite
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R160082
8.806445e+001, 2.392789e+002
8.854657e+001, 2.394654e+002
8.902869e+001, 2.395421e+002
8.951080e+001, 2.394504e+002
8.999292e+001, 2.392751e+002
9.047504e+001, 2.391756e+002
9.095715e+001, 2.392439e+002
9.143927e+001, 2.391770e+002
9.192139e+001, 2.384397e+002
9.240350e+001, 2.370627e+002
9.288562e+001, 2.356356e+002
9.336774e+001, 2.329156e+002
9.384985e+001, 2.274916e+002
9.433197e+001, 2.194819e+002
9.481409e+001, 2.118886e+002
9.529620e+001, 2.044052e+002
9.577832e+001, 1.979430e+002
9.626044e+001, 1.926161e+002
9.674255e+001, 1.881032e+002
9.722467e+001, 1.840267e+002
9.770679e+001, 1.803445e+002
9.818890e+001, 1.770185e+002
9.867102e+001, 1.741415e+002
9.915314e+001, 1.714167e+002
9.963525e+001, 1.685372e+002
1.001174e+002, 1.653440e+002
1.005995e+002, 1.619756e+002
1.010816e+002, 1.589348e+002
1.015637e+002, 1.559826e+002
1.020458e+002, 1.536071e+002
1.025280e+002, 1.519304e+002
1.030101e+002, 1.508150e+002
1.034922e+002, 1.500491e+002
1.039743e+002, 1.494883e+002
1.044564e+002, 1.491318e+002
1.049385e+002, 1.491942e+002
1.054207e+002, 1.503800e+002
1.059028e+002, 1.512785e+002
1.063849e+002, 1.509963e+002
1.068670e+002, 1.495558e+002
1.073491e+002, 1.477583e+002
1.078312e+002, 1.462127e+002
1.083134e+002, 1.449343e+002
1.087955e+002, 1.440466e+002
1.092776e+002, 1.438786e+002
1.097597e+002, 1.440183e+002
1.102418e+002, 1.438922e+002
1.107239e+002, 1.434122e+002
1.112061e+002, 1.426656e+002
1.116882e+002, 1.418668e+002
1.121703e+002, 1.409674e+002
1.126524e+002, 1.396479e+002
1.131345e+002, 1.376200e+002
1.136166e+002, 1.349091e+002
1.140988e+002, 1.320143e+002
1.145809e+002, 1.285926e+002
1.150630e+002, 1.253402e+002
1.155451e+002, 1.227216e+002
1.160272e+002, 1.207269e+002
1.165093e+002, 1.190113e+002
1.169915e+002, 1.171257e+002
1.174736e+002, 1.149085e+002
1.179557e+002, 1.129672e+002
1.184378e+002, 1.112726e+002
1.189199e+002, 1.098516e+002
1.194020e+002, 1.087633e+002
1.198842e+002, 1.080176e+002
1.203663e+002, 1.075356e+002
1.208484e+002, 1.071369e+002
1.213305e+002, 1.069912e+002
1.218126e+002, 1.067359e+002
1.222947e+002, 1.064711e+002
1.227769e+002, 1.060672e+002
1.232590e+002, 1.053047e+002
1.237411e+002, 1.040290e+002
1.242232e+002, 1.023865e+002
1.247053e+002, 1.010290e+002
1.251874e+002, 9.993320e+001
1.256696e+002, 9.905741e+001
1.261517e+002, 9.846807e+001
1.266338e+002, 9.811779e+001
1.271159e+002, 9.779253e+001
1.275980e+002, 9.736377e+001
1.280801e+002, 9.686293e+001
1.285623e+002, 9.641438e+001
1.290444e+002, 9.623031e+001
1.295265e+002, 9.595597e+001
1.300086e+002, 9.518009e+001
1.304907e+002, 9.382857e+001
1.309728e+002, 9.235262e+001
1.314550e+002, 9.088876e+001
1.319371e+002, 8.950101e+001
1.324192e+002, 8.832703e+001
1.329013e+002, 8.747533e+001
1.333834e+002, 8.686660e+001
1.338655e+002, 8.627041e+001
1.343477e+002, 8.567847e+001
1.348298e+002, 8.511556e+001
1.353119e+002, 8.457202e+001
1.357940e+002, 8.406275e+001
1.362761e+002, 8.361576e+001
1.367582e+002, 8.325009e+001
1.372404e+002, 8.296799e+001
1.377225e+002, 8.275566e+001
1.382046e+002, 8.286647e+001
1.386867e+002, 8.282500e+001
1.391688e+002, 8.244160e+001
1.396509e+002, 8.174660e+001
1.401331e+002, 8.089177e+001
1.406152e+002, 8.001054e+001
1.410973e+002, 7.909196e+001
1.415794e+002, 7.820934e+001
1.420615e+002, 7.731760e+001
1.425436e+002, 7.648296e+001
1.430258e+002, 7.568986e+001
1.435079e+002, 7.495696e+001
1.439900e+002, 7.438924e+001
1.444721e+002, 7.416652e+001
1.449542e+002, 7.451436e+001
1.454363e+002, 7.462952e+001
1.459185e+002, 7.432849e+001
1.464006e+002, 7.384104e+001
1.468827e+002, 7.340878e+001
1.473648e+002, 7.309375e+001
