##NAMES=Dickinsonite-(KMnNa)
##RRUFFID=R160070
##IDEAL CHEMISTRY=K(NaMn^2+^)CaNa_3_AlMn^2+^_13_(PO_4_)_12_(OH)_2_
##LOCALITY=Smith mine, Newport, New Hampshire, USA
##OWNER=UAMM
##SOURCE=Rock Currier
##DESCRIPTION=Pale yellowish green granular crystals, associated with muscovite and albite.
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R160070
99.15314, 0.0000000E+00
99.63525, 1.240509
100.1174, 1.969360
100.5995, 2.025452
101.0816, 1.738831
101.5637, 0.6021120
102.0458, 6.8024002E-02
102.5280, 6.9977000E-02
103.0101, 0.4427190
103.4922, 0.8569030
103.9743, 1.364197
104.4564, 1.695129
104.9385, 3.447906
105.4207, 8.072144
105.9028, 12.44543
106.3849, 15.12592
106.8670, 16.02548
107.3491, 15.22266
107.8312, 11.99725
108.3134, 6.444550
108.7955, 2.302856
109.2776, 1.076752
109.7597, 1.515930
110.2418, 1.728790
110.7239, 1.643036
111.2061, 1.290161
111.6882, 1.031982
112.1703, 0.9865110
112.6524, 1.326141
113.1345, 2.126801
113.6166, 3.363434
114.0988, 4.310181
114.5809, 4.934235
115.0630, 5.167542
115.5451, 4.884766
116.0272, 4.164734
116.5093, 3.434845
116.9915, 3.272156
117.4736, 4.035187
117.9557, 4.087128
118.4378, 2.815979
118.9199, 1.199249
119.4020, 6.3660003E-02
119.8842, 0.2236020
120.3663, 0.1568600
120.8484, 0.7027590
121.3305, 0.8136290
121.8126, 1.524292
122.2947, 3.872803
122.7769, 6.586121
123.2590, 8.298859
123.7411, 8.387268
124.2232, 7.457947
124.7053, 6.615417
125.1874, 5.538116
125.6696, 5.383392
126.1517, 6.256653
126.6338, 7.458878
127.1159, 8.406113
127.5980, 9.115311
128.0801, 9.607147
128.5623, 9.923035
129.0444, 9.948959
129.5265, 9.889297
130.0086, 9.974472
130.4907, 10.36459
130.9728, 10.56215
131.4550, 9.992371
131.9371, 8.983994
132.4192, 7.948685
132.9013, 6.991745
133.3834, 6.108826
133.8655, 5.330902
134.3477, 4.566635
134.8298, 4.111755
135.3119, 4.237259
135.7940, 4.716278
136.2761, 5.144196
136.7582, 5.135788
137.2404, 4.632065
137.7225, 4.660324
138.2046, 6.278885
138.6867, 7.527939
139.1688, 7.706436
139.6509, 6.902206
140.1331, 5.625626
140.6152, 4.326233
141.0973, 2.954407
141.5794, 1.910294
142.0615, 1.149078
142.5436, 0.6557010
143.0258, 0.5217290
143.5079, 0.7295840
143.9900, 1.028198
144.4721, 1.043854
144.9542, 0.5624080
145.4363, 0.4376530
145.9185, 1.112503
146.4006, 1.964478
146.8827, 2.290070
147.3648, 1.853073
147.8469, 1.001465
148.3290, 0.1706240
148.8112, 0.7144170
149.2933, 1.249695
149.7754, 0.9513400
150.2575, 0.1259000
150.7396, 0.2183380
151.2217, 0.4362490
151.7039, 1.455765
152.1860, 2.085938
152.6681, 2.355652
153.1502, 2.246750
153.6323, 1.494797
154.1144, 5.6671001E-02
154.5966, 1.020004
155.0787, 1.259720
155.5608, 1.091400
156.0429, 0.7526860
156.5250, 0.2836760
157.0071, 0.4763950
157.4893, 0.5592350
157.9714, 0.4725800
158.4535, 0.4364930
158.9356, 0.3043370
159.4177, 0.3184510
159.8998, 0.8247830
160.3820, 1.953156
160.8641, 3.325180
161.3462, 3.971863
161.8283, 3.089905
162.3104, 2.578918
162.7925, 2.830292
163.2747, 3.462784
163.7568, 4.062836
164.2389, 4.433228
164.7210, 4.601685
165.2031, 4.671982
165.6852, 4.418045
166.1674, 4.295685
166.6495, 4.426758
167.1316, 4.743851
167.6137, 5.168320
168.0958, 5.670654
168.5779, 6.217438
169.0601, 6.584961
169.5422, 6.768860
170.0243, 6.827286
170.5064, 6.702087
170.9885, 6.448792
171.4706, 6.279114
171.9528, 6.405106
172.4349, 6.687683
172.9170, 6.588455
173.3991, 5.538010
173.8812, 4.539963
174.3633, 4.514374
174.8455, 5.488693
175.3276, 6.471481
175.8097, 6.759735
176.2918, 6.631561
176.7739, 6.595779
177.2560, 6.864365
177.7382, 7.188690
178.2203, 7.204147
178.7024, 6.809708
179.1845, 6.408936
179.6666, 6.158768
180.1487, 6.077316
180.6309, 6.224564
181.1130, 6.719238
181.5951, 7.379135
182.0772, 7.690842
182.5593, 7.437820
183.0414, 7.179306
183.5236, 7.120499
184.0057, 7.189316
184.4878, 7.291061
184.9699, 7.381104
185.4520, 7.445511
185.9341, 7.427505
186.4163, 7.278564
186.8984, 7.087921
187.3805, 6.707352
187.8626, 6.309525
188.3447, 6.207275
188.8268, 6.661240
189.3090, 7.643539
189.7911, 8.267654
190.2732, 8.383636
190.7553, 8.296387
191.2374, 7.806580
191.7195, 7.153702
192.2017, 6.849548
192.6838, 7.350159
193.1659, 8.717133
193.6480, 9.501678
194.1301, 9.403107
194.6122, 9.162506
195.0944, 8.989731
195.5765, 8.930878
196.0586, 9.037933
196.5407, 9.379562
197.0228, 9.956375
197.5049, 10.32085
197.9871, 10.16261
198.4692, 10.05396
198.9513, 10.47424
199.4334, 11.38431
199.9155, 12.22386
200.3976, 12.50620
200.8798, 12.26164
201.3619, 12.16071
201.8440, 12.27377
202.3261, 12.49512
202.8082, 12.86990
203.2903, 13.42943
203.7725, 13.72800
204.2546, 13.07869
204.7367, 11.83742
205.2188, 11.05565
205.7009, 11.19823
206.1830, 11.76729
206.6652, 12.15266
207.1473, 12.38396
207.6294, 12.44447
208.1115, 12.14561
208.5936, 11.66350
209.0757, 11.25078
209.5579, 10.98148
210.0400, 10.86484
210.5221, 10.94493
211.0042, 11.39059
211.4863, 11.74685
211.9685, 11.77714
212.4506, 11.57155
212.9327, 11.29203
213.4148, 10.99344
213.8969, 10.68114
214.3790, 10.37720
214.8612, 10.02706
215.3433, 9.813957
215.8254, 9.917145
216.3075, 10.14542
216.7896, 10.20284
217.2717, 9.879951
217.7539, 9.314529
218.2360, 9.131691
218.7181, 9.803329
219.2002, 10.22351
219.6823, 9.962662
220.1644, 9.328636
220.6466, 8.750359
221.1287, 8.486816
221.6108, 8.486588
222.0929, 8.454666
222.5750, 8.237297
223.0571, 8.157234
223.5393, 8.362946
224.0214, 8.724556
224.5035, 9.077980
224.9856, 9.330788
225.4677, 9.471367
225.9498, 9.442528
226.4320, 8.963585
226.9141, 8.628227
227.3962, 8.619606
227.8783, 8.799942
228.3604, 8.968109
228.8425, 9.014954
229.3247, 8.941658
229.8068, 8.746048
230.2889, 8.115822
230.7710, 7.729599
231.2531, 7.913017
231.7352, 8.412064
232.2174, 8.781036
232.6995, 8.775848
233.1816, 8.482666
233.6637, 8.273476
234.1458, 8.109192
234.6279, 8.051834
235.1101, 8.210754
235.5922, 8.482788
236.0743, 8.646996
236.5564, 8.575478
237.0385, 8.362892
237.5206, 8.330338
238.0028, 8.543152
238.4849, 8.788338
238.9670, 9.041000
239.4491, 9.277504
239.9312, 9.453651
240.4133, 9.567230
240.8955, 9.573853
241.3776, 9.325272
241.8597, 8.655228
242.3418, 8.175148
242.8239, 8.307625
243.3060, 8.850304
243.7882, 9.219940
244.2703, 9.151711
244.7524, 8.904366
245.2345, 8.952805
245.7166, 9.376198
246.1987, 9.668739
246.6809, 9.489136
247.1630, 8.966980
247.6451, 8.527107
248.1272, 8.322701
248.6093, 8.193092
249.0914, 7.935249
249.5736, 7.548309
250.0557, 7.151886
250.5378, 6.877228
251.0199, 6.674805
251.5020, 6.265259
251.9841, 5.377769
252.4663, 4.573387
252.9484, 4.356133
253.4305, 4.678978
253.9126, 5.136749
254.3947, 5.619675
254.8768, 6.078896
255.3590, 6.251228
255.8411, 5.995026
256.3232, 5.579796
256.8053, 5.179817
257.2874, 4.798439
257.7695, 4.439865
258.2516, 3.960724
258.7338, 3.448433
259.2159, 3.478241
259.6980, 4.499420
260.1801, 5.439819
260.6622, 5.682098
261.1443, 5.424316
261.6265, 5.105675
262.1086, 4.991173
262.5907, 5.026268
263.0728, 4.968788
263.5549, 4.798195
264.0370, 4.571182
264.5192, 4.236610
265.0013, 3.880051
265.4834, 3.666580
265.9655, 3.759338
266.4476, 4.007797
266.9297, 3.817429
267.4119, 2.777084
267.8940, 1.975136
268.3761, 1.905151
268.8582, 2.176468
269.3403, 2.285255
269.8224, 1.963036
270.3046, 1.394539
270.7867, 1.112572
271.2688, 1.337257
271.7509, 1.461983
272.2330, 1.259697
272.7151, 0.9546740
273.1973, 0.7778020
273.6794, 0.8246690
274.1615, 0.9997100
274.6436, 1.098656
275.1257, 1.078125
275.6078, 1.056564
276.0900, 1.064453
276.5721, 1.075615
277.0542, 1.088448
277.5363, 1.091766
278.0184, 1.037766
278.5005, 0.8678740
278.9827, 0.4353640
279.4648, 0.2826920
279.9469, 0.7139510
280.4290, 1.192108
280.9111, 1.270966
281.3932, 0.9188310
281.8754, 0.5217060
282.3575, 0.6644970
282.8396, 1.728722
283.3217, 2.209099
283.8038, 1.634224
284.2859, 0.9444270
284.7681, 0.6193390
285.2502, 0.6903690
285.7323, 0.9494780
286.2144, 1.230492
286.6965, 1.579094
287.1786, 1.585579
287.6608, 0.8336180
288.1429, 0.1760790
288.6250, 6.7139999E-03
289.1071, 0.2513350
289.5892, 0.6175230
290.0714, 0.8986590
290.5535, 1.103951
291.0356, 1.087166
291.5177, 0.4487000
291.9998, 1.4397000E-02
292.4819, 1.3832000E-02
292.9641, 0.3794100
293.4462, 0.7826000
293.9283, 1.040871
294.4104, 1.164253
294.8925, 1.190842
295.3746, 0.9400330
295.8568, 0.7048720
296.3389, 0.4895100
296.8210, 0.3406370
297.3031, 0.3115920
297.7852, 0.4235310
298.2673, 0.6515730
298.7495, 0.9409560
299.2316, 1.504494
299.7137, 1.867798
300.1958, 1.889320
300.6779, 1.746803
301.1600, 1.591118
301.6422, 1.480721
302.1243, 1.424706
302.6064, 1.440742
303.0885, 1.588104
303.5706, 1.703949
304.0527, 1.836212
304.5349, 1.917557
