##NAMES=Edwindavisite
##RRUFFID=R230005
##IDEAL CHEMISTRY=Cu^2+^((C_2_)^6+^O_4_)(N^3-^H_3_)
##LOCALITY=125' Level, Rowley mine, Maricopa County, Arizona, USA
##OWNER=RRUFF
##SOURCE=Joe Marty
##DESCRIPTION=Radiating clusters of bladed or prismatic grass-green crystals, associated with blue ammineite. Type sample
##STATUS=The identification of this mineral is confirmed by single-crystal X-ray diffraction and chemical analysis.
##URL=rruff.info/R230005
8.803156e+001, 0.000000e+000
8.851367e+001, 1.254804e+003
8.899579e+001, 1.257571e+003
8.947791e+001, 1.259616e+003
8.996002e+001, 1.260572e+003
9.044214e+001, 1.261605e+003
9.092426e+001, 1.270179e+003
9.140637e+001, 1.279599e+003
9.188849e+001, 1.274017e+003
9.237061e+001, 1.247187e+003
9.285272e+001, 1.204923e+003
9.333484e+001, 1.153627e+003
9.381696e+001, 1.092855e+003
9.429907e+001, 1.031917e+003
9.478119e+001, 9.769388e+002
9.526331e+001, 9.290806e+002
9.574542e+001, 8.906729e+002
9.622754e+001, 8.640436e+002
9.670966e+001, 8.478488e+002
9.719177e+001, 8.354733e+002
9.767389e+001, 8.271979e+002
9.815601e+001, 8.219305e+002
9.863812e+001, 8.187225e+002
9.912024e+001, 8.180049e+002
9.960236e+001, 8.171705e+002
1.000845e+002, 8.141241e+002
1.005666e+002, 8.076569e+002
1.010487e+002, 8.059274e+002
1.015308e+002, 8.095694e+002
1.020129e+002, 8.175867e+002
1.024950e+002, 8.270169e+002
1.029772e+002, 8.374115e+002
1.034593e+002, 8.499471e+002
1.039414e+002, 8.655864e+002
1.044235e+002, 8.846677e+002
1.049056e+002, 9.058322e+002
1.053877e+002, 9.308190e+002
1.058699e+002, 9.589006e+002
1.063520e+002, 9.815320e+002
1.068341e+002, 9.998461e+002
1.073162e+002, 1.012307e+003
1.077983e+002, 1.017840e+003
1.082804e+002, 1.014212e+003
1.087626e+002, 1.006627e+003
1.092447e+002, 9.943449e+002
1.097268e+002, 9.765226e+002
1.102089e+002, 9.610965e+002
1.106910e+002, 9.512567e+002
1.111731e+002, 9.428992e+002
1.116553e+002, 9.320322e+002
1.121374e+002, 9.177009e+002
1.126195e+002, 9.011974e+002
1.131016e+002, 8.816324e+002
1.135837e+002, 8.574342e+002
1.140658e+002, 8.362115e+002
1.145480e+002, 8.207808e+002
1.150301e+002, 8.092697e+002
1.155122e+002, 7.991604e+002
1.159943e+002, 7.903874e+002
1.164764e+002, 7.819924e+002
1.169585e+002, 7.731403e+002
1.174407e+002, 7.626471e+002
1.179228e+002, 7.536323e+002
1.184049e+002, 7.482538e+002
1.188870e+002, 7.456858e+002
1.193691e+002, 7.436285e+002
1.198512e+002, 7.405371e+002
1.203334e+002, 7.374927e+002
1.208155e+002, 7.357419e+002
1.212976e+002, 7.366830e+002
1.217797e+002, 7.375994e+002
1.222618e+002, 7.359816e+002
1.227439e+002, 7.320889e+002
1.232261e+002, 7.277155e+002
1.237082e+002, 7.241443e+002
1.241903e+002, 7.209916e+002
1.246724e+002, 7.176569e+002
1.251545e+002, 7.135693e+002
1.256366e+002, 7.093849e+002
1.261188e+002, 7.061025e+002
1.266009e+002, 7.037279e+002
