##NAMES=Gaitite
##RRUFFID=R130625
##IDEAL CHEMISTRY=Ca^2+^_2_Zn^2+^(As^5+^O_4_)_2_&#183;2H_2_O
##LOCALITY=Municipio de Pitiquito, Sonora, Mexico
##OWNER=RRUFF
##SOURCE=Rock Currier
##DESCRIPTION=Grey to white tabular or granular crystals, associated with colorless irregular austinite and quartz
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R130625
8.813672e+001, 1.993692e+003
8.861884e+001, 2.017927e+003
8.910095e+001, 2.042627e+003
8.958307e+001, 2.077299e+003
9.006519e+001, 2.118206e+003
9.054730e+001, 2.154769e+003
9.102942e+001, 2.188309e+003
9.151154e+001, 2.217463e+003
9.199365e+001, 2.240212e+003
9.247577e+001, 2.257823e+003
9.295789e+001, 2.273288e+003
9.344000e+001, 2.288052e+003
9.392212e+001, 2.300373e+003
9.440424e+001, 2.311107e+003
9.488635e+001, 2.323560e+003
9.536847e+001, 2.337905e+003
9.585059e+001, 2.353082e+003
9.633270e+001, 2.368884e+003
9.681482e+001, 2.385708e+003
9.729694e+001, 2.403796e+003
9.777905e+001, 2.423156e+003
9.826117e+001, 2.443304e+003
9.874329e+001, 2.463948e+003
9.922540e+001, 2.484926e+003
9.970752e+001, 2.506441e+003
1.001896e+002, 2.528206e+003
1.006718e+002, 2.549973e+003
1.011539e+002, 2.571330e+003
1.016360e+002, 2.592350e+003
1.021181e+002, 2.613331e+003
1.026002e+002, 2.633563e+003
1.030823e+002, 2.652291e+003
1.035645e+002, 2.674856e+003
1.040466e+002, 2.701410e+003
1.045287e+002, 2.731839e+003
1.050108e+002, 2.767027e+003
1.054929e+002, 2.808906e+003
1.059750e+002, 2.852687e+003
1.064572e+002, 2.896762e+003
1.069393e+002, 2.943566e+003
1.074214e+002, 2.987077e+003
1.079035e+002, 3.029519e+003
1.083856e+002, 3.069700e+003
1.088677e+002, 3.101192e+003
1.093499e+002, 3.125461e+003
1.098320e+002, 3.140852e+003
1.103141e+002, 3.146741e+003
1.107962e+002, 3.131974e+003
1.112783e+002, 3.120733e+003
1.117604e+002, 3.114325e+003
1.122426e+002, 3.112676e+003
1.127247e+002, 3.115862e+003
1.132068e+002, 3.125816e+003
1.136889e+002, 3.139495e+003
1.141710e+002, 3.154705e+003
1.146531e+002, 3.170807e+003
1.151353e+002, 3.188383e+003
1.156174e+002, 3.208099e+003
1.160995e+002, 3.229835e+003
1.165816e+002, 3.252432e+003
1.170637e+002, 3.275816e+003
1.175458e+002, 3.299508e+003
1.180280e+002, 3.323302e+003
1.185101e+002, 3.346575e+003
1.189922e+002, 3.370011e+003
1.194743e+002, 3.394978e+003
1.199564e+002, 3.422133e+003
1.204385e+002, 3.445742e+003
1.209207e+002, 3.460974e+003
1.214028e+002, 3.470109e+003
1.218849e+002, 3.477239e+003
1.223670e+002, 3.483422e+003
1.228491e+002, 3.488969e+003
1.233312e+002, 3.493552e+003
1.238134e+002, 3.496563e+003
1.242955e+002, 3.500847e+003
1.247776e+002, 3.509915e+003
1.252597e+002, 3.522786e+003
1.257418e+002, 3.536142e+003
1.262239e+002, 3.546101e+003
1.267061e+002, 3.555515e+003
1.271882e+002, 3.569876e+003
1.276703e+002, 3.591321e+003
1.281524e+002, 3.615862e+003
1.286345e+002, 3.637950e+003
1.291166e+002, 3.657781e+003
1.295988e+002, 3.677650e+003
1.300809e+002, 3.699574e+003
1.305630e+002, 3.723020e+003
1.310451e+002, 3.745879e+003
1.315272e+002, 3.767332e+003
1.320093e+002, 3.787801e+003
1.324915e+002, 3.808510e+003
1.329736e+002, 3.829372e+003
1.334557e+002, 3.850464e+003
1.339378e+002, 3.871335e+003
1.344199e+002, 3.891990e+003
1.349020e+002, 3.913350e+003
1.353842e+002, 3.936288e+003
