##NAMES=Gaitite
##RRUFFID=R130625
##IDEAL CHEMISTRY=Ca^2+^_2_Zn^2+^(As^5+^O_4_)_2_&#183;2H_2_O
##LOCALITY=Municipio de Pitiquito, Sonora, Mexico
##OWNER=RRUFF
##SOURCE=Rock Currier
##DESCRIPTION=Grey to white tabular or granular crystals, associated with colorless irregular austinite and quartz
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R130625
138.6867, 0.0000000E+00
139.1688, 2.884155
139.6509, 3.515503
140.1331, 0.4598390
140.6152, 0.1184080
141.0973, 3.073853
141.5794, 5.482544
142.0615, 6.361084
142.5436, 6.375000
143.0258, 5.689697
143.5079, 4.473999
143.9900, 2.737671
144.4721, 1.774292
144.9542, 2.075806
145.4363, 2.042358
145.9185, 1.765991
146.4006, 1.423828
146.8827, 1.001953
147.3648, 0.4033200
147.8469, 9.6557997E-02
148.3290, 0.1273190
148.8112, 1.104980
149.2933, 2.017212
149.7754, 2.364014
150.2575, 2.571899
150.7396, 3.468994
151.2217, 5.300049
151.7039, 7.660156
152.1860, 9.865479
152.6681, 11.86255
153.1502, 14.29102
153.6323, 17.93823
154.1144, 22.76904
154.5966, 27.34851
155.0787, 30.06104
155.5608, 32.61426
156.0429, 36.11401
156.5250, 40.78662
157.0071, 46.62122
157.4893, 53.56433
157.9714, 61.51843
158.4535, 71.01672
158.9356, 82.88452
159.4177, 95.69641
159.8998, 109.0999
160.3820, 123.3307
160.8641, 137.8599
161.3462, 149.7941
161.8283, 160.2048
162.3104, 162.8840
162.7925, 154.8574
163.2747, 140.2052
163.7568, 122.7557
164.2389, 104.2706
164.7210, 85.27771
165.2031, 68.32202
165.6852, 53.13916
166.1674, 40.25586
166.6495, 29.78137
167.1316, 21.66699
167.6137, 16.25269
168.0958, 13.98816
168.5779, 14.35254
169.0601, 13.87720
169.5422, 11.05530
170.0243, 9.078857
170.5064, 9.436768
170.9885, 11.81165
171.4706, 14.88293
171.9528, 17.87244
172.4349, 20.96143
172.9170, 24.67871
173.3991, 29.55847
173.8812, 34.64136
174.3633, 39.07544
174.8455, 42.84619
175.3276, 46.94897
175.8097, 53.59119
176.2918, 60.61694
176.7739, 64.07764
177.2560, 62.32581
177.7382, 57.21191
178.2203, 50.69385
178.7024, 42.21667
179.1845, 34.27075
179.6666, 28.83765
180.1487, 24.59912
180.6309, 19.83228
181.1130, 13.32178
181.5951, 6.084106
182.0772, 0.8579100
182.5593, 1.494141
183.0414, 3.022095
183.5236, 4.636230
184.0057, 6.034180
184.4878, 6.762329
184.9699, 6.509521
185.4520, 5.382813
185.9341, 4.053955
186.4163, 2.414307
186.8984, 0.6707760
187.3805, 1.171509
187.8626, 3.081787
188.3447, 4.925781
188.8268, 6.530273
189.3090, 7.927490
189.7911, 10.51990
190.2732, 14.64709
190.7553, 19.61633
191.2374, 25.22290
191.7195, 31.56006
192.2017, 38.81519
192.6838, 47.04993
193.1659, 56.30737
193.6480, 67.41638
