##NAMES=Galeite
##RRUFFID=R160078
##IDEAL CHEMISTRY=Na_15_(S^6+^O_4_)_5_ClF_4_
##LOCALITY=Searles Lake, San Bernardino County, California, USA
##OWNER=UAMM
##SOURCE=Rock Currier
##DESCRIPTION=Colorless to pale grey barrel-shaped crystals, intergrown with schairerite
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R160078
8.813672e+001, 1.187476e+004
8.861884e+001, 1.198762e+004
8.910095e+001, 1.212252e+004
8.958307e+001, 1.234958e+004
9.006519e+001, 1.263062e+004
9.054730e+001, 1.288053e+004
9.102942e+001, 1.310086e+004
9.151154e+001, 1.329726e+004
9.199365e+001, 1.347646e+004
9.247577e+001, 1.364301e+004
9.295789e+001, 1.379894e+004
9.344000e+001, 1.394411e+004
9.392212e+001, 1.406804e+004
9.440424e+001, 1.417804e+004
9.488635e+001, 1.429361e+004
9.536847e+001, 1.441745e+004
9.585059e+001, 1.454473e+004
9.633270e+001, 1.467429e+004
9.681482e+001, 1.480992e+004
9.729694e+001, 1.495327e+004
9.777905e+001, 1.510455e+004
9.826117e+001, 1.526295e+004
9.874329e+001, 1.542761e+004
9.922540e+001, 1.559688e+004
9.970752e+001, 1.576790e+004
1.001896e+002, 1.593698e+004
1.006718e+002, 1.610785e+004
1.011539e+002, 1.628417e+004
1.016360e+002, 1.646779e+004
1.021181e+002, 1.665479e+004
1.026002e+002, 1.684237e+004
1.030823e+002, 1.702987e+004
1.035645e+002, 1.722320e+004
1.040466e+002, 1.742846e+004
1.045287e+002, 1.763804e+004
1.050108e+002, 1.784140e+004
1.054929e+002, 1.802996e+004
1.059750e+002, 1.822559e+004
1.064572e+002, 1.843721e+004
1.069393e+002, 1.868041e+004
1.074214e+002, 1.891462e+004
1.079035e+002, 1.913722e+004
1.083856e+002, 1.935376e+004
1.088677e+002, 1.957224e+004
1.093499e+002, 1.980618e+004
1.098320e+002, 2.003674e+004
1.103141e+002, 2.025571e+004
1.107962e+002, 2.044755e+004
1.112783e+002, 2.065058e+004
1.117604e+002, 2.087634e+004
1.122426e+002, 2.112300e+004
1.127247e+002, 2.136102e+004
1.132068e+002, 2.158113e+004
1.136889e+002, 2.179456e+004
1.141710e+002, 2.200665e+004
1.146531e+002, 2.222293e+004
1.151353e+002, 2.243284e+004
1.156174e+002, 2.263378e+004
1.160995e+002, 2.282465e+004
1.165816e+002, 2.301762e+004
1.170637e+002, 2.321928e+004
1.175458e+002, 2.342306e+004
1.180280e+002, 2.362451e+004
1.185101e+002, 2.382052e+004
1.189922e+002, 2.401224e+004
1.194743e+002, 2.419568e+004
1.199564e+002, 2.437013e+004
1.204385e+002, 2.454503e+004
1.209207e+002, 2.472513e+004
1.214028e+002, 2.490918e+004
1.218849e+002, 2.509446e+004
1.223670e+002, 2.528370e+004
1.228491e+002, 2.547399e+004
1.233312e+002, 2.566160e+004
1.238134e+002, 2.584767e+004
1.242955e+002, 2.602883e+004
1.247776e+002, 2.619687e+004
1.252597e+002, 2.635572e+004
1.257418e+002, 2.651865e+004
1.262239e+002, 2.669466e+004
1.267061e+002, 2.688182e+004
1.271882e+002, 2.707052e+004
1.276703e+002, 2.726135e+004
1.281524e+002, 2.745478e+004
1.286345e+002, 2.765199e+004
1.291166e+002, 2.785268e+004
1.295988e+002, 2.805467e+004
1.300809e+002, 2.825650e+004
1.305630e+002, 2.845792e+004
1.310451e+002, 2.865945e+004
1.315272e+002, 2.885896e+004
1.320093e+002, 2.905650e+004
1.324915e+002, 2.925623e+004
1.329736e+002, 2.945779e+004
1.334557e+002, 2.965789e+004
1.339378e+002, 2.984865e+004
1.344199e+002, 3.003023e+004
1.349020e+002, 3.021313e+004
1.353842e+002, 3.040168e+004
1.358663e+002, 3.059033e+004
1.363484e+002, 3.077456e+004
1.368305e+002, 3.095548e+004
1.373126e+002, 3.112466e+004
1.377947e+002, 3.126677e+004
1.382769e+002, 3.137678e+004
1.387590e+002, 3.148644e+004
1.392411e+002, 3.160963e+004
1.397232e+002, 3.174835e+004
1.402053e+002, 3.184600e+004
1.406874e+002, 3.189127e+004
1.411696e+002, 3.191373e+004
1.416517e+002, 3.195363e+004
1.421338e+002, 3.202279e+004
1.426159e+002, 3.208741e+004
1.430980e+002, 3.214000e+004
1.435801e+002, 3.218093e+004
1.440623e+002, 3.221313e+004
1.445444e+002, 3.223668e+004
1.450265e+002, 3.225404e+004
1.455086e+002, 3.226721e+004
1.459907e+002, 3.226971e+004
1.464728e+002, 3.227929e+004
1.469550e+002, 3.230445e+004
1.474371e+002, 3.235813e+004
1.479192e+002, 3.239843e+004
1.484013e+002, 3.241494e+004
1.488834e+002, 3.241915e+004
1.493655e+002, 3.243663e+004
1.498477e+002, 3.247958e+004
1.503298e+002, 3.252495e+004
1.508119e+002, 3.256471e+004
1.512940e+002, 3.260445e+004
1.517761e+002, 3.262998e+004
1.522583e+002, 3.262706e+004
1.527404e+002, 3.260715e+004
1.532225e+002, 3.260313e+004
1.537046e+002, 3.263272e+004
1.541867e+002, 3.266784e+004
1.546688e+002, 3.269566e+004
1.551510e+002, 3.271155e+004
1.556331e+002, 3.272466e+004
1.561152e+002, 3.273360e+004
1.565973e+002, 3.274013e+004
1.570794e+002, 3.275060e+004
1.575615e+002, 3.276146e+004
1.580437e+002, 3.278010e+004
1.585258e+002, 3.281124e+004
1.590079e+002, 3.287329e+004
1.594900e+002, 3.293001e+004
1.599721e+002, 3.297088e+004
1.604542e+002, 3.299750e+004
1.609364e+002, 3.301887e+004
1.614185e+002, 3.302889e+004
1.619006e+002, 3.303948e+004
1.623827e+002, 3.306019e+004
1.628648e+002, 3.311048e+004
1.633469e+002, 3.315662e+004
1.638291e+002, 3.317686e+004
1.643112e+002, 3.317399e+004
1.647933e+002, 3.317957e+004
1.652754e+002, 3.322098e+004
1.657575e+002, 3.327452e+004
1.662396e+002, 3.331530e+004
1.667218e+002, 3.331965e+004
1.672039e+002, 3.331954e+004
1.676860e+002, 3.333599e+004
1.681681e+002, 3.336882e+004
1.686502e+002, 3.340551e+004
1.691323e+002, 3.344364e+004
1.696145e+002, 3.347952e+004
1.700966e+002, 3.350782e+004
1.705787e+002, 3.351905e+004
1.710608e+002, 3.352641e+004
1.715429e+002, 3.353792e+004
1.720250e+002, 3.355384e+004
1.725072e+002, 3.358176e+004
1.729893e+002, 3.363948e+004
1.734714e+002, 3.371321e+004
1.739535e+002, 3.377741e+004
1.744356e+002, 3.381338e+004
1.749177e+002, 3.383697e+004
1.753999e+002, 3.386844e+004
1.758820e+002, 3.390948e+004
1.763641e+002, 3.394939e+004
1.768462e+002, 3.397622e+004
1.773283e+002, 3.399410e+004
1.778104e+002, 3.401416e+004
1.782926e+002, 3.404049e+004
1.787747e+002, 3.407179e+004
1.792568e+002, 3.410630e+004
1.797389e+002, 3.414334e+004
1.802210e+002, 3.418315e+004
1.807031e+002, 3.422649e+004
1.811853e+002, 3.427241e+004
1.816674e+002, 3.431692e+004
1.821495e+002, 3.436489e+004
1.826316e+002, 3.440968e+004
1.831137e+002, 3.443082e+004
1.835958e+002, 3.442457e+004
1.840780e+002, 3.440862e+004
1.845601e+002, 3.440357e+004
1.850422e+002, 3.440926e+004
1.855243e+002, 3.442099e+004
1.860064e+002, 3.444264e+004
1.864885e+002, 3.447030e+004
1.869707e+002, 3.448534e+004
1.874528e+002, 3.448398e+004
1.879349e+002, 3.447938e+004
1.884170e+002, 3.449062e+004
1.888991e+002, 3.451730e+004
1.893812e+002, 3.455165e+004
1.898634e+002, 3.459711e+004
1.903455e+002, 3.464960e+004
1.908276e+002, 3.468233e+004
1.913097e+002, 3.468808e+004
1.917918e+002, 3.468478e+004
1.922739e+002, 3.470644e+004
1.927561e+002, 3.475391e+004
1.932382e+002, 3.480180e+004
1.937203e+002, 3.483296e+004
1.942024e+002, 3.484873e+004
1.946845e+002, 3.487499e+004
1.951666e+002, 3.491684e+004
1.956488e+002, 3.496413e+004
1.961309e+002, 3.499538e+004
1.966130e+002, 3.500939e+004
1.970951e+002, 3.502121e+004
1.975772e+002, 3.503893e+004
1.980593e+002, 3.506277e+004
1.985415e+002, 3.509082e+004
1.990236e+002, 3.512595e+004
1.995057e+002, 3.516195e+004
1.999878e+002, 3.518002e+004
2.004699e+002, 3.517598e+004
2.009520e+002, 3.517501e+004
2.014342e+002, 3.519469e+004
2.019163e+002, 3.523732e+004
2.023984e+002, 3.527370e+004
2.028805e+002, 3.530223e+004
2.033626e+002, 3.532309e+004
2.038447e+002, 3.533434e+004
2.043269e+002, 3.533298e+004
2.048090e+002, 3.533227e+004
2.052911e+002, 3.534059e+004
2.057732e+002, 3.535944e+004
2.062553e+002, 3.537626e+004
2.067374e+002, 3.538816e+004
2.072196e+002, 3.539907e+004
2.077017e+002, 3.542182e+004
2.081838e+002, 3.546095e+004
2.086659e+002, 3.549984e+004
2.091480e+002, 3.552657e+004
2.096301e+002, 3.553686e+004
2.101123e+002, 3.555729e+004
2.105944e+002, 3.559337e+004
2.110765e+002, 3.563876e+004
2.115586e+002, 3.567455e+004
2.120407e+002, 3.569789e+004
