##NAMES=Hydromagnesite
##RRUFFID=R220007
##IDEAL CHEMISTRY=Mg_5_(CO_3_)_4_(OH)_2_&#183;4H_2_O
##LOCALITY=Correc d'en Llinassos, Oms, Céret, Pyrénées-Orientales, Occitanie, France
##OWNER=Joan Rosell-Riba
##SOURCE=Joan Rosell-Riba, Jordi Ibáñez (Geo3Bcn-CSIC), Tariq Jawhari (CCiTUB)
##DESCRIPTION=White spherical aggregates, SEM-EDS analysis indicates only Mg
##STATUS=The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis
##URL=rruff.info/R220007
66.95620, 0.0000000E+00
68.80380, 0.4645230
70.64900, 6.620964
72.49590, 10.81253
74.34250, 14.54395
76.18880, 19.79092
78.03250, 23.14775
79.87800, 27.00516
81.72310, 34.02398
83.56780, 38.41719
85.41010, 49.03397
87.25410, 53.48571
89.09780, 57.24691
90.93900, 58.79073
92.78190, 58.68550
94.62450, 53.58198
96.46460, 43.92696
98.30640, 35.81974
100.1480, 25.68748
101.9870, 20.77312
103.8280, 12.96001
105.6680, 10.37145
107.5060, 8.156254
109.3460, 4.412346
111.1850, 2.786777
113.0220, 1.676685
114.8600, 0.3704870
116.6990, 2.693096
118.5340, 7.465633
120.3720, 14.19561
122.2070, 16.98175
124.0440, 17.82299
125.8800, 17.09386
127.7140, 10.18216
129.5500, 3.978775
131.3830, 0.7451710
133.2180, 1.720154
135.0510, 4.071091
136.8850, 2.122414
138.7170, 2.833996
140.5500, 7.909836
142.3810, 17.25102
144.2140, 21.85651
146.0440, 27.11990
147.8760, 27.58931
149.7060, 28.03836
151.5370, 25.63545
153.3660, 18.55350
155.1970, 18.49237
157.0250, 11.87656
158.8550, 10.00550
160.6830, 5.829037
162.5120, 4.497395
164.3390, 5.585957
166.1670, 9.044811
167.9930, 12.57408
169.8190, 14.24895
171.6460, 14.91961
173.4710, 16.26117
175.2980, 14.67382
177.1220, 15.58262
178.9460, 16.81288
180.7720, 17.96586
182.5950, 23.99449
184.4200, 25.91943
186.2420, 26.27721
188.0640, 22.68971
189.8880, 20.21626
191.7100, 18.70194
193.5310, 15.32781
195.3530, 14.75099
197.1740, 16.97403
198.9940, 19.39690
200.8150, 26.16960
202.6350, 29.84209
204.4540, 31.94096
206.2740, 31.78802
208.0920, 26.95969
209.9100, 20.14961
211.7280, 15.36541
213.5470, 10.17614
215.3640, 5.334808
217.1800, 2.423149
218.9960, 5.780659
220.8140, 6.154049
222.6290, 7.182560
224.4440, 9.094978
226.2590, 11.91984
228.0750, 18.67836
229.8890, 22.23004
231.7030, 28.86290
233.5160, 29.22189
235.3290, 26.42495
237.1410, 26.78075
238.9560, 22.22385
240.7670, 22.66011
242.5790, 21.91819
244.3900, 21.52214
246.2010, 24.05929
248.0110, 26.79866
249.8230, 26.80834
251.6330, 23.19025
253.4420, 17.69641
255.2510, 17.67679
257.0600, 14.33133
258.8680, 11.41590
260.6760, 11.79917
262.4830, 13.20089
264.2910, 12.92668
266.0980, 14.70155
267.9060, 12.55050
269.7120, 12.79852
271.5180, 13.22062
273.3230, 9.216812
275.1290, 7.612095
276.9330, 8.181454
278.7380, 5.374916
280.5420, 4.192467
282.3450, 3.388420
284.1490, 4.009090
285.9520, 3.987747
287.7540, 2.465439
289.5570, 1.134968
291.3590, 2.039055
293.1600, 1.652046
294.9610, 0.8691290
296.7620, 0.6898920
298.5630, 1.093670
300.3630, 1.401829
302.1630, 2.115086
303.9620, 0.5526310
305.7590, 2.318115
307.5580, 1.604397
309.3560, 2.877480
311.1550, 0.7643320
312.9520, 1.605579
314.7500, 0.1265830
316.5470, 1.285393
318.3430, 3.580112
320.1400, 5.428635
321.9340, 4.956360
323.7290, 5.666725
325.5250, 8.375046
327.3190, 9.404755
329.1140, 8.014347
330.9080, 9.196629
332.7020, 7.699230
334.4940, 5.903191
336.2870, 4.713638
338.0800, 3.614220
339.8720, 2.567600
341.6640, 1.595306
343.4540, 1.620865
345.2450, 0.8696100
347.0370, 0.5203060
348.8270, 0.4457930
350.6160, 0.6901210
352.4060, 1.369282
354.1950, 1.104053
355.9850, 0.6901780
357.7720, 1.002766
359.5600, 0.3931200
361.3490, 0.4822810
363.1370, 2.103844
364.9220, 0.4774780
366.7100, 1.027798
368.4960, 0.7049480
370.2810, 0.7588290
372.0670, 0.6105460
373.8530, 1.196457
375.6370, 0.3447110
377.4220, 0.2594720
379.2070, 0.5728150
380.9890, 0.1348290
382.7730, 0.1704290
384.5570, 0.9203660
386.3380, 0.3628250
388.1220, 0.2567980
389.9020, 0.2227610
391.6850, 1.925985
393.4670, 1.778154
395.2470, 0.6042520
397.0280, 1.979130
398.8070, 1.702930
400.5880, 1.502594
402.3680, 2.773617
404.1460, 2.266077
405.9260, 2.580099
407.7030, 3.316700
409.4820, 1.927435
411.2590, 3.162218
413.0370, 2.196133
414.8130, 2.929113
416.5900, 3.612700
418.3660, 3.518936
420.1430, 2.699301
421.9170, 4.053610
423.6930, 4.933025
425.4670, 4.683537
427.2430, 5.856260
429.0160, 5.076550
430.7910, 6.369717
432.5630, 6.610126
434.3350, 6.373117
436.1090, 5.859264
437.8810, 6.193331
439.6540, 6.375916
441.4250, 7.181858
443.1970, 5.885590
444.9670, 6.262569
446.7370, 4.463631
448.5080, 4.538532
450.2770, 6.562418
452.0460, 7.160507
453.8170, 6.332859
455.5850, 7.979397
457.3540, 6.650141
459.1220, 7.245213
460.8890, 6.564569
462.6570, 7.383316
464.4240, 8.726467
466.1900, 8.869038
467.9550, 9.511036
469.7230, 9.177456
471.4880, 8.618299
473.2520, 8.533550
475.0190, 8.273205
476.7830, 6.162304
478.5460, 7.975830
480.3100, 6.913803
482.0740, 7.851236
483.8370, 8.663116
485.5990, 8.399477
487.3610, 6.260286
489.1250, 6.545557
490.8860, 5.680502
492.6470, 5.264910
494.4080, 5.173771
496.1680, 5.632061
497.9300, 4.689798
499.6890, 5.172121
501.4480, 4.829124
503.2070, 5.060486
504.9660, 4.766153
506.7240, 5.171267
508.4840, 5.350622
510.2410, 4.253212
511.9990, 4.056379
513.7550, 3.708763
515.5120, 4.910351
517.2680, 4.487770
519.0240, 3.676655
520.7790, 2.407557
522.5370, 3.355658
524.2910, 3.983730
526.0460, 4.156357
527.8000, 3.734871
529.5540, 2.327892
531.3070, 1.796562
533.0600, 3.814230
534.8130, 2.731071
536.5660, 2.972027
538.3180, 3.387102
540.0700, 2.776337
541.8210, 3.014841
543.5720, 2.852480
545.3230, 3.314270
547.0730, 2.550213
548.8230, 3.785248
550.5730, 3.194468
552.3230, 3.201826
554.0720, 3.376633
555.8200, 3.624990
557.5690, 3.123474
559.3170, 3.579632
561.0650, 3.877748
562.8120, 4.160326
564.5590, 3.653975
566.3040, 3.564747
568.0500, 3.449364
569.7960, 3.587267
571.5420, 2.836384
573.2880, 4.402866
575.0330, 5.190624
576.7770, 5.153553
578.5220, 4.230082
580.2660, 5.350048
582.0080, 3.989851
583.7510, 4.807081
585.4940, 4.915962
587.2370, 5.017643
588.9790, 5.138382
590.7190, 5.497383
592.4610, 3.658028
594.2020, 3.319134
595.9440, 4.235678
597.6840, 4.210754
599.4230, 3.616011
601.1630, 4.624025
602.9020, 3.040567
604.6420, 2.902475
606.3790, 2.749495
608.1180, 4.188419
609.8560, 1.744591
611.5940, 3.094101
613.3300, 2.292917
615.0670, 3.358080
616.8040, 2.752520
618.5410, 3.779205
620.2760, 3.209272
622.0120, 2.883160
623.7470, 3.642010
625.4810, 1.586702
627.2160, 2.237156
628.9510, 2.686100
630.6830, 2.025318
632.4170, 1.476326
634.1490, 3.255438
635.8820, 3.432949
637.6160, 2.538223
639.3460, 3.766344
641.0790, 3.520863
642.8110, 3.375019
644.5410, 4.953819
646.2720, 3.382282
648.0010, 4.985413
649.7320, 4.213783
651.4610, 5.291269
653.1910, 4.118446
654.9200, 6.520319
656.6480, 6.966679
658.3770, 6.462994
660.1040, 6.364002
661.8320, 7.039730
663.5590, 7.565178
665.2860, 8.717607
667.0120, 8.967514
668.7390, 8.567154
670.4640, 7.891537
672.1900, 7.165653
673.9150, 9.189514
675.6410, 7.538124
677.3640, 7.011478
679.0870, 7.259590
680.8120, 7.407452
682.5350, 8.655075
684.2590, 7.452457
685.9810, 6.999611
687.7040, 7.396526
689.4260, 7.771534
691.1460, 8.118000
692.8690, 8.769028
694.5890, 8.015045
696.3090, 8.460838
698.0310, 11.08267
699.7500, 9.876793
701.4710, 10.51894
703.1900, 10.63546
704.9080, 11.60368
706.6280, 12.42677
708.3460, 12.97473
710.0630, 13.11571
711.7800, 12.20639
713.4980, 12.71420
715.2150, 12.55497
716.9310, 12.00899
718.6480, 13.20318
720.3640, 12.45403
722.0790, 13.53260
723.7940, 14.44548
725.5100, 15.15959
727.2240, 15.89266
728.9380, 17.88781
730.6510, 17.35923
732.3660, 16.44843
734.0790, 15.11429
735.7910, 15.12860
737.5040, 12.43044
739.2150, 12.19879
740.9290, 11.56304
742.6400, 10.31963
744.3510, 8.853142
746.0610, 9.340038
747.7710, 8.333187
749.4810, 8.516823
751.1930, 8.974026
752.9020, 9.510036
754.6110, 9.864037
756.3190, 12.87732
758.0270, 13.43720
759.7350, 12.67213
761.4430, 12.08355
763.1500, 10.52106
764.8570, 9.555737
766.5640, 8.618629
768.2700, 6.558582
769.9780, 7.050671
771.6840, 5.666904
773.3890, 4.458889
775.0940, 5.101315
776.7990, 2.570446
778.5030, 2.812237
780.2070, 3.485237
781.9110, 3.559109
783.6140, 3.633430
785.3170, 3.683353
787.0200, 4.008808
788.7220, 5.884804
790.4240, 4.211029
792.1260, 3.687923
793.8270, 1.740101
795.5270, 2.567596
797.2270, 2.670345
798.9280, 2.348450
800.6280, 2.151909
802.3280, 1.039104
804.0270, 3.518768
805.7270, 1.173920
807.4250, 2.754440
809.1240, 1.310066
810.8220, 2.765831
812.5180, 1.921898
814.2160, 1.653111
815.9130, 3.182552
817.6100, 2.339111
819.3070, 2.370743
821.0030, 0.4274940
822.6990, 1.134350
824.3930, 2.116268
826.0880, 1.248341
827.7830, 1.805496
829.4780, 1.137802
831.1720, 1.968708
832.8640, 3.451252
834.5580, 2.008877
836.2510, 1.766724
837.9440, 1.448132
839.6350, 1.456284
841.3280, 1.339493
843.0200, 1.272751
844.7120, 1.531071
846.4010, 1.714485
848.0930, 1.797955
849.7830, 0.3314780
851.4720, 1.115063
853.1620, 5.1289000E-02
854.8520, 0.1074070
856.5400, 2.041382
858.2290, 2.800423
859.9180, 0.1846580
861.6050, 0.3190080
863.2930, 1.503441
864.9810, 1.512951
866.6670, 2.522526
868.3540, 0.1678280
870.0410, 1.466873
871.7260, 1.026642
873.4130, 0.1614840
875.0970, 1.321415
876.7820, 0.6564140
878.4660, 0.2415310
880.1510, 1.026730
881.8360, 1.412006
883.5190, 2.722488
885.2030, 2.083263
886.8850, 2.094128
888.5680, 1.180077
890.2500, 2.141113
891.9330, 0.1977540
893.6130, 0.4134250
895.2960, 0.2503050
896.9760, 0.6860120
898.6570, 0.8724210
900.3370, 1.141075
902.0180, 4.5150999E-02
903.6970, 0.3815650
905.3770, 0.3930890
907.0550, 0.7798230
908.7330, 0.3583340
910.4120, 1.221447
912.0900, 0.1099510
913.7680, 4.8351001E-02
915.4450, 1.011639
917.1230, 5.0097998E-02
918.7990, 1.313389
920.4750, 0.8270490
922.1520, 0.5158690
923.8270, 0.6297040
925.5020, 0.9564170
927.1780, 0.1323320
928.8520, 0.2540250
930.5260, 0.3656120
932.2010, 0.3975870
933.8750, 1.4236000E-02
935.5470, 1.551186
937.2220, 0.5382500
938.8940, 1.125465
940.5660, 0.1128620
942.2390, 0.7254710
943.9110, 1.313213
945.5810, 1.126106
947.2520, 1.089149
948.9240, 0.8476030
950.5940, 1.190475
952.2640, 1.428703
953.9330, 0.7170870
955.6040, 0.3556140
957.2730, 1.719307
958.9420, 3.133137
960.6100, 1.597103
962.2780, 1.636219
963.9470, 2.800476
965.6140, 8.9915998E-02
967.2810, 0.7295150
968.9480, 1.919235
970.6140, 1.634087
972.2800, 1.274052
973.9470, 2.039135
975.6130, 1.829334
977.2780, 1.872952
978.9420, 0.3883710
980.6070, 2.578903
982.2710, 2.444523
983.9350, 0.9352340
985.5980, 2.351021
987.2610, 3.366894
988.9240, 1.232845
990.5860, 0.4488720
992.2490, 2.414970
993.9130, 2.306152
995.5740, 0.8723950
997.2350, 0.4887080
998.8960, 2.105095
1000.560, 2.471550
1002.220, 0.2119370
1003.880, 2.164368
1005.540, 0.6318550
1007.200, 1.898476
1008.860, 0.7401540
1010.510, 2.556885
1012.170, 2.148674
1013.830, 1.020367
1015.490, 0.9622650
1017.140, 1.554222
1018.800, 2.071236
1020.460, 2.863888
1022.120, 0.2060010
1023.770, 2.098164
1025.430, 1.915382
1027.080, 0.8576550
1028.740, 2.049973
1030.390, 0.6673360
1032.050, 1.727310
1033.700, 1.094784
1035.360, 1.510712
1037.010, 2.887199
1038.660, 2.035450
1040.320, 1.628113
1041.970, 2.195812
1043.620, 2.638561
1045.270, 3.090000
1046.920, 4.132828
1048.580, 3.776031
1050.230, 3.118946
1051.880, 4.236900
1053.530, 4.454338
1055.180, 5.072582
1056.830, 4.640659
1058.480, 6.537811
1060.130, 6.710041
1061.770, 6.103226
1063.420, 5.321457
1065.070, 6.014713
1066.720, 4.108009
1068.360, 4.924088
1070.010, 4.117455
1071.660, 5.685860
1073.310, 5.754295
1074.950, 5.572765
1076.600, 6.822166
1078.240, 8.540703
1079.890, 9.559277
1081.530, 8.379173
1083.180, 10.79715
1084.820, 11.04081
1086.470, 11.30950
1088.110, 12.60323
1089.750, 15.27197
1091.400, 15.51243
1093.040, 17.88123
1094.680, 22.37027
1096.320, 21.31413
1097.960, 23.53302
1099.610, 23.09440
1101.250, 24.73086
1102.890, 27.72483
1104.530, 28.21439
1106.170, 33.08501
1107.810, 38.22001
1109.450, 45.43195
1111.090, 57.22424
1112.720, 78.84259
1114.360, 108.6903
1116.000, 165.2708
1117.640, 233.4164
1119.280, 302.4523
1120.910, 337.9546
1122.550, 319.3011
1124.190, 258.6205
1125.820, 186.4873
1127.460, 125.5251
1129.090, 81.81947
1130.730, 53.45190
1132.370, 37.44628
1134.000, 27.19081
1135.630, 21.04017
1137.270, 17.68477
1138.900, 13.17939
1140.540, 10.89903
1142.170, 9.118710
1143.800, 8.088413
1145.430, 7.172127
1147.070, 5.605438
1148.700, 5.225224
1150.330, 5.295036
1151.960, 3.714878
1153.590, 3.284748
1155.220, 5.079636
1156.850, 4.574554
1158.480, 4.569496
1160.110, 2.989471
1161.740, 4.370258
1163.370, 3.616222
1165.000, 1.036266
1166.630, 2.656330
1168.250, 3.126423
1169.880, 1.921539
1171.510, 2.091667
1173.140, 3.6830999E-02
1174.760, 2.306969
1176.390, 1.802132
1178.010, 1.772316
1179.640, 0.8675230
1181.270, 2.287750
1182.890, 1.882999
1184.520, 0.1532750
1186.140, 1.848557
1187.770, 0.3938750
1189.390, 1.414215
1191.010, 1.509579
1192.640, 0.9049610
1194.260, 1.525368
1195.880, 1.570805
1197.500, 1.891262
1199.130, 9.6344002E-02
1200.750, 9.9074997E-02
1202.370, 0.7444990
1203.990, 1.514950
1205.610, 0.8854290
1207.230, 1.305927
