##NAMES=Kleinite
##RRUFFID=R060329
##IDEAL CHEMISTRY=Hg_2_N(Cl,S^6+^O_4_)&#183;nH_2_O
##LOCALITY=McDermott mine, Humboldt County, Nevada, USA
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Light yellow hexagonal prismatic or tabular crystals, associated with orange or dark yellow platy terlinguacreekite.
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R060329
92.19379, 991.8993
92.67590, 996.7960
93.15802, 999.1472
93.64014, 997.2063
94.12225, 992.9625
94.60437, 991.8742
95.08649, 996.5081
95.56860, 1004.050
96.05072, 1008.926
96.53284, 1011.838
97.01495, 1014.347
97.49707, 1017.512
97.97919, 1021.272
98.46130, 1025.629
98.94342, 1029.696
99.42554, 1033.747
99.90765, 1042.687
100.3898, 1057.507
100.8719, 1074.935
101.3540, 1090.248
101.8361, 1103.048
102.3182, 1115.806
102.8004, 1129.429
103.2825, 1143.638
103.7646, 1159.490
104.2467, 1177.677
104.7288, 1197.091
105.2109, 1214.997
105.6931, 1231.240
106.1752, 1246.754
106.6573, 1262.276
107.1394, 1278.807
107.6215, 1293.801
108.1036, 1307.873
108.5858, 1320.767
109.0679, 1330.457
109.5500, 1336.188
110.0321, 1339.604
110.5142, 1341.574
110.9963, 1342.127
111.4785, 1341.414
111.9606, 1338.827
112.4427, 1334.477
112.9248, 1330.951
113.4069, 1329.125
113.8890, 1327.986
114.3712, 1326.693
114.8533, 1323.934
115.3354, 1322.039
115.8175, 1321.813
116.2996, 1323.340
116.7817, 1325.712
117.2639, 1329.126
117.7460, 1333.066
118.2281, 1336.872
118.7102, 1340.393
119.1923, 1343.642
119.6744, 1346.748
120.1566, 1349.866
120.6387, 1352.120
121.1208, 1352.147
121.6029, 1350.842
122.0850, 1350.037
122.5671, 1349.863
123.0493, 1350.935
123.5314, 1354.434
124.0135, 1361.505
124.4956, 1368.530
124.9777, 1373.984
125.4598, 1377.088
125.9420, 1374.762
126.4241, 1362.930
126.9062, 1344.498
127.3883, 1324.485
127.8704, 1303.255
128.3525, 1281.760
128.8347, 1261.343
129.3168, 1241.901
129.7989, 1223.278
130.2810, 1204.947
130.7631, 1187.178
131.2452, 1170.346
131.7274, 1154.500
132.2095, 1139.709
132.6916, 1126.498
133.1737, 1114.935
133.6558, 1103.911
134.1379, 1092.124
134.6201, 1079.585
135.1022, 1066.663
135.5843, 1053.415
136.0664, 1039.884
136.5485, 1026.736
137.0306, 1013.783
137.5128, 1001.514
137.9949, 990.4584
138.4770, 980.8905
138.9591, 970.9310
139.4412, 959.4982
139.9233, 946.4831
140.4055, 934.8586
140.8876, 925.0613
141.3697, 916.1320
141.8518, 906.2269
142.3339, 894.6078
142.8160, 883.7460
143.2982, 874.7102
143.7803, 868.3036
144.2624, 861.3936
144.7445, 853.8729
145.2266, 845.8731
145.7087, 837.9465
146.1909, 829.3113
146.6730, 821.5897
147.1551, 815.4354
147.6372, 812.0670
148.1193, 808.3294
148.6014, 803.9420
149.0836, 799.1636
149.5657, 794.6747
150.0478, 790.0342
150.5299, 786.1365
151.0120, 783.3557
151.4941, 783.0154
151.9763, 782.2450
152.4584, 780.6258
152.9405, 778.3759
153.4226, 776.5900
153.9047, 775.9034
154.3868, 775.3327
154.8690, 774.3417
155.3511, 772.0349
155.8332, 770.1885
156.3153, 769.0980
156.7974, 768.7354
157.2795, 768.8389
157.7617, 769.6802
158.2438, 770.8072
158.7259, 771.8955
159.2080, 772.8062
159.6901, 773.7518
160.1722, 774.9529
160.6544, 776.3850
161.1365, 777.4656
161.6186, 777.4857
162.1007, 777.2625
162.5828, 777.5498
163.0649, 778.8648
163.5471, 780.4988
164.0292, 782.2687
164.5113, 784.1600
164.9934, 785.8151
165.4755, 787.4199
165.9576, 788.5837
166.4398, 788.8132
166.9219, 787.4834
167.4040, 785.4579
167.8861, 783.2492
168.3682, 780.8732
168.8503, 778.3343
169.3325, 776.0648
169.8146, 773.5817
170.2967, 770.1500
170.7788, 765.0896
171.2609, 759.1030
171.7430, 752.7996
172.2252, 746.1793
172.7073, 739.3710
173.1894, 732.5966
173.6715, 725.6594
174.1536, 718.3777
174.6357, 710.4639
175.1179, 702.1022
175.6000, 693.4453
176.0821, 684.5697
176.5642, 675.5048
177.0463, 666.1017
177.5284, 656.4703
178.0106, 647.1109
178.4927, 638.2469
178.9748, 629.7898
179.4569, 621.8651
179.9390, 614.4767
180.4211, 607.3752
180.9033, 600.1504
181.3854, 592.8193
181.8675, 585.6588
182.3496, 578.8918
182.8317, 572.4092
183.3138, 565.3988
183.7960, 557.6191
184.2781, 549.9317
184.7602, 543.8939
185.2423, 539.3100
185.7244, 535.0380
186.2065, 530.5007
186.6887, 525.6982
187.1708, 520.5378
187.6529, 514.9749
188.1350, 509.1373
188.6171, 503.2598
189.0992, 497.2970
189.5814, 491.5207
190.0635, 486.1873
190.5456, 481.1751
191.0277, 476.2466
191.5098, 471.4778
191.9919, 466.5693
192.4741, 460.7158
192.9562, 453.8840
193.4383, 447.3426
193.9204, 442.2915
