##NAMES=Montgomeryite
##RRUFFID=R140664
##IDEAL CHEMISTRY=Ca_4_MgAl_4_(PO_4_)_6_(OH)_4_&#183;12H_2_O
##LOCALITY=Foote Mineral Company mine, Kings Mountain, North Carolina, USA
##OWNER=RRUFF
##SOURCE=Rock Currier
##DESCRIPTION=Radial aggregates of colorless, bladed to platy crystals
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R140664
131.5272, 0.0000000E+00
132.0093, 0.2484740
132.4915, 0.2976680
132.9736, 0.1019290
133.4557, 1.100037
133.9378, 2.106934
134.4199, 3.021362
134.9020, 5.217041
135.3842, 9.307251
135.8663, 14.81079
136.3484, 20.00665
136.8305, 24.76514
137.3126, 29.37439
137.7947, 34.13623
138.2769, 39.13519
138.7590, 43.86206
139.2411, 48.32562
139.7232, 52.57751
140.2053, 55.17548
140.6874, 55.62225
141.1696, 55.13678
141.6517, 55.34808
142.1338, 56.57410
142.6159, 57.88287
143.0980, 59.13440
143.5801, 60.44092
144.0623, 61.14441
144.5444, 60.78815
145.0265, 60.12970
145.5086, 60.46533
145.9907, 62.31793
146.4728, 64.51898
146.9550, 66.81476
147.4371, 69.48871
147.9192, 71.57025
148.4013, 72.48157
148.8834, 72.85461
149.3655, 74.10535
149.8477, 76.84576
150.3298, 79.92535
150.8119, 82.97479
151.2940, 86.50348
151.7761, 89.21899
152.2583, 90.67444
152.7404, 91.22784
153.2225, 91.89886
153.7046, 93.02740
154.1867, 94.06238
154.6688, 94.78638
155.1510, 96.14154
155.6331, 96.00763
156.1152, 93.30463
156.5973, 88.62195
157.0794, 84.33563
157.5615, 81.40533
158.0437, 78.71985
158.5258, 75.58563
159.0079, 71.77869
159.4900, 67.59155
159.9721, 62.62915
160.4542, 57.12280
160.9364, 52.41412
161.4185, 49.44012
161.9006, 47.24634
162.3827, 45.06482
162.8648, 42.82111
163.3469, 40.40778
163.8291, 37.76672
164.3112, 34.92279
164.7933, 31.88678
165.2754, 28.17694
165.7575, 24.44897
166.2396, 21.39185
166.7218, 19.96533
167.2039, 18.74982
167.6860, 16.66211
168.1681, 13.74231
168.6502, 11.03442
169.1323, 8.762634
169.6145, 7.615051
170.0966, 7.668884
170.5787, 10.27368
171.0608, 13.07324
171.5429, 13.38281
172.0250, 11.14478
172.5072, 9.590576
172.9893, 9.862732
173.4714, 11.42169
173.9535, 14.12225
174.4356, 19.80188
174.9177, 25.73071
175.3999, 28.21912
175.8820, 27.30865
176.3641, 24.88666
176.8462, 22.03821
177.3283, 19.39484
177.8104, 17.67596
178.2926, 16.94812
178.7747, 16.82721
179.2568, 17.48798
179.7389, 19.19263
180.2210, 20.70087
180.7031, 20.53790
181.1853, 19.16107
181.6674, 17.85443
182.1495, 17.16705
182.6316, 17.06207
183.1137, 17.67279
183.5958, 19.18176
184.0780, 20.73553
184.5601, 21.06750
185.0422, 20.34637
185.5243, 19.67340
186.0064, 19.76947
186.4885, 20.42395
186.9707, 20.81982
187.4528, 20.87177
187.9349, 20.84216
188.4170, 21.06244
188.8991, 21.55212
189.3812, 22.20642
189.8634, 23.22870
190.3455, 24.52618
190.8276, 25.68347
191.3097, 26.71967
191.7918, 27.52930
192.2739, 27.79065
192.7561, 27.47070
193.2382, 27.19855
193.7203, 27.31683
194.2024, 27.80341
194.6845, 28.56201
195.1666, 29.80786
195.6488, 30.94086
196.1309, 30.56097
196.6130, 28.49103
197.0951, 26.33887
197.5772, 25.08826
198.0593, 24.75708
198.5415, 24.20160
199.0236, 23.33984
199.5057, 22.22003
199.9878, 20.96344
200.4699, 19.56757
200.9520, 18.06616
201.4342, 16.41730
201.9163, 14.57953
202.3984, 13.01025
202.8805, 11.81622
203.3626, 10.82141
203.8447, 9.578674
204.3269, 8.025818
204.8090, 6.454102
205.2911, 5.099976
205.7732, 4.019775
206.2553, 2.636169
206.7374, 0.6661380
207.2196, 1.464417
207.7017, 2.580078
208.1838, 2.557983
208.6659, 1.864258
209.1480, 0.6054690
209.6301, 1.408997
210.1123, 3.318787
210.5944, 5.476563
211.0765, 7.313904
211.5586, 6.877563
212.0407, 3.264709
212.5228, 0.5891720
213.0050, 3.063965
213.4871, 3.923035
213.9692, 4.216980
214.4513, 3.765442
214.9334, 2.876038
215.4155, 2.468262
215.8977, 2.680847
216.3798, 3.123535
216.8619, 3.708435
217.3440, 4.689026
217.8261, 4.988220
218.3082, 4.284973
218.7904, 2.958801
219.2725, 2.232971
219.7546, 2.491882
220.2367, 2.677795
220.7188, 2.124084
221.2009, 0.2852170
221.6831, 0.8372800
222.1652, 1.027344
222.6473, 0.5272830
223.1294, 4.8950002E-02
223.6115, 0.9296260
224.0936, 1.489319
224.5758, 1.334534
225.0579, 1.9835999E-02
225.5400, 0.9387210
226.0221, 1.482361
226.5042, 1.672424
226.9863, 1.566589
227.4685, 0.7700200
227.9506, 0.2855830
228.4327, 0.6885380
228.9148, 2.683594
229.3969, 3.874817
229.8790, 3.817749
230.3612, 3.060608
230.8433, 3.053040
231.3254, 4.239075
231.8075, 5.487305
232.2896, 6.280151
