##NAMES=Moorhouseite
##RRUFFID=R130745
##IDEAL CHEMISTRY=Co^2+^S^6+^O_4_&#183;6H_2_O
##LOCALITY=Bou Azer, Tazenakht, Ouarzazate Province, Souss-Massa-Draâ Region, Morocco
##OWNER=RRUFF
##SOURCE=Donald Doell
##DESCRIPTION=Light-pinkish fine grains, associated with pink or dark pink spherocobaltite.
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R130745
139.2411, 0.0000000E+00
139.7232, 1.791138
140.2053, 3.092896
140.6874, 3.308044
141.1696, 2.663147
141.6517, 1.117126
142.1338, 0.1942750
142.6159, 0.1051640
143.0980, 0.3237300
143.5801, 1.664673
144.0623, 2.935364
144.5444, 3.932495
145.0265, 5.126160
145.5086, 7.245911
145.9907, 12.00952
146.4728, 15.59290
146.9550, 16.48340
147.4371, 12.85895
147.9192, 10.54395
148.4013, 10.21143
148.8834, 11.10822
149.3655, 11.90399
149.8477, 12.32178
150.3298, 13.56415
150.8119, 14.84851
151.2940, 19.00812
151.7761, 21.46295
152.2583, 20.62585
152.7404, 17.54053
153.2225, 16.54126
153.7046, 20.44769
154.1867, 24.18207
154.6688, 25.57733
155.1510, 23.87433
155.6331, 21.16559
156.1152, 16.71753
156.5973, 10.97229
157.0794, 6.855103
157.5615, 6.196838
158.0437, 6.556885
158.5258, 6.459351
159.0079, 5.342896
159.4900, 4.004028
159.9721, 2.072998
160.4542, 0.1795040
160.9364, 1.259583
161.4185, 0.5365600
161.9006, 3.166809
162.3827, 4.987854
162.8648, 5.298157
163.3469, 4.890686
163.8291, 3.698669
164.3112, 1.840027
164.7933, 0.3855590
165.2754, 0.2199100
165.7575, 0.6043090
166.2396, 0.7607420
166.7218, 9.2041001E-02
167.2039, 0.6511840
167.6860, 1.008301
168.1681, 0.9733280
168.6502, 0.7446290
169.1323, 0.4200440
169.6145, 1.4099000E-02
170.0966, 0.5749510
170.5787, 1.752197
171.0608, 2.774536
171.5429, 2.557434
172.0250, 1.014771
172.5072, 3.2531999E-02
172.9893, 1.589966
173.4714, 4.646729
173.9535, 6.849915
174.4356, 6.321960
174.9177, 4.785583
175.3999, 4.364807
175.8820, 5.215698
176.3641, 6.322754
176.8462, 6.932373
177.3283, 7.086060
177.8104, 6.901123
178.2926, 6.035156
178.7747, 4.952698
179.2568, 4.412903
179.7389, 4.464966
180.2210, 4.940613
180.7031, 5.936035
181.1853, 7.279602
181.6674, 8.330078
182.1495, 8.497070
182.6316, 8.148315
183.1137, 8.200806
183.5958, 8.780640
184.0780, 9.506409
184.5601, 9.847046
185.0422, 9.867249
185.5243, 9.977478
186.0064, 10.64783
186.4885, 11.64764
186.9707, 11.98285
187.4528, 11.46643
187.9349, 10.69354
188.4170, 10.58765
188.8991, 11.11871
189.3812, 11.75879
189.8634, 12.36871
190.3455, 12.89368
190.8276, 12.94586
191.3097, 12.36255
191.7918, 11.57446
192.2739, 11.32599
192.7561, 11.58539
193.2382, 12.01825
193.7203, 12.60590
194.2024, 13.29840
194.6845, 13.41968
195.1666, 12.76141
195.6488, 11.75934
196.1309, 11.45752
196.6130, 11.98401
197.0951, 12.27521
197.5772, 11.04871
198.0593, 8.274658
198.5415, 6.945313
199.0236, 7.590271
199.5057, 9.389465
199.9878, 10.48096
200.4699, 10.75146
200.9520, 10.90411
201.4342, 11.39471
201.9163, 12.27136
202.3984, 12.79480
202.8805, 12.84094
203.3626, 12.56793
203.8447, 12.33887
204.3269, 12.12976
204.8090, 12.03931
205.2911, 12.12451
205.7732, 12.39105
206.2553, 12.79657
206.7374, 13.36163
207.2196, 14.05286
207.7017, 14.78656
208.1838, 15.57739
208.6659, 16.38220
209.1480, 17.21234
209.6301, 18.13513
210.1123, 18.76953
210.5944, 18.93268
211.0765, 18.88672
211.5586, 19.52856
212.0407, 21.26337
212.5228, 22.78247
213.0050, 23.17517
213.4871, 21.98737
213.9692, 21.34784
214.4513, 21.39899
214.9334, 22.04388
215.4155, 23.17828
215.8977, 25.18420
216.3798, 26.91699
216.8619, 27.72400
217.3440, 27.41980
217.8261, 26.66571
218.3082, 25.20966
218.7904, 23.33075
219.2725, 22.10480
219.7546, 21.64532
220.2367, 21.42480
220.7188, 21.27826
221.2009, 21.43427
221.6831, 21.02106
222.1652, 19.82623
222.6473, 18.10089
223.1294, 16.63959
223.6115, 15.55347
224.0936, 14.60126
224.5758, 13.60376
225.0579, 12.35492
225.5400, 11.62085
226.0221, 11.84448
226.5042, 12.52728
226.9863, 12.21057
227.4685, 10.49945
227.9506, 8.399170
228.4327, 6.213379
228.9148, 3.356506
229.3969, 1.742676
229.8790, 1.817566
230.3612, 2.983337
230.8433, 3.795288
231.3254, 4.125122
231.8075, 4.255493
232.2896, 4.273254
232.7717, 4.079590
233.2539, 3.976807
233.7360, 4.013306
234.2181, 4.113220
234.7002, 4.060974
235.1823, 3.522339
235.6644, 3.322327
236.1466, 3.964233
236.6287, 6.161865
237.1108, 7.174744
237.5929, 6.475403
238.0750, 4.801697
238.5571, 3.669800
239.0393, 3.344788
239.5214, 3.156921
240.0035, 2.882141
240.4856, 2.499878
240.9677, 2.130066
241.4498, 1.795288
241.9320, 1.488892
242.4141, 1.198486
242.8962, 1.005920
243.3783, 0.7305300
243.8604, 0.2371830
244.3425, 0.6598510
244.8247, 1.005676
245.3068, 0.5206910
245.7889, 0.3508300
246.2710, 0.8853150
246.7531, 0.8367310
247.2352, 0.8596190
247.7174, 1.138794
248.1995, 1.683777
248.6816, 2.402466
249.1637, 3.451111
249.6458, 4.539368
250.1279, 5.243652
250.6101, 5.452087
251.0922, 5.470276
251.5743, 5.311218
252.0564, 4.920715
252.5385, 4.731079
253.0206, 4.702271
253.5028, 4.890381
253.9849, 5.359436
254.4670, 6.175415
254.9491, 7.167419
255.4312, 8.456482
255.9133, 10.08746
256.3955, 11.00922
256.8776, 10.87701
257.3597, 10.41364
257.8418, 10.45880
258.3239, 11.42023
258.8061, 11.90710
259.2882, 11.22192
259.7703, 9.411621
260.2524, 9.222595
260.7345, 11.56903
261.2166, 14.36633
261.6988, 15.62390
262.1809, 14.85620
262.6630, 13.77051
263.1451, 12.42896
263.6272, 10.92926
264.1093, 10.31177
264.5915, 10.84094
265.0736, 11.79541
265.5557, 12.76678
266.0378, 13.93896
266.5199, 14.37408
267.0020, 13.63593
267.4842, 12.05481
267.9663, 11.42114
268.4484, 12.03394
268.9305, 12.89349
269.4126, 13.34711
269.8947, 13.35315
270.3769, 13.05347
270.8590, 12.25470
271.3411, 11.24646
271.8232, 11.13861
272.3053, 12.23828
272.7874, 13.30865
273.2696, 13.33557
273.7517, 12.00214
274.2338, 11.97748
274.7159, 13.99402
275.1980, 16.84705
275.6801, 17.43854
276.1623, 15.32520
276.6444, 12.96735
277.1265, 11.56964
277.6086, 11.17261
278.0907, 11.22992
278.5728, 12.00146
279.0550, 12.78436
279.5371, 11.95966
280.0192, 9.265442
280.5013, 7.100647
280.9834, 6.826477
281.4655, 8.379761
281.9477, 9.389221
282.4298, 9.793152
282.9119, 9.766235
283.3940, 9.347290
283.8761, 8.514648
284.3582, 7.941406
284.8404, 8.059814
285.3225, 8.692932
285.8046, 8.683350
286.2867, 7.904541
286.7688, 7.055115
287.2509, 7.190430
287.7331, 8.212036
288.2152, 8.644531
288.6973, 7.737427
289.1794, 5.990479
289.6615, 5.184570
290.1436, 5.400574
290.6258, 5.647827
291.1079, 4.801514
291.5900, 3.099365
292.0721, 1.797363
292.5542, 1.340820
293.0363, 1.385193
293.5185, 1.168762
294.0006, 0.7009890
294.4827, 0.4231570
294.9648, 0.9214480
295.4469, 1.910950
295.9290, 2.444153
296.4112, 2.198486
296.8933, 1.668213
297.3754, 1.617432
297.8575, 1.979248
298.3396, 2.392883
298.8217, 2.602539
299.3039, 2.691284
299.7860, 2.826355
300.2681, 3.032471
300.7502, 3.254944
301.2323, 3.386719
301.7144, 3.470764
302.1966, 3.634827
302.6787, 4.001770
303.1608, 4.490967
303.6429, 5.075134
304.1250, 5.791260
304.6071, 6.252136
305.0893, 5.992554
305.5714, 5.264282
306.0535, 4.504517
306.5356, 3.765076
307.0177, 3.170471
307.4998, 3.058411
307.9820, 3.442932
308.4641, 3.555725
308.9462, 2.355591
309.4283, 0.6741940
309.9104, 0.3400880
310.3925, 0.4405520
310.8747, 1.500488
311.3568, 1.826172
311.8389, 1.493286
312.3210, 1.026489
312.8031, 0.4680790
313.2852, 2.5513001E-02
313.7674, 7.0496000E-02
314.2495, 0.6494140
314.7316, 1.177917
315.2137, 0.7362060
315.6958, 0.3670040
316.1779, 1.072388
316.6601, 0.4016720
317.1422, 0.4234620
317.6243, 0.4480590
318.1064, 1.104919
318.5885, 2.141541
319.0706, 1.595337
319.5528, 8.1786998E-02
320.0349, 1.209656
320.5170, 2.182312
320.9991, 2.719971
321.4812, 2.542786
321.9633, 1.221375
322.4455, 0.4033200
322.9276, 0.8221440
323.4097, 1.823608
323.8918, 2.590393
324.3739, 2.524475
324.8560, 2.619690
325.3382, 3.257751
325.8203, 4.589905
326.3024, 5.719849
326.7845, 6.752563
327.2666, 7.408447
327.7487, 7.468811
328.2309, 6.682129
328.7130, 5.576050
329.1951, 3.773743
329.6772, 1.466675
330.1593, 0.5597530
330.6414, 2.237976
331.1236, 4.157776
331.6057, 5.038757
332.0878, 3.803223
332.5699, 3.541443
333.0520, 5.057739
333.5341, 7.440491
334.0163, 8.113831
334.4984, 5.945740
334.9805, 3.989441
335.4626, 3.706970
335.9447, 5.814636
336.4268, 6.775513
336.9090, 6.170166
337.3911, 4.865479
337.8732, 4.367249
338.3553, 5.004089
338.8374, 5.310791
339.3195, 4.565063
339.8017, 2.846191
340.2838, 2.363464
340.7659, 3.448120
341.2480, 4.954590
341.7301, 5.702820
342.2122, 5.643250
342.6944, 5.490601
343.1765, 5.434143
343.6586, 5.377319
344.1407, 4.868835
344.6228, 3.857178
345.1049, 2.963684
345.5871, 2.751038
346.0692, 3.125183
346.5513, 3.495667
347.0334, 3.809387
347.5155, 4.027893
347.9977, 4.058350
348.4798, 3.913086
348.9619, 3.696228
349.4440, 3.384338
349.9261, 3.054138
350.4082, 2.787292
350.8904, 2.544678
351.3725, 2.669373
351.8546, 4.145569
352.3367, 6.344482
352.8188, 7.630737
353.3009, 6.657043
353.7831, 4.726746
354.2652, 3.156738
354.7473, 1.959167
355.2294, 1.273560
355.7115, 1.622375
356.1936, 2.418091
356.6758, 2.858887
357.1579, 2.385559
357.6400, 1.916870
358.1221, 2.362427
358.6042, 3.439880
359.0863, 4.137878
359.5685, 3.571350
360.0506, 2.674316
360.5327, 2.224060
361.0148, 2.633667
361.4969, 2.746216
361.9790, 1.568848
362.4612, 0.1441040
362.9433, 1.141418
363.4254, 0.7597050
363.9075, 0.1513670
364.3896, 1.493835
364.8717, 3.373596
365.3539, 4.670959
365.8360, 4.785217
366.3181, 4.381165
366.8002, 4.075012
367.2823, 4.026367
367.7644, 3.955627
368.2466, 3.927429
368.7287, 3.900696
369.2108, 3.553406
369.6929, 2.522156
370.1750, 1.487549
370.6571, 0.8031010
371.1393, 0.6011960
371.6214, 0.5421750
372.1035, 0.7931520
372.5856, 1.142944
373.0677, 1.044006
373.5498, 0.1466060
374.0320, 0.5684810
374.5141, 0.6419680
374.9962, 2.0081000E-02
375.4783, 0.7031250
375.9604, 1.643494
376.4425, 2.358826
376.9247, 2.342102
377.4068, 1.525452
377.8889, 0.5300900
378.3710, 0.6559450
378.8531, 1.860107
379.3352, 2.211548
379.8174, 1.602661
380.2995, 0.8746950
380.7816, 0.7649540
381.2637, 1.181824
381.7458, 1.331360
382.2279, 0.9959720
382.7101, 0.5749510
383.1922, 0.8978880
383.6743, 1.839050
384.1564, 2.518372
384.6385, 2.333008
385.1206, 1.579834
385.6028, 0.7313840
386.0849, 0.2222900
386.5670, 0.9215700
387.0491, 0.7564090
387.5312, 0.1087040
388.0133, 0.2359620
388.4955, 0.4312740
388.9776, 1.178284
389.4597, 0.9264530
389.9418, 0.1508180
390.4239, 0.9939580
390.9060, 0.9088130
391.3882, 0.3336790
391.8703, 0.4243160
392.3524, 1.584595
392.8345, 2.329651
393.3166, 1.876160
393.7987, 0.7463990
394.2809, 6.1650001E-03
394.7630, 0.2293090
395.2451, 0.6781620
395.7272, 0.9957280
396.2093, 1.107849
396.6914, 1.353760
397.1736, 2.046143
397.6557, 2.774109
398.1378, 3.160828
398.6199, 2.411194
399.1020, 2.169067
399.5841, 3.121643
400.0663, 4.969421
400.5484, 5.671570
401.0305, 4.258667
401.5126, 2.750732
401.9947, 2.191956
402.4768, 3.198730
402.9590, 3.673035
403.4411, 3.270752
403.9232, 2.618103
404.4053, 2.984436
404.8874, 4.860474
405.3695, 6.289612
405.8517, 6.428406
406.3338, 5.410645
406.8159, 5.265259
407.2980, 6.153259
407.7801, 7.373596
408.2622, 8.203064
408.7444, 8.668396
409.2265, 9.373779
409.7086, 10.47943
410.1907, 11.81073
410.6728, 13.15973
411.1549, 14.49872
411.6371, 15.53455
412.1192, 15.66980
412.6013, 15.40485
413.0834, 15.73346
413.5655, 16.69702
414.0476, 18.48682
414.5298, 22.56128
415.0119, 27.52216
415.4940, 30.64252
415.9761, 28.80841
416.4582, 26.17810
416.9403, 26.61255
417.4225, 29.68048
417.9046, 32.76501
418.3867, 34.45453
418.8688, 35.44031
419.3509, 36.24280
419.8330, 37.00629
420.3152, 37.49182
420.7973, 37.43164
421.2794, 37.16119
421.7615, 37.16296
422.2436, 38.02301
422.7257, 38.67975
423.2079, 38.83685
423.6900, 38.47406
424.1721, 37.61823
424.6542, 35.79559
425.1363, 33.76898
425.6184, 32.08002
426.1006, 31.17627
426.5827, 29.90631
427.0648, 27.81934
427.5469, 25.29163
428.0290, 23.83606
428.5111, 24.00146
428.9933, 24.12628
429.4754, 23.41162
429.9575, 21.71234
430.4396, 20.16241
430.9217, 18.69183
431.4038, 17.42944
431.8860, 16.63531
432.3681, 16.36273
