##NAMES=Tundrite-(Ce)
##RRUFFID=R130563
##IDEAL CHEMISTRY=Na_2_Ce^3+^_2_Ti^4+^O_2_SiO_4_(CO_3_)_2_
##LOCALITY=Poudrette quarry, Mount St. Hilaire, Quebec, Canada
##OWNER=RRUFF
##SOURCE=Don Doell
##DESCRIPTION=Yellow bladed crystals, associated with white orthoclase
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R130563
155.1510, 0.0000000E+00
155.6331, 7.230957
156.1152, 17.96680
156.5973, 29.18018
157.0794, 40.63647
157.5615, 53.18530
158.0437, 64.28223
158.5258, 72.69824
159.0079, 75.99487
159.4900, 78.04102
159.9721, 79.62329
160.4542, 80.63379
160.9364, 81.66089
161.4185, 82.41675
161.9006, 82.25171
162.3827, 81.33643
162.8648, 79.65063
163.3469, 76.68994
163.8291, 71.70459
164.3112, 65.21289
164.7933, 59.48047
165.2754, 56.10669
165.7575, 53.26416
166.2396, 49.57959
166.7218, 43.02368
167.2039, 36.11304
167.6860, 30.75317
168.1681, 27.85742
168.6502, 25.73730
169.1323, 22.79810
169.6145, 20.13647
170.0966, 19.00269
170.5787, 20.48877
171.0608, 22.10986
171.5429, 22.52246
172.0250, 21.94287
172.5072, 20.84961
172.9893, 18.77002
173.4714, 16.16138
173.9535, 13.60986
174.4356, 11.42322
174.9177, 9.704102
175.3999, 8.575073
175.8820, 8.268188
176.3641, 8.419678
176.8462, 7.694702
177.3283, 6.524292
177.8104, 5.952881
178.2926, 6.432129
178.7747, 8.227417
179.2568, 12.25793
179.7389, 18.91736
180.2210, 26.68713
180.7031, 34.56421
181.1853, 41.33801
181.6674, 48.44263
182.1495, 57.47095
182.6316, 66.27759
183.1137, 74.30591
183.5958, 81.37549
184.0780, 87.31458
184.5601, 91.25378
185.0422, 94.15076
185.5243, 97.83850
186.0064, 104.2979
186.4885, 111.4728
186.9707, 115.5609
187.4528, 116.9808
187.9349, 116.9763
188.4170, 115.4532
188.8991, 112.6694
189.3812, 110.8590
189.8634, 111.7535
190.3455, 114.9285
190.8276, 117.8729
191.3097, 120.6572
191.7918, 122.7253
192.2739, 123.0427
192.7561, 121.5601
193.2382, 119.1193
193.7203, 116.0061
194.2024, 112.2415
194.6845, 108.2780
195.1666, 104.3766
195.6488, 99.93225
196.1309, 93.28101
196.6130, 84.06018
197.0951, 75.09583
197.5772, 68.04858
198.0593, 62.94836
198.5415, 57.92371
199.0236, 52.93274
199.5057, 47.86926
199.9878, 42.49707
200.4699, 36.74902
200.9520, 31.04663
201.4342, 25.66504
201.9163, 20.59448
202.3984, 15.69836
202.8805, 10.90613
203.3626, 6.335449
203.8447, 2.445190
204.3269, 0.5426030
204.8090, 3.672607
205.2911, 7.867432
205.7732, 13.49646
206.2553, 17.65698
206.7374, 19.68054
207.2196, 20.44727
207.7017, 22.60693
208.1838, 26.77380
208.6659, 30.64148
209.1480, 32.63867
209.6301, 32.21130
210.1123, 32.52893
210.5944, 34.02051
211.0765, 36.21875
211.5586, 37.72034
212.0407, 38.29309
212.5228, 38.67896
213.0050, 34.58606
213.4871, 30.50098
213.9692, 27.03918
214.4513, 24.30139
214.9334, 22.22974
215.4155, 20.80505
215.8977, 20.58423
216.3798, 19.98108
216.8619, 18.06775
217.3440, 14.50012
217.8261, 10.80627
218.3082, 7.133667
218.7904, 3.400635
219.2725, 0.6057130
219.7546, 4.704712
220.2367, 9.349365
220.7188, 14.81677
221.2009, 21.50549
221.6831, 28.08594
222.1652, 34.22742
222.6473, 40.38062
223.1294, 47.71777
223.6115, 56.82751
224.0936, 66.29126
224.5758, 75.52747
225.0579, 84.22778
225.5400, 93.48071
226.0221, 103.4724
226.5042, 114.0664
226.9863, 124.3708
227.4685, 133.7819
227.9506, 144.0515
228.4327, 156.1385
228.9148, 171.3044
229.3969, 185.5754
229.8790, 198.2382
230.3612, 210.1616
230.8433, 223.6963
231.3254, 240.2786
231.8075, 256.4858
232.2896, 270.6915
232.7717, 281.6079
233.2539, 293.7456
233.7360, 308.0206
234.2181, 322.9465
234.7002, 335.0072
235.1823, 342.4492
235.6644, 349.4358
236.1466, 357.8378
236.6287, 368.8645
237.1108, 378.0334
237.5929, 385.1333
238.0750, 390.3048
238.5571, 393.5988
239.0393, 394.2860
239.5214, 394.2339
240.0035, 394.2692
240.4856, 395.0187
240.9677, 394.0776
241.4498, 390.9861
241.9320, 386.5161
242.4141, 381.8436
242.8962, 376.4062
243.3783, 371.8386
243.8604, 368.8666
244.3425, 367.9658
244.8247, 367.1429
245.3068, 366.2509
245.7889, 365.5334
246.2710, 365.3416
246.7531, 365.4584
247.2352, 366.4314
247.7174, 368.5724
248.1995, 372.0376
248.6816, 375.5198
249.1637, 378.3704
249.6458, 381.7058
250.1279, 387.1741
250.6101, 395.8580
251.0922, 404.7217
251.5743, 413.0385
252.0564, 420.9342
252.5385, 427.6426
253.0206, 433.0060
253.5028, 437.3715
253.9849, 440.9803
254.4670, 443.8850
254.9491, 445.9948
255.4312, 447.3060
255.9133, 447.8063
256.3955, 447.7684
256.8776, 447.6724
257.3597, 446.4622
257.8418, 442.7340
258.3239, 435.2571
258.8061, 428.0553
259.2882, 422.0331
259.7703, 417.1376
260.2524, 411.4672
260.7345, 404.3796
261.2166, 397.3040
261.6988, 391.6031
262.1809, 387.8473
262.6630, 384.0250
263.1451, 379.4659
263.6272, 374.2878
264.1093, 370.5657
264.5915, 368.8430
265.0736, 368.1191
265.5557, 367.7194
266.0378, 367.7056
266.5199, 367.0415
267.0020, 365.5017
267.4842, 363.4712
267.9663, 361.8911
268.4484, 360.7117
268.9305, 359.7642
269.4126, 358.7966
269.8947, 357.6758
270.3769, 357.7109
270.8590, 359.5444
271.3411, 362.7314
271.8232, 365.2754
272.3053, 366.4556
272.7874, 368.8948
273.2696, 373.9177
273.7517, 381.3918
274.2338, 392.1863
274.7159, 407.1287
275.1980, 425.0264
275.6801, 442.1445
276.1623, 457.9717
276.6444, 475.4038
277.1265, 495.3811
277.6086, 518.0601
278.0907, 544.4348
278.5728, 575.4102
279.0550, 608.9980
279.5371, 641.0872
280.0192, 671.1914
280.5013, 703.7661
280.9834, 741.3975
281.4655, 783.9685
281.9477, 826.7424
282.4298, 868.9343
282.9119, 912.1140
283.3940, 958.0144
283.8761, 1006.586
284.3582, 1057.563
284.8404, 1111.784
285.3225, 1168.530
285.8046, 1223.547
286.2867, 1275.954
286.7688, 1328.132
287.2509, 1383.015
287.7331, 1440.366
288.2152, 1496.937
288.6973, 1551.682
289.1794, 1605.202
289.6615, 1658.268
290.1436, 1711.438
290.6258, 1763.646
291.1079, 1815.969
291.5900, 1867.724
292.0721, 1915.128
292.5542, 1956.713
293.0363, 1993.382
293.5185, 2026.778
294.0006, 2057.147
294.4827, 2082.517
294.9648, 2102.451
295.4469, 2116.869
295.9290, 2125.553
296.4112, 2129.214
296.8933, 2125.957
297.3754, 2112.140
297.8575, 2088.372
298.3396, 2057.857
298.8217, 2023.062
299.3039, 1982.955
299.7860, 1936.174
300.2681, 1881.956
300.7502, 1821.735
301.2323, 1757.188
301.7144, 1687.745
302.1966, 1615.458
302.6787, 1536.947
303.1608, 1456.749
303.6429, 1379.308
304.1250, 1305.818
304.6071, 1235.131
305.0893, 1167.310
305.5714, 1101.574
306.0535, 1038.937
306.5356, 978.7664
307.0177, 921.2915
307.4998, 867.4731
307.9820, 816.9705
308.4641, 770.6919
308.9462, 729.5359
309.4283, 692.5398
309.9104, 658.9082
310.3925, 628.4043
310.8747, 601.4128
311.3568, 579.3843
311.8389, 561.9390
312.3210, 546.4795
312.8031, 531.1724
313.2852, 517.1831
313.7674, 505.5093
314.2495, 496.5134
314.7316, 489.7883
315.2137, 485.7290
315.6958, 483.9551
316.1779, 483.2808
316.6601, 483.2781
317.1422, 484.2292
317.6243, 486.1772
318.1064, 488.3418
318.5885, 492.9829
319.0706, 501.1387
319.5528, 512.2417
