##NAMES=Wangkuirenite
##RRUFFID=R220047
##IDEAL CHEMISTRY=Pb^2+^_3_Cl_2_(Se^4+^O_3_)_2_
##LOCALITY=Baccu Locci mine, Villaputen, Sardinia, Italy
##OWNER=RRUFF
##SOURCE=Bill Pinch
##DESCRIPTION=Pale yellow tabular or bladed crystals, associated with krut'aite, chalcomenite, orlandiite, olsacherite, and anglesite.
##STATUS=The identification of this mineral is confirmed by single-crystal X-ray diffraction and chemical analysis.
##URL=rruff.info/R220047
##MEASURED CHEMISTRY=Pb_3.01_Cl_1.96_(Se_1.00_O_3.02_)_2_, calculated on the basis of 8 (O + Cl) apfu.
8.803156e+001, 0.000000e+000
8.851367e+001, 9.676579e+002
8.899579e+001, 9.515827e+002
8.947791e+001, 9.576401e+002
8.996002e+001, 9.833262e+002
9.044214e+001, 1.015595e+003
9.092426e+001, 1.045587e+003
9.140637e+001, 1.074676e+003
9.188849e+001, 1.104820e+003
9.237061e+001, 1.136025e+003
9.285272e+001, 1.168745e+003
9.333484e+001, 1.205600e+003
9.381696e+001, 1.246961e+003
9.429907e+001, 1.287730e+003
9.478119e+001, 1.329147e+003
9.526331e+001, 1.370312e+003
9.574542e+001, 1.397037e+003
9.622754e+001, 1.405322e+003
9.670966e+001, 1.396106e+003
9.719177e+001, 1.368106e+003
9.767389e+001, 1.320220e+003
9.815601e+001, 1.260029e+003
9.863812e+001, 1.195635e+003
9.912024e+001, 1.125514e+003
9.960236e+001, 1.061318e+003
1.000845e+002, 1.007910e+003
1.005666e+002, 9.647778e+002
1.010487e+002, 9.295276e+002
1.015308e+002, 9.010592e+002
1.020129e+002, 8.797847e+002
1.024950e+002, 8.685077e+002
1.029772e+002, 8.694720e+002
1.034593e+002, 8.755399e+002
1.039414e+002, 8.825883e+002
1.044235e+002, 8.885917e+002
1.049056e+002, 8.993146e+002
1.053877e+002, 9.159186e+002
1.058699e+002, 9.378604e+002
1.063520e+002, 9.608185e+002
1.068341e+002, 9.849455e+002
1.073162e+002, 1.009841e+003
1.077983e+002, 1.035118e+003
1.082804e+002, 1.063279e+003
1.087626e+002, 1.089616e+003
1.092447e+002, 1.114112e+003
1.097268e+002, 1.137343e+003
1.102089e+002, 1.156910e+003
1.106910e+002, 1.172572e+003
1.111731e+002, 1.184917e+003
1.116553e+002, 1.194133e+003
1.121374e+002, 1.202163e+003
1.126195e+002, 1.205734e+003
1.131016e+002, 1.202944e+003
1.135837e+002, 1.192061e+003
1.140658e+002, 1.180930e+003
1.145480e+002, 1.170737e+003
1.150301e+002, 1.161566e+003
1.155122e+002, 1.153922e+003
1.159943e+002, 1.146368e+003
1.164764e+002, 1.141236e+003
1.169585e+002, 1.140029e+003
1.174407e+002, 1.143627e+003
1.179228e+002, 1.149592e+003
1.184049e+002, 1.156377e+003
1.188870e+002, 1.164425e+003
1.193691e+002, 1.175105e+003
1.198512e+002, 1.189443e+003
1.203334e+002, 1.206480e+003
1.208155e+002, 1.225220e+003
1.212976e+002, 1.245148e+003
1.217797e+002, 1.266990e+003
1.222618e+002, 1.292455e+003
1.227439e+002, 1.321196e+003
1.232261e+002, 1.349603e+003
1.237082e+002, 1.373824e+003
1.241903e+002, 1.395985e+003
1.246724e+002, 1.419283e+003
1.251545e+002, 1.446228e+003
1.256366e+002, 1.474198e+003
1.261188e+002, 1.499777e+003
1.266009e+002, 1.522958e+003
1.270830e+002, 1.544099e+003
1.275651e+002, 1.564172e+003
1.280472e+002, 1.582570e+003
1.285293e+002, 1.597800e+003
1.290115e+002, 1.608589e+003
1.294936e+002, 1.615739e+003
1.299757e+002, 1.621522e+003
1.304578e+002, 1.626053e+003
1.309399e+002, 1.628876e+003
1.314220e+002, 1.627633e+003
1.319042e+002, 1.622512e+003
1.323863e+002, 1.619996e+003
1.328684e+002, 1.623386e+003
1.333505e+002, 1.632360e+003
1.338326e+002, 1.642907e+003
1.343147e+002, 1.654497e+003
1.347969e+002, 1.668373e+003
1.352790e+002, 1.687940e+003
1.357611e+002, 1.714223e+003
1.362432e+002, 1.741678e+003
1.367253e+002, 1.767868e+003
1.372074e+002, 1.792679e+003
1.376896e+002, 1.818059e+003
1.381717e+002, 1.845102e+003
1.386538e+002, 1.872586e+003
1.391359e+002, 1.896995e+003
1.396180e+002, 1.920031e+003
1.401001e+002, 1.936843e+003
1.405823e+002, 1.944418e+003
1.410644e+002, 1.942036e+003
1.415465e+002, 1.932605e+003
1.420286e+002, 1.915734e+003
1.425107e+002, 1.891958e+003
1.429928e+002, 1.863486e+003
1.434750e+002, 1.830629e+003
1.439571e+002, 1.792876e+003
1.444392e+002, 1.750253e+003
1.449213e+002, 1.697677e+003
1.454034e+002, 1.647654e+003
1.458855e+002, 1.601662e+003
1.463677e+002, 1.560173e+003
1.468498e+002, 1.519160e+003
1.473319e+002, 1.478855e+003
1.478140e+002, 1.439137e+003
1.482961e+002, 1.399815e+003
1.487782e+002, 1.357040e+003
1.492604e+002, 1.318939e+003
1.497425e+002, 1.287242e+003
1.502246e+002, 1.262872e+003
1.507067e+002, 1.240042e+003
1.511888e+002, 1.219430e+003
1.516709e+002, 1.199821e+003
1.521531e+002, 1.179833e+003
1.526352e+002, 1.157528e+003
1.531173e+002, 1.136508e+003
1.535994e+002, 1.117839e+003
1.540815e+002, 1.102023e+003
1.545636e+002, 1.087025e+003
1.550458e+002, 1.073286e+003
1.555279e+002, 1.060180e+003
1.560100e+002, 1.046834e+003
1.564921e+002, 1.031653e+003
1.569742e+002, 1.017392e+003
1.574563e+002, 1.005471e+003
1.579385e+002, 9.969749e+002
1.584206e+002, 9.882752e+002
1.589027e+002, 9.779731e+002
1.593848e+002, 9.668281e+002
1.598669e+002, 9.562615e+002
1.603490e+002, 9.475266e+002
1.608312e+002, 9.388708e+002
1.613133e+002, 9.290280e+002
1.617954e+002, 9.171572e+002
1.622775e+002, 9.054427e+002
1.627596e+002, 8.946958e+002
1.632417e+002, 8.847836e+002
1.637238e+002, 8.753955e+002
1.642060e+002, 8.662516e+002
1.646881e+002, 8.576412e+002
1.651702e+002, 8.497521e+002
1.656523e+002, 8.429303e+002
1.661344e+002, 8.363256e+002
1.666165e+002, 8.297181e+002
1.670987e+002, 8.229590e+002
1.675808e+002, 8.156798e+002
1.680629e+002, 8.071927e+002
1.685450e+002, 7.982336e+002
1.690271e+002, 7.893524e+002
1.695092e+002, 7.801581e+002
1.699914e+002, 7.717967e+002
1.704735e+002, 7.658571e+002
1.709556e+002, 7.619823e+002
1.714377e+002, 7.578509e+002
1.719198e+002, 7.515682e+002
1.724019e+002, 7.441269e+002
1.728841e+002, 7.369720e+002
1.733662e+002, 7.301668e+002
1.738483e+002, 7.241803e+002
1.743304e+002, 7.196929e+002
1.748125e+002, 7.166271e+002
1.752946e+002, 7.143397e+002
1.757768e+002, 7.133470e+002
1.762589e+002, 7.127005e+002
1.767410e+002, 7.104337e+002
1.772231e+002, 7.047426e+002
1.777052e+002, 6.977886e+002
1.781873e+002, 6.927031e+002
1.786695e+002, 6.894409e+002
1.791516e+002, 6.871798e+002
1.796337e+002, 6.859339e+002
1.801158e+002, 6.852332e+002
1.805979e+002, 6.837300e+002
1.810800e+002, 6.804822e+002
1.815622e+002, 6.762580e+002
1.820443e+002, 6.727303e+002
1.825264e+002, 6.699202e+002
1.830085e+002, 6.670441e+002
1.834906e+002, 6.628998e+002
1.839727e+002, 6.578258e+002
1.844549e+002, 6.532272e+002
1.849370e+002, 6.500472e+002
1.854191e+002, 6.477620e+002
1.859012e+002, 6.446786e+002
1.863833e+002, 6.406990e+002
1.868654e+002, 6.366639e+002
1.873476e+002, 6.338191e+002
1.878297e+002, 6.320225e+002
1.883118e+002, 6.301041e+002
1.887939e+002, 6.275622e+002
1.892760e+002, 6.245064e+002
1.897581e+002, 6.213536e+002
1.902403e+002, 6.180250e+002
1.907224e+002, 6.147954e+002
1.912045e+002, 6.122272e+002
1.916866e+002, 6.103102e+002
1.921687e+002, 6.080307e+002
1.926508e+002, 6.043606e+002
1.931330e+002, 5.995708e+002
1.936151e+002, 5.968314e+002
1.940972e+002, 5.965718e+002
1.945793e+002, 5.972115e+002
1.950614e+002, 5.964572e+002
1.955435e+002, 5.942437e+002
1.960257e+002, 5.916346e+002
1.965078e+002, 5.892585e+002
1.969899e+002, 5.870922e+002
1.974720e+002, 5.837213e+002
1.979541e+002, 5.786931e+002
1.984362e+002, 5.733328e+002
1.989184e+002, 5.698766e+002
1.994005e+002, 5.686077e+002
1.998826e+002, 5.676622e+002
2.003647e+002, 5.662046e+002
2.008468e+002, 5.641850e+002
2.013289e+002, 5.626120e+002
2.018111e+002, 5.617860e+002
2.022932e+002, 5.610297e+002
2.027753e+002, 5.587927e+002
2.032574e+002, 5.546091e+002
2.037395e+002, 5.509551e+002
2.042216e+002, 5.493015e+002
2.047038e+002, 5.500632e+002
2.051859e+002, 5.496776e+002
2.056680e+002, 5.477723e+002
2.061501e+002, 5.450699e+002
2.066322e+002, 5.429099e+002
2.071143e+002, 5.412794e+002
2.075965e+002, 5.401972e+002
2.080786e+002, 5.399366e+002
2.085607e+002, 5.408339e+002
2.090428e+002, 5.406741e+002
2.095249e+002, 5.389462e+002
2.100070e+002, 5.365697e+002
2.104892e+002, 5.357827e+002
2.109713e+002, 5.373978e+002
2.114534e+002, 5.385435e+002
2.119355e+002, 5.376357e+002
2.124176e+002, 5.338309e+002
2.128997e+002, 5.313152e+002
2.133819e+002, 5.303644e+002
2.138640e+002, 5.305837e+002
2.143461e+002, 5.312122e+002
2.148282e+002, 5.325195e+002
2.153103e+002, 5.336791e+002
2.157924e+002, 5.343488e+002
2.162746e+002, 5.344715e+002
2.167567e+002, 5.342034e+002
2.172388e+002, 5.331779e+002
2.177209e+002, 5.319509e+002
2.182030e+002, 5.320663e+002
2.186851e+002, 5.344878e+002
2.191673e+002, 5.363326e+002
2.196494e+002, 5.361266e+002
2.201315e+002, 5.329532e+002
2.206136e+002, 5.303125e+002
2.210957e+002, 5.282596e+002
2.215778e+002, 5.266698e+002
2.220600e+002, 5.252740e+002
2.225421e+002, 5.238942e+002
2.230242e+002, 5.229766e+002
2.235063e+002, 5.229445e+002
2.239884e+002, 5.246459e+002
2.244705e+002, 5.248879e+002
2.249527e+002, 5.232886e+002
2.254348e+002, 5.203721e+002
2.259169e+002, 5.173317e+002
2.263990e+002, 5.138390e+002
2.268811e+002, 5.107750e+002
2.273632e+002, 5.085765e+002
2.278454e+002, 5.074754e+002
2.283275e+002, 5.066107e+002
2.288096e+002, 5.061275e+002
2.292917e+002, 5.058188e+002
2.297738e+002, 5.052025e+002
2.302559e+002, 5.040483e+002
2.307381e+002, 5.029539e+002
2.312202e+002, 5.020594e+002
2.317023e+002, 5.010888e+002
2.321844e+002, 5.012038e+002
2.326665e+002, 5.032509e+002
2.331486e+002, 5.060359e+002
2.336308e+002, 5.069323e+002
2.341129e+002, 5.050466e+002
2.345950e+002, 5.027048e+002
2.350771e+002, 5.007838e+002
2.355592e+002, 4.995008e+002
2.360413e+002, 4.979816e+002
2.365235e+002, 4.959866e+002
2.370056e+002, 4.938613e+002
2.374877e+002, 4.923272e+002
2.379698e+002, 4.918343e+002
2.384519e+002, 4.912274e+002
2.389340e+002, 4.899009e+002
2.394162e+002, 4.872252e+002
2.398983e+002, 4.860003e+002
2.403804e+002, 4.872062e+002
2.408625e+002, 4.893413e+002
2.413446e+002, 4.896395e+002
2.418267e+002, 4.873379e+002
2.423089e+002, 4.843642e+002
2.427910e+002, 4.809117e+002
2.432731e+002, 4.762028e+002
2.437552e+002, 4.741450e+002
2.442373e+002, 4.762624e+002
2.447194e+002, 4.800909e+002
2.452016e+002, 4.814265e+002
2.456837e+002, 4.787591e+002
2.461658e+002, 4.761461e+002
2.466479e+002, 4.750187e+002
2.471300e+002, 4.758949e+002
2.476121e+002, 4.756122e+002
2.480943e+002, 4.731683e+002
2.485764e+002, 4.703232e+002
2.490585e+002, 4.699333e+002
2.495406e+002, 4.737546e+002
2.500227e+002, 4.768340e+002
2.505048e+002, 4.776009e+002
2.509870e+002, 4.756711e+002
2.514691e+002, 4.740472e+002
2.519512e+002, 4.728639e+002
2.524333e+002, 4.718743e+002
2.529154e+002, 4.706653e+002
2.533975e+002, 4.688964e+002
2.538797e+002, 4.676089e+002
2.543618e+002, 4.672542e+002
2.548439e+002, 4.679334e+002
2.553260e+002, 4.681551e+002
2.558081e+002, 4.677802e+002
2.562902e+002, 4.670802e+002
2.567723e+002, 4.662167e+002
2.572545e+002, 4.647706e+002
2.577366e+002, 4.641625e+002
2.582187e+002, 4.651277e+002
2.587008e+002, 4.676962e+002
2.591829e+002, 4.687548e+002
2.596650e+002, 4.676132e+002
2.601472e+002, 4.658797e+002
2.606293e+002, 4.652361e+002
2.611114e+002, 4.661319e+002
2.615935e+002, 4.669412e+002
2.620756e+002, 4.674210e+002
2.625577e+002, 4.675681e+002
2.630399e+002, 4.670409e+002
2.635220e+002, 4.652856e+002
2.640041e+002, 4.637724e+002
2.644862e+002, 4.641789e+002
2.649683e+002, 4.674000e+002
2.654504e+002, 4.694242e+002
2.659326e+002, 4.691342e+002
2.664147e+002, 4.669428e+002
2.668968e+002, 4.656116e+002
2.673789e+002, 4.653280e+002
2.678610e+002, 4.655120e+002
2.683431e+002, 4.657824e+002
2.688253e+002, 4.661780e+002
2.693074e+002, 4.664608e+002
2.697895e+002, 4.665893e+002
2.702716e+002, 4.665780e+002
2.707537e+002, 4.664947e+002
2.712358e+002, 4.663557e+002
2.717180e+002, 4.661134e+002
2.722001e+002, 4.655956e+002
2.726822e+002, 4.646893e+002
2.731643e+002, 4.643642e+002
2.736464e+002, 4.649022e+002
2.741285e+002, 4.659902e+002
2.746107e+002, 4.667592e+002
2.750928e+002, 4.672189e+002
2.755749e+002, 4.673275e+002
2.760570e+002, 4.668517e+002
2.765391e+002, 4.657226e+002
2.770212e+002, 4.651939e+002
2.775034e+002, 4.656240e+002
2.779855e+002, 4.664058e+002
2.784676e+002, 4.659019e+002
2.789497e+002, 4.638795e+002
2.794318e+002, 4.622210e+002
2.799139e+002, 4.621764e+002
2.803961e+002, 4.637187e+002
2.808782e+002, 4.650674e+002
2.813603e+002, 4.662433e+002
2.818424e+002, 4.669946e+002
2.823245e+002, 4.664648e+002
2.828066e+002, 4.645815e+002
2.832888e+002, 4.632783e+002
2.837709e+002, 4.637376e+002
2.842530e+002, 4.657694e+002
2.847351e+002, 4.676739e+002
2.852172e+002, 4.695003e+002
2.856993e+002, 4.710004e+002
2.861815e+002, 4.721247e+002
2.866636e+002, 4.728240e+002
2.871457e+002, 4.721981e+002
2.876278e+002, 4.686598e+002
2.881099e+002, 4.633268e+002
2.885920e+002, 4.608926e+002
2.890742e+002, 4.615649e+002
2.895563e+002, 4.638981e+002
2.900384e+002, 4.673712e+002
2.905205e+002, 4.715697e+002
2.910026e+002, 4.738057e+002
2.914847e+002, 4.719638e+002
2.919669e+002, 4.679695e+002
2.924490e+002, 4.669621e+002
2.929311e+002, 4.690456e+002
2.934132e+002, 4.715188e+002
2.938953e+002, 4.716850e+002
2.943774e+002, 4.700890e+002
2.948596e+002, 4.687023e+002
2.953417e+002, 4.679223e+002
2.958238e+002, 4.677437e+002
2.963059e+002, 4.683730e+002
2.967880e+002, 4.697663e+002
2.972701e+002, 4.712564e+002
2.977523e+002, 4.726253e+002
2.982344e+002, 4.737067e+002
2.987165e+002, 4.740585e+002
2.991986e+002, 4.733061e+002
2.996807e+002, 4.722590e+002
3.001628e+002, 4.719747e+002
3.006450e+002, 4.723362e+002
3.011271e+002, 4.727174e+002
3.016092e+002, 4.725385e+002
3.020913e+002, 4.721776e+002
3.025734e+002, 4.722045e+002
3.030555e+002, 4.727405e+002
3.035377e+002, 4.736131e+002
3.040198e+002, 4.749713e+002
3.045019e+002, 4.765750e+002
3.049840e+002, 4.777868e+002
3.054661e+002, 4.781934e+002
3.059482e+002, 4.780385e+002
3.064304e+002, 4.773599e+002
3.069125e+002, 4.760125e+002
3.073946e+002, 4.749542e+002
3.078767e+002, 4.751255e+002
3.083588e+002, 4.760733e+002
3.088409e+002, 4.769844e+002
3.093231e+002, 4.772661e+002
3.098052e+002, 4.775115e+002
3.102873e+002, 4.782908e+002
3.107694e+002, 4.796689e+002
3.112515e+002, 4.808594e+002
3.117336e+002, 4.813102e+002
3.122158e+002, 4.813600e+002
3.126979e+002, 4.814341e+002
3.131800e+002, 4.815077e+002
3.136621e+002, 4.818087e+002
3.141442e+002, 4.825388e+002
3.146263e+002, 4.836741e+002
3.151085e+002, 4.848767e+002
3.155906e+002, 4.864082e+002
3.160727e+002, 4.877445e+002
3.165548e+002, 4.884588e+002
3.170369e+002, 4.875731e+002
3.175190e+002, 4.869371e+002
3.180012e+002, 4.873872e+002
3.184833e+002, 4.886675e+002
3.189654e+002, 4.896880e+002
3.194475e+002, 4.900706e+002
3.199296e+002, 4.901319e+002
3.204117e+002, 4.900485e+002
3.208939e+002, 4.898695e+002
3.213760e+002, 4.894988e+002
3.218581e+002, 4.883642e+002
3.223402e+002, 4.870007e+002
3.228223e+002, 4.866981e+002
3.233044e+002, 4.882141e+002
3.237866e+002, 4.903422e+002
3.242687e+002, 4.929123e+002
3.247508e+002, 4.967911e+002
3.252329e+002, 4.989872e+002
3.257150e+002, 4.975654e+002
3.261971e+002, 4.947856e+002
3.266793e+002, 4.940075e+002
3.271614e+002, 4.976561e+002
3.276435e+002, 5.007381e+002
3.281256e+002, 5.018275e+002
3.286077e+002, 5.004063e+002
3.290898e+002, 5.001195e+002
3.295720e+002, 5.015527e+002
3.300541e+002, 5.037220e+002
3.305362e+002, 5.056444e+002
3.310183e+002, 5.068508e+002
3.315004e+002, 5.086379e+002
3.319825e+002, 5.115023e+002
3.324647e+002, 5.153210e+002
3.329468e+002, 5.182306e+002
3.334289e+002, 5.197963e+002
3.339110e+002, 5.209879e+002
3.343931e+002, 5.223533e+002
3.348752e+002, 5.236354e+002
3.353573e+002, 5.257948e+002
3.358394e+002, 5.291942e+002
3.363216e+002, 5.334193e+002
3.368037e+002, 5.370565e+002
3.372858e+002, 5.396595e+002
3.377679e+002, 5.429157e+002
3.382500e+002, 5.482521e+002
3.387321e+002, 5.559704e+002
3.392143e+002, 5.621954e+002
3.396964e+002, 5.662203e+002
3.401785e+002, 5.695702e+002
3.406606e+002, 5.751437e+002
3.411427e+002, 5.832642e+002
3.416248e+002, 5.909820e+002
3.421070e+002, 5.968148e+002
3.425891e+002, 6.010281e+002
3.430712e+002, 6.061218e+002
3.435533e+002, 6.120571e+002
3.440354e+002, 6.189594e+002
3.445175e+002, 6.272711e+002
3.449997e+002, 6.368961e+002
3.454818e+002, 6.462542e+002
3.459639e+002, 6.546713e+002
3.464460e+002, 6.626559e+002
3.469281e+002, 6.712964e+002
3.474102e+002, 6.805665e+002
3.478924e+002, 6.895468e+002
3.483745e+002, 6.976339e+002
3.488566e+002, 7.047268e+002
3.493387e+002, 7.106804e+002
3.498208e+002, 7.153627e+002
3.503029e+002, 7.189663e+002
3.507851e+002, 7.218974e+002
3.512672e+002, 7.240500e+002
3.517493e+002, 7.247504e+002
3.522314e+002, 7.244674e+002
3.527135e+002, 7.221997e+002
3.531956e+002, 7.159908e+002
3.536778e+002, 7.050155e+002
3.541599e+002, 6.927618e+002
3.546420e+002, 6.821852e+002
3.551241e+002, 6.725561e+002
3.556062e+002, 6.625793e+002
3.560883e+002, 6.505428e+002
3.565705e+002, 6.386910e+002
3.570526e+002, 6.287571e+002
3.575347e+002, 6.208314e+002
3.580168e+002, 6.142958e+002
3.584989e+002, 6.095885e+002
3.589810e+002, 6.058470e+002
3.594632e+002, 6.022019e+002
3.599453e+002, 5.976937e+002
3.604274e+002, 5.938836e+002
3.609095e+002, 5.914720e+002
3.613916e+002, 5.903462e+002
3.618737e+002, 5.898585e+002
3.623559e+002, 5.896282e+002
3.628380e+002, 5.900912e+002
3.633201e+002, 5.916207e+002
3.638022e+002, 5.953631e+002
3.642843e+002, 5.984562e+002
3.647664e+002, 5.999227e+002
3.652486e+002, 6.003915e+002
3.657307e+002, 6.011810e+002
3.662128e+002, 6.017365e+002
3.666949e+002, 6.032631e+002
3.671770e+002, 6.065965e+002
3.676591e+002, 6.129190e+002
3.681413e+002, 6.172955e+002
3.686234e+002, 6.184229e+002
3.691055e+002, 6.182940e+002
3.695876e+002, 6.191402e+002
3.700697e+002, 6.217296e+002
3.705518e+002, 6.241259e+002
3.710340e+002, 6.262125e+002
3.715161e+002, 6.279591e+002
3.719982e+002, 6.282960e+002
3.724803e+002, 6.267430e+002
3.729624e+002, 6.245020e+002
3.734445e+002, 6.225541e+002
3.739267e+002, 6.212537e+002
3.744088e+002, 6.188754e+002
3.748909e+002, 6.148795e+002
3.753730e+002, 6.100256e+002
3.758551e+002, 6.066505e+002
3.763372e+002, 6.051955e+002
3.768194e+002, 6.034568e+002
3.773015e+002, 6.000411e+002
3.777836e+002, 5.949213e+002
3.782657e+002, 5.905385e+002
3.787478e+002, 5.869456e+002
3.792299e+002, 5.840562e+002
3.797121e+002, 5.819015e+002
3.801942e+002, 5.804545e+002
3.806763e+002, 5.790947e+002
3.811584e+002, 5.776367e+002
3.816405e+002, 5.761052e+002
3.821227e+002, 5.743035e+002
3.826048e+002, 5.721941e+002
3.830869e+002, 5.708666e+002
3.835690e+002, 5.720663e+002
3.840511e+002, 5.747305e+002
3.845332e+002, 5.761670e+002
3.850154e+002, 5.754983e+002
3.854975e+002, 5.738626e+002
3.859796e+002, 5.717120e+002
3.864617e+002, 5.695033e+002
3.869438e+002, 5.689050e+002
3.874259e+002, 5.726037e+002
3.879081e+002, 5.775570e+002
3.883902e+002, 5.801021e+002
3.888723e+002, 5.794121e+002
3.893544e+002, 5.788511e+002
3.898365e+002, 5.812602e+002
3.903186e+002, 5.851284e+002
3.908008e+002, 5.881350e+002
3.912829e+002, 5.883386e+002
3.917650e+002, 5.884056e+002
3.922471e+002, 5.898153e+002
3.927292e+002, 5.925280e+002
3.932113e+002, 5.952136e+002
3.936935e+002, 5.975643e+002
3.941756e+002, 5.996295e+002
3.946577e+002, 6.013971e+002
3.951398e+002, 6.022849e+002
3.956219e+002, 6.036921e+002
3.961040e+002, 6.063433e+002
3.965862e+002, 6.097505e+002
3.970683e+002, 6.125483e+002
3.975504e+002, 6.140818e+002
3.980325e+002, 6.154644e+002
3.985146e+002, 6.171901e+002
3.989967e+002, 6.196883e+002
3.994789e+002, 6.211885e+002
3.999610e+002, 6.214205e+002
4.004431e+002, 6.208115e+002
4.009252e+002, 6.197833e+002
4.014073e+002, 6.180100e+002
4.018894e+002, 6.164827e+002
4.023716e+002, 6.158410e+002
4.028537e+002, 6.158134e+002
4.033358e+002, 6.134566e+002
4.038179e+002, 6.079014e+002
4.043000e+002, 6.019728e+002
4.047821e+002, 5.980316e+002
4.052643e+002, 5.964860e+002
4.057464e+002, 5.932328e+002
4.062285e+002, 5.872479e+002
4.067106e+002, 5.803378e+002
4.071927e+002, 5.759244e+002
4.076748e+002, 5.740634e+002
4.081570e+002, 5.725023e+002
