##NAMES=Cerite-(CeCa)
##RRUFFID=R130614
##IDEAL CHEMISTRY=(Ce_7_Ca_2_)[box]Mg(SiO_4_)_3_(SiO_3_OH)_4_(OH)_3_
##LOCALITY=Mont Saint-Hilaire, Rouville County, Quebec, Canada
##OWNER=RRUFF
##SOURCE=Don Doell
##DESCRIPTION=Hexagonal platy pink crystals, associated with catapleiite and aegirine. The color is dependent upon light source.
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R130614
8.813672e+001, 3.371160e+003
8.861884e+001, 3.410109e+003
8.910095e+001, 3.451086e+003
8.958307e+001, 3.509542e+003
9.006519e+001, 3.580139e+003
9.054730e+001, 3.647148e+003
9.102942e+001, 3.714694e+003
9.151154e+001, 3.774650e+003
9.199365e+001, 3.815971e+003
9.247577e+001, 3.841998e+003
9.295789e+001, 3.864287e+003
9.344000e+001, 3.890059e+003
9.392212e+001, 3.915106e+003
9.440424e+001, 3.937492e+003
9.488635e+001, 3.962544e+003
9.536847e+001, 3.990113e+003
9.585059e+001, 4.016456e+003
9.633270e+001, 4.041019e+003
9.681482e+001, 4.067791e+003
9.729694e+001, 4.100375e+003
9.777905e+001, 4.138700e+003
9.826117e+001, 4.179521e+003
9.874329e+001, 4.222576e+003
9.922540e+001, 4.267040e+003
9.970752e+001, 4.308885e+003
1.001896e+002, 4.346762e+003
1.006718e+002, 4.383009e+003
1.011539e+002, 4.419518e+003
1.016360e+002, 4.455616e+003
1.021181e+002, 4.495383e+003
1.026002e+002, 4.540580e+003
1.030823e+002, 4.592181e+003
1.035645e+002, 4.642688e+003
1.040466e+002, 4.691049e+003
1.045287e+002, 4.739629e+003
1.050108e+002, 4.794404e+003
1.054929e+002, 4.858337e+003
1.059750e+002, 4.924252e+003
1.064572e+002, 4.990090e+003
1.069393e+002, 5.061986e+003
1.074214e+002, 5.123737e+003
1.079035e+002, 5.170667e+003
1.083856e+002, 5.207692e+003
1.088677e+002, 5.249537e+003
1.093499e+002, 5.299800e+003
1.098320e+002, 5.353164e+003
1.103141e+002, 5.407309e+003
1.107962e+002, 5.465223e+003
1.112783e+002, 5.521801e+003
1.117604e+002, 5.576345e+003
1.122426e+002, 5.629709e+003
1.127247e+002, 5.683650e+003
1.132068e+002, 5.738242e+003
1.136889e+002, 5.793821e+003
1.141710e+002, 5.850047e+003
1.146531e+002, 5.912986e+003
1.151353e+002, 5.970484e+003
1.156174e+002, 6.016538e+003
1.160995e+002, 6.050901e+003
1.165816e+002, 6.088617e+003
1.170637e+002, 6.141024e+003
1.175458e+002, 6.197502e+003
1.180280e+002, 6.247188e+003
1.185101e+002, 6.278538e+003
1.189922e+002, 6.306439e+003
1.194743e+002, 6.338795e+003
1.199564e+002, 6.376396e+003
1.204385e+002, 6.416289e+003
1.209207e+002, 6.455763e+003
1.214028e+002, 6.496193e+003
1.218849e+002, 6.539883e+003
1.223670e+002, 6.595050e+003
1.228491e+002, 6.651401e+003
1.233312e+002, 6.696871e+003
1.238134e+002, 6.728726e+003
1.242955e+002, 6.755726e+003
1.247776e+002, 6.783170e+003
1.252597e+002, 6.811779e+003
1.257418e+002, 6.843903e+003
1.262239e+002, 6.882756e+003
1.267061e+002, 6.926326e+003
1.271882e+002, 6.969378e+003
1.276703e+002, 7.011353e+003
1.281524e+002, 7.053367e+003
1.286345e+002, 7.097417e+003
1.291166e+002, 7.143280e+003
1.295988e+002, 7.188971e+003
1.300809e+002, 7.232970e+003
1.305630e+002, 7.275421e+003
1.310451e+002, 7.317083e+003
1.315272e+002, 7.356895e+003
1.320093e+002, 7.396131e+003
1.324915e+002, 7.438943e+003
1.329736e+002, 7.485448e+003
1.334557e+002, 7.532807e+003
1.339378e+002, 7.577757e+003
1.344199e+002, 7.620304e+003
1.349020e+002, 7.662445e+003
1.353842e+002, 7.705428e+003
1.358663e+002, 7.747602e+003
1.363484e+002, 7.784224e+003
1.368305e+002, 7.813263e+003
1.373126e+002, 7.841491e+003
1.377947e+002, 7.878870e+003
1.382769e+002, 7.929077e+003
1.387590e+002, 7.969228e+003
1.392411e+002, 7.990237e+003
1.397232e+002, 7.991944e+003
1.402053e+002, 7.996899e+003
1.406874e+002, 8.006540e+003
1.411696e+002, 8.018088e+003
1.416517e+002, 8.028191e+003
1.421338e+002, 8.037917e+003
1.426159e+002, 8.044874e+003
1.430980e+002, 8.048309e+003
1.435801e+002, 8.047860e+003
1.440623e+002, 8.047177e+003
1.445444e+002, 8.045964e+003
1.450265e+002, 8.045307e+003
1.455086e+002, 8.047317e+003
1.459907e+002, 8.056076e+003
1.464728e+002, 8.062650e+003
1.469550e+002, 8.063508e+003
1.474371e+002, 8.054190e+003
1.479192e+002, 8.049693e+003
1.484013e+002, 8.052415e+003
1.488834e+002, 8.059687e+003
1.493655e+002, 8.065713e+003
1.498477e+002, 8.068833e+003
1.503298e+002, 8.072005e+003
1.508119e+002, 8.076505e+003
1.512940e+002, 8.086823e+003
1.517761e+002, 8.091728e+003
1.522583e+002, 8.084993e+003
1.527404e+002, 8.071708e+003
1.532225e+002, 8.066353e+003
1.537046e+002, 8.079326e+003
1.541867e+002, 8.093878e+003
1.546688e+002, 8.102311e+003
1.551510e+002, 8.099762e+003
1.556331e+002, 8.096172e+003
1.561152e+002, 8.091097e+003
1.565973e+002, 8.085596e+003
1.570794e+002, 8.083919e+003
1.575615e+002, 8.090583e+003
1.580437e+002, 8.099239e+003
1.585258e+002, 8.105963e+003
1.590079e+002, 8.107254e+003
1.594900e+002, 8.109341e+003
1.599721e+002, 8.114860e+003
1.604542e+002, 8.123146e+003
1.609364e+002, 8.130254e+003
1.614185e+002, 8.133787e+003
1.619006e+002, 8.136032e+003
1.623827e+002, 8.138822e+003
1.628648e+002, 8.143500e+003
1.633469e+002, 8.148082e+003
1.638291e+002, 8.151179e+003
1.643112e+002, 8.152971e+003
1.647933e+002, 8.155650e+003
1.652754e+002, 8.162730e+003
1.657575e+002, 8.170383e+003
1.662396e+002, 8.174584e+003
1.667218e+002, 8.167894e+003
1.672039e+002, 8.161792e+003
1.676860e+002, 8.164794e+003
1.681681e+002, 8.176752e+003
1.686502e+002, 8.189759e+003
1.691323e+002, 8.199863e+003
1.696145e+002, 8.207680e+003
1.700966e+002, 8.213966e+003
1.705787e+002, 8.218737e+003
1.710608e+002, 8.222327e+003
1.715429e+002, 8.223956e+003
1.720250e+002, 8.223525e+003
1.725072e+002, 8.224845e+003
1.729893e+002, 8.232402e+003
1.734714e+002, 8.243746e+003
1.739535e+002, 8.254310e+003
1.744356e+002, 8.260921e+003
1.749177e+002, 8.266177e+003
1.753999e+002, 8.273778e+003
1.758820e+002, 8.284159e+003
1.763641e+002, 8.294060e+003
1.768462e+002, 8.300472e+003
1.773283e+002, 8.304103e+003
1.778104e+002, 8.306896e+003
1.782926e+002, 8.308119e+003
1.787747e+002, 8.309321e+003
1.792568e+002, 8.313621e+003
1.797389e+002, 8.321369e+003
1.802210e+002, 8.329957e+003
1.807031e+002, 8.336052e+003
1.811853e+002, 8.340240e+003
1.816674e+002, 8.344628e+003
1.821495e+002, 8.350533e+003
1.826316e+002, 8.357418e+003
1.831137e+002, 8.364416e+003
1.835958e+002, 8.372032e+003
1.840780e+002, 8.378248e+003
1.845601e+002, 8.379662e+003
1.850422e+002, 8.376976e+003
1.855243e+002, 8.374263e+003
1.860064e+002, 8.373237e+003
1.864885e+002, 8.374034e+003
1.869707e+002, 8.377420e+003
1.874528e+002, 8.384166e+003
1.879349e+002, 8.391846e+003
1.884170e+002, 8.395649e+003
1.888991e+002, 8.395895e+003
1.893812e+002, 8.397996e+003
1.898634e+002, 8.406979e+003
1.903455e+002, 8.421235e+003
1.908276e+002, 8.430788e+003
1.913097e+002, 8.434307e+003
1.917918e+002, 8.434316e+003
1.922739e+002, 8.434078e+003
1.927561e+002, 8.433402e+003
1.932382e+002, 8.434869e+003
1.937203e+002, 8.440830e+003
1.942024e+002, 8.450831e+003
1.946845e+002, 8.459849e+003
1.951666e+002, 8.467280e+003
1.956488e+002, 8.473835e+003
1.961309e+002, 8.481200e+003
1.966130e+002, 8.489707e+003
1.970951e+002, 8.497312e+003
1.975772e+002, 8.502528e+003
1.980593e+002, 8.505361e+003
1.985415e+002, 8.508840e+003
1.990236e+002, 8.513247e+003
1.995057e+002, 8.518393e+003
1.999878e+002, 8.523970e+003
2.004699e+002, 8.530161e+003
2.009520e+002, 8.535948e+003
