##NAMES=Crandallite
##RRUFFID=R140429
##IDEAL CHEMISTRY=CaAl_3_(PO_4_)(PO_3_OH)(OH)_6_
##LOCALITY=Savannah Pit, Tyrone mine, Grant County, New Mexico, USA
##OWNER=RRUFF
##SOURCE=Ron Gibbs
##DESCRIPTION=Colorless, hexagonal platy crystals
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R140429
166.1671, 0.0000000E+00
166.6492, 2.3499001E-02
167.1313, 6.3721001E-02
167.6134, 2.5878999E-02
168.0956, 3.8086001E-02
168.5777, 0.3214110
169.0598, 1.565979
169.5419, 2.637695
170.0240, 3.407227
170.5061, 3.952759
170.9883, 4.342346
171.4704, 4.582764
171.9525, 4.753845
172.4346, 5.225647
172.9167, 6.060059
173.3988, 7.051514
173.8810, 8.180542
174.3631, 9.420288
174.8452, 10.68762
175.3273, 11.88831
175.8094, 13.12482
176.2915, 14.68774
176.7737, 16.86719
177.2558, 19.03821
177.7379, 20.77032
178.2200, 22.12787
178.7021, 23.51965
179.1842, 25.26923
179.6664, 27.13153
180.1485, 28.65765
180.6306, 29.58350
181.1127, 30.38544
181.5948, 31.59259
182.0769, 33.27417
182.5591, 34.92603
183.0412, 36.32288
183.5233, 37.52405
184.0054, 38.60553
184.4875, 39.68433
184.9696, 40.53528
185.4518, 40.82532
185.9339, 40.65497
186.4160, 39.63287
186.8981, 36.92413
187.3802, 33.64368
187.8623, 31.01355
188.3445, 29.84473
188.8266, 29.66162
189.3087, 28.81537
189.7908, 27.02527
190.2729, 25.30280
190.7550, 23.63086
191.2372, 22.55096
191.7193, 21.44525
192.2014, 20.31329
192.6835, 19.33948
193.1656, 18.42010
193.6477, 17.51630
194.1299, 16.44965
194.6120, 15.09247
195.0941, 13.61603
195.5762, 12.43494
196.0583, 11.34570
196.5404, 10.34174
197.0226, 9.614807
197.5047, 9.350159
197.9868, 9.132141
198.4689, 8.856079
198.9510, 8.534363
199.4331, 8.268616
199.9153, 8.175964
200.3974, 8.246033
200.8795, 8.100281
201.3616, 7.472839
201.8437, 6.927551
202.3258, 6.915405
202.8080, 7.265747
203.2901, 7.306580
203.7722, 6.467651
204.2543, 4.815552
204.7364, 3.543579
205.2185, 2.798523
205.7007, 2.274475
206.1828, 1.842957
206.6649, 1.492859
207.1470, 1.184692
207.6291, 0.8534550
208.1112, 0.5579830
208.5934, 0.4862670
209.0755, 0.8367310
209.5576, 1.294922
210.0397, 1.667114
210.5218, 1.959412
211.0039, 2.015747
211.4861, 1.619629
211.9682, 0.9140010
212.4503, 0.1610720
212.9324, 0.8432010
213.4145, 1.700012
213.8967, 1.744263
214.3788, 0.7831420
214.8609, 6.4758003E-02
215.3430, 0.1930540
215.8251, 0.8901980
216.3072, 1.185425
216.7894, 0.6644900
217.2715, 0.2391970
217.7536, 0.8004760
218.2357, 0.9627690
218.7178, 0.9124150
219.1999, 0.5648800
219.6821, 0.1198730
220.1642, 0.1854250
220.6463, 0.2271120
221.1284, 0.1055910
221.6105, 4.9865998E-02
222.0926, 7.8612998E-02
222.5748, 0.1278690
223.0569, 0.1282350
223.5390, 0.1413570
224.0211, 0.2558590
224.5032, 0.6719970
224.9853, 1.111664
225.4675, 0.7268980
