##NAMES=Edwindavisite
##RRUFFID=R230005
##IDEAL CHEMISTRY=Cu^2+^((C_2_)^6+^O_4_)(N^3-^H_3_)
##LOCALITY=125' Level, Rowley mine, Maricopa County, Arizona, USA
##OWNER=RRUFF
##SOURCE=Joe Marty
##DESCRIPTION=Radiating clusters of bladed or prismatic grass-green crystals, associated with blue ammineite. Type sample
##STATUS=The identification of this mineral is confirmed by single-crystal X-ray diffraction and chemical analysis.
##URL=rruff.info/R230005
89.55957, 0.0000000E+00
90.04169, 2.435623
90.52380, 4.590668
91.00592, 6.412216
91.48804, 8.534927
91.97015, 10.63084
92.45227, 13.42165
92.93439, 17.51408
93.41650, 18.46288
93.89862, 16.60881
94.38074, 13.65587
94.86285, 9.663635
95.34497, 7.236893
95.82709, 5.793381
96.30920, 4.407333
96.79132, 3.205231
97.27344, 2.373276
97.75555, 1.836075
98.23766, 1.348221
98.71978, 1.021149
99.20190, 0.6863100
99.68401, 0.1989140
100.1661, 0.2402800
100.6482, 0.4923860
101.1304, 0.5341030
101.6125, 0.2393650
102.0946, 0.2076420
102.5767, 0.3987270
103.0588, 1.058945
103.5409, 2.652222
104.0231, 4.777176
104.5052, 6.733688
104.9873, 8.557999
105.4694, 10.02534
105.9515, 11.17178
106.4336, 12.15475
106.9158, 12.82518
107.3979, 13.01544
107.8800, 12.67450
108.3621, 11.99620
108.8442, 10.90338
109.3263, 9.569962
109.8085, 8.261871
110.2906, 7.147873
110.7727, 6.262314
111.2548, 6.109482
111.7369, 7.299133
112.2190, 7.836273
112.7012, 6.977142
113.1833, 5.174675
113.6654, 3.625160
114.1475, 3.531273
114.6296, 5.402115
115.1117, 6.546509
115.5939, 6.623398
116.0760, 6.972275
116.5581, 6.833427
117.0402, 6.120201
117.5223, 5.610283
118.0044, 6.095230
118.4866, 8.292625
118.9687, 9.133095
119.4508, 7.385033
119.9329, 4.818092
120.4150, 3.259033
120.8971, 3.256989
121.3793, 4.043213
121.8614, 4.480179
122.3435, 4.622917
122.8256, 4.648048
123.3077, 4.593338
123.7898, 4.457474
124.2720, 4.223457
124.7541, 3.825638
125.2362, 3.386444
125.7183, 3.067764
126.2004, 2.895226
126.6825, 2.735542
127.1647, 2.423271
127.6468, 1.911385
128.1289, 1.562080
128.6110, 1.708740
129.0931, 1.949760
129.5752, 2.008461
130.0574, 1.792412
130.5395, 1.410423
131.0216, 1.094231
131.5037, 0.9593050
131.9858, 0.6777650
132.4679, 2.6649000E-02
132.9501, 0.8114240
133.4322, 1.292603
133.9143, 1.253441
134.3964, 0.7802050
134.8785, 0.3760600
135.3606, 0.2121960
135.8427, 6.0699001E-02
136.3249, 0.7893300
136.8070, 1.710526
137.2891, 2.225044
137.7712, 1.857147
138.2533, 0.6130520
138.7354, 0.4489060
139.2176, 1.745651
139.6997, 2.525085
140.1818, 1.970589
140.6639, 0.2878570
141.1460, 1.181625
141.6281, 1.049141
142.1103, 0.6970520
142.5924, 1.615021
143.0745, 1.164650
143.5566, 2.8953999E-02
144.0387, 1.269051
144.5208, 2.784782
145.0030, 3.960556
145.4851, 3.965332
145.9672, 3.122025
146.4493, 2.312820
146.9314, 1.839111
147.4135, 2.150879
147.8957, 2.610054
148.3778, 3.008492
148.8599, 3.881927
149.3420, 5.835243
149.8241, 8.623657
150.3062, 11.18946
150.7884, 12.57780
151.2705, 12.72239
151.7526, 12.94826
152.2347, 13.06792
152.7168, 13.52873
153.1989, 14.83914
153.6811, 16.88821
154.1632, 18.93983
154.6453, 19.95059
155.1274, 19.27766
155.6095, 19.25554
156.0916, 20.51379
156.5738, 21.91151
157.0559, 22.68963
157.5380, 22.66556
158.0201, 22.20309
158.5022, 21.90954
158.9843, 21.60632
159.4665, 21.86224
159.9486, 22.96545
160.4307, 24.44616
160.9128, 26.03393
161.3949, 27.64678
161.8770, 29.00446
162.3592, 29.31742
162.8413, 27.65354
163.3234, 26.45143
163.8055, 26.33228
164.2876, 26.92575
164.7697, 27.67820
165.2519, 28.44530
165.7340, 29.06129
166.2161, 29.10328
166.6982, 28.36315
167.1803, 27.53574
167.6624, 26.75461
168.1445, 26.08567
168.6267, 25.94524
169.1088, 26.99566
169.5909, 28.39539
170.0730, 28.68526
170.5551, 27.49860
171.0372, 25.71102
171.5194, 23.87532
172.0015, 21.94036
172.4836, 20.50204
172.9657, 20.21307
173.4478, 20.42197
173.9299, 20.60981
174.4121, 20.67092
174.8942, 20.58804
175.3763, 20.31018
175.8584, 19.78304
176.3405, 19.23617
176.8226, 18.44879
177.3048, 17.75162
177.7869, 17.60847
178.2690, 18.32713
178.7511, 19.53408
179.2332, 20.00031
179.7153, 18.91151
180.1975, 18.23463
180.6796, 18.87233
181.1617, 19.99002
181.6438, 20.56321
182.1259, 19.98221
182.6080, 18.39690
183.0902, 16.72486
183.5723, 14.06809
184.0544, 12.30431
184.5365, 12.23737
185.0186, 13.24637
185.5007, 14.33812
185.9829, 14.89349
186.4650, 14.93732
186.9471, 14.73540
187.4292, 14.31386
187.9113, 13.65860
188.3934, 12.61650
188.8756, 11.30796
189.3577, 9.966530
189.8398, 8.695446
190.3219, 7.507072
190.8040, 6.910412
191.2861, 7.399372
191.7683, 7.998081
192.2504, 8.215809
192.7325, 8.066250
193.2146, 7.818413
193.6967, 7.698528
194.1788, 7.689861
194.6610, 7.525047
195.1431, 7.028656
195.6252, 6.460011
196.1073, 5.976593
196.5894, 5.558514
197.0715, 5.197605
197.5536, 5.005840
198.0358, 5.007957
198.5179, 5.101273
199.0000, 5.215439
199.4821, 5.297417
199.9642, 5.318810
200.4464, 5.343624
200.9285, 5.260155
201.4106, 4.700310
201.8927, 3.983044
202.3748, 3.664623
202.8569, 4.222458
203.3391, 5.186455
203.8212, 5.562912
204.3033, 5.137569
204.7854, 4.574455
205.2675, 4.048161
205.7496, 3.643566
206.2318, 3.543285
206.7139, 3.991283
207.1960, 4.774319
207.6781, 5.086349
208.1602, 4.539639
208.6423, 4.088406
209.1245, 4.054077
209.6066, 4.323952
210.0887, 4.756199
210.5708, 5.328346
211.0529, 5.975964
211.5350, 6.303940
212.0172, 6.201191
212.4993, 5.862804
212.9814, 4.880993
213.4635, 3.750347
213.9456, 3.380390
214.4277, 4.559128
214.9099, 7.065342
215.3920, 8.307808
215.8741, 6.797230
216.3562, 5.430119
216.8383, 4.608566
217.3204, 4.356548
217.8026, 4.710110
218.2847, 5.776978
218.7668, 7.472370
219.2489, 8.228001
219.7310, 6.943092
220.2131, 5.935165
220.6953, 6.005222
221.1774, 6.835308
221.6595, 7.711823
222.1416, 8.174908
222.6237, 8.235962
223.1058, 8.024872
223.5880, 7.167110
224.0701, 6.468197
224.5522, 6.220448
225.0343, 6.359127
225.5164, 6.704712
225.9985, 7.156219
226.4807, 7.711678
226.9628, 8.322754
227.4449, 9.220879
227.9270, 9.947426
228.4091, 10.21198
228.8912, 10.10283
229.3733, 9.897144
229.8555, 9.701984
230.3376, 9.595997
230.8197, 9.863884
