##NAMES=Edwindavisite
##RRUFFID=R230005
##IDEAL CHEMISTRY=Cu^2+^((C_2_)^6+^O_4_)(N^3-^H_3_)
##LOCALITY=125' Level, Rowley mine, Maricopa County, Arizona, USA
##OWNER=RRUFF
##SOURCE=Joe Marty
##DESCRIPTION=Radiating clusters of bladed or prismatic grass-green crystals, associated with blue ammineite. Type sample
##STATUS=The identification of this mineral is confirmed by single-crystal X-ray diffraction and chemical analysis.
##URL=rruff.info/R230005
8.955957e+001, 2.303719e+002
9.004169e+001, 2.306571e+002
9.052380e+001, 2.300533e+002
9.100592e+001, 2.288638e+002
9.148804e+001, 2.278324e+002
9.197015e+001, 2.266988e+002
9.245227e+001, 2.261975e+002
9.293439e+001, 2.269760e+002
9.341650e+001, 2.244903e+002
9.389862e+001, 2.192582e+002
9.438074e+001, 2.130335e+002
9.486285e+001, 2.056798e+002
9.534497e+001, 1.995779e+002
9.582709e+001, 1.949138e+002
9.630920e+001, 1.905282e+002
9.679132e+001, 1.866705e+002
9.727344e+001, 1.834692e+002
9.775555e+001, 1.807388e+002
9.823766e+001, 1.781817e+002
9.871978e+001, 1.758202e+002
9.920190e+001, 1.733962e+002
9.968401e+001, 1.707252e+002
1.001661e+002, 1.680382e+002
1.006482e+002, 1.655263e+002
1.011304e+002, 1.632479e+002
1.016125e+002, 1.611730e+002
1.020946e+002, 1.592791e+002
1.025767e+002, 1.572811e+002
1.030588e+002, 1.557967e+002
1.035409e+002, 1.552550e+002
1.040231e+002, 1.554306e+002
1.045052e+002, 1.555775e+002
1.049873e+002, 1.554118e+002
1.054694e+002, 1.549557e+002
1.059515e+002, 1.543481e+002
1.064336e+002, 1.536617e+002
1.069158e+002, 1.527207e+002
1.073979e+002, 1.513138e+002
1.078800e+002, 1.493950e+002
1.083621e+002, 1.471694e+002
1.088442e+002, 1.445013e+002
1.093263e+002, 1.416699e+002
1.098085e+002, 1.389318e+002
1.102906e+002, 1.363626e+002
1.107727e+002, 1.340089e+002
1.112548e+002, 1.321092e+002
1.117369e+002, 1.313485e+002
1.122190e+002, 1.302342e+002
1.127012e+002, 1.279449e+002
1.131833e+002, 1.250158e+002
1.136654e+002, 1.224530e+002
1.141475e+002, 1.211012e+002
1.146296e+002, 1.211479e+002
1.151117e+002, 1.208167e+002
1.155939e+002, 1.199648e+002
1.160760e+002, 1.189280e+002
1.165581e+002, 1.176019e+002
1.170402e+002, 1.161120e+002
1.175223e+002, 1.149273e+002
1.180044e+002, 1.147132e+002
1.184866e+002, 1.161966e+002
1.189687e+002, 1.163532e+002
1.194508e+002, 1.139804e+002
1.199329e+002, 1.108764e+002
1.204150e+002, 1.088182e+002
1.208971e+002, 1.083177e+002
1.213793e+002, 1.086195e+002
1.218614e+002, 1.086245e+002
1.223435e+002, 1.083500e+002
1.228256e+002, 1.079553e+002
1.233077e+002, 1.074788e+002
1.237898e+002, 1.069204e+002
1.242720e+002, 1.062644e+002
1.247541e+002, 1.054453e+002
1.252362e+002, 1.045857e+002
1.257183e+002, 1.038479e+002
1.262004e+002, 1.032575e+002
1.266825e+002, 1.026812e+002
1.271647e+002, 1.019539e+002
1.276468e+002, 1.010288e+002
1.281289e+002, 1.002685e+002
1.286110e+002, 1.000068e+002
1.290931e+002, 9.984266e+001
1.295752e+002, 9.949983e+001
1.300574e+002, 9.888612e+001
1.305395e+002, 9.811091e+001
1.310216e+002, 9.740627e+001
1.315037e+002, 9.688759e+001
1.319858e+002, 9.622703e+001
1.324679e+002, 9.514854e+001
1.329501e+002, 9.399451e+001
1.334322e+002, 9.314851e+001
1.339143e+002, 9.282784e+001
1.343964e+002, 9.294649e+001
1.348785e+002, 9.300090e+001
1.353606e+002, 9.281974e+001
1.358427e+002, 9.275226e+001
1.363249e+002, 9.314519e+001
1.368070e+002, 9.370409e+001
1.372891e+002, 9.385914e+001
1.377712e+002, 9.315810e+001
1.382533e+002, 9.159025e+001
1.387354e+002, 9.020306e+001
1.392176e+002, 8.856873e+001
1.396997e+002, 8.743441e+001
1.401818e+002, 8.762372e+001
1.406639e+002, 8.895821e+001
1.411460e+002, 9.009465e+001
1.416281e+002, 8.963487e+001
1.421103e+002, 8.756749e+001
1.425924e+002, 8.632681e+001
1.430745e+002, 8.645329e+001
1.435566e+002, 8.727091e+001
