##NAMES=Montgomeryite
##RRUFFID=R140664
##IDEAL CHEMISTRY=Ca_4_MgAl_4_(PO_4_)_6_(OH)_4_&#183;12H_2_O
##LOCALITY=Foote Mineral Company mine, Kings Mountain, North Carolina, USA
##OWNER=RRUFF
##SOURCE=Rock Currier
##DESCRIPTION=Radial aggregates of colorless, bladed to platy crystals
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R140664
153.6323, 0.0000000E+00
154.1144, 0.4787600
154.5966, 0.8590700
155.0787, 1.240479
155.5608, 1.658569
156.0429, 1.788086
156.5250, 1.522766
157.0071, 1.280212
157.4893, 1.457642
157.9714, 2.290894
158.4535, 3.241638
158.9356, 4.346619
159.4177, 5.393860
159.8998, 6.351318
160.3820, 6.941895
160.8641, 7.198486
161.3462, 8.352356
161.8283, 8.917847
162.3104, 9.024719
162.7925, 9.196167
163.2747, 9.211121
163.7568, 9.038269
164.2389, 8.659607
164.7210, 8.057800
165.2031, 7.087036
165.6852, 5.198792
166.1674, 3.775513
166.6495, 3.564453
167.1316, 4.113525
167.6137, 4.178650
168.0958, 2.837585
168.5779, 0.4152220
169.0601, 0.9732060
169.5422, 0.8317260
170.0243, 0.3988650
170.5064, 0.1063840
170.9885, 3.6072001E-02
171.4706, 0.2426760
171.9528, 0.7108760
172.4349, 1.384705
172.9170, 1.901489
173.3991, 2.187927
173.8812, 2.352539
174.3633, 2.422729
174.8455, 2.377258
175.3276, 2.420166
175.8097, 2.855530
176.2918, 3.465576
176.7739, 3.777039
177.2560, 3.409119
177.7382, 2.861755
178.2203, 3.039673
178.7024, 4.250244
179.1845, 5.105225
179.6666, 4.555725
180.1487, 3.411804
180.6309, 2.274536
181.1130, 1.783875
181.5951, 1.856018
182.0772, 2.172791
182.5593, 2.923462
183.0414, 3.884949
183.5236, 4.771912
184.0057, 5.333191
184.4878, 5.891968
184.9699, 6.538574
185.4520, 7.195679
185.9341, 7.284668
186.4163, 6.038208
186.8984, 5.040222
187.3805, 4.654663
187.8626, 4.731201
188.3447, 5.069336
188.8268, 5.547729
189.3090, 6.157898
189.7911, 6.566345
190.2732, 6.707458
190.7553, 6.721130
191.2374, 6.552246
191.7195, 6.282227
192.2017, 6.071106
192.6838, 6.055725
193.1659, 6.247803
193.6480, 6.308167
194.1301, 6.088074
194.6122, 5.910400
195.0944, 6.002319
195.5765, 6.289673
196.0586, 6.499329
196.5407, 6.425293
197.0228, 6.037048
197.5049, 5.417053
197.9871, 4.185547
198.4692, 3.039734
198.9513, 2.370239
199.4334, 2.196289
199.9155, 2.416443
200.3976, 3.158020
200.8798, 4.325500
201.3619, 4.858337
201.8440, 4.253418
202.3261, 3.293945
202.8082, 2.708496
203.2903, 2.557617
203.7725, 2.380249
204.2546, 1.727783
204.7367, 0.7693480
205.2188, 1.3550000E-02
205.7009, 0.6661380
206.1830, 1.037415
206.6652, 0.7566530
207.1473, 0.3693240
207.6294, 1.411743
208.1115, 1.649536
208.5936, 1.395264
209.0757, 1.067017
209.5579, 0.8109130
210.0400, 0.5755620
210.5221, 0.2464600
211.0042, 0.2084350
211.4863, 0.4926150
211.9685, 0.9486080
212.4506, 1.396301
212.9327, 1.525574
213.4148, 1.090332
213.8969, 0.2893680
214.3790, 0.2141720
214.8612, 8.5631996E-02
215.3433, 0.2301030
215.8254, 1.215393
216.3075, 2.569885
216.7896, 3.633057
217.2717, 3.994202
217.7539, 3.812866
218.2360, 3.824646
218.7181, 4.319214
219.2002, 4.621277
219.6823, 4.293945
220.1644, 3.747253
220.6466, 3.600098
221.1287, 4.267761
221.6108, 5.568909
222.0929, 6.466797
222.5750, 6.609314
223.0571, 6.688904
223.5393, 6.858521
224.0214, 7.024902
224.5035, 7.028687
224.9856, 6.764160
225.4677, 6.286011
225.9498, 5.959473
226.4320, 5.672546
226.9141, 5.578125
227.3962, 5.764648
227.8783, 6.279907
228.3604, 7.280212
228.8425, 8.913025
229.3247, 10.96014
229.8068, 12.14093
230.2889, 11.97955
230.7710, 11.56299
231.2531, 10.70703
231.7352, 9.769653
232.2174, 9.405457
232.6995, 10.01813
233.1816, 11.35498
233.6637, 12.30756
234.1458, 12.87927
234.6279, 13.14960
235.1101, 12.89459
235.5922, 12.34961
236.0743, 11.99335
236.5564, 12.07880
237.0385, 12.48047
