##NAMES=Ondrusite
##RRUFFID=R141029
##IDEAL CHEMISTRY=CaCu^2+^_4_(As^5+^O_4_)_2_(As^5+^O_3_OH)_2_&#183;10H_2_O
##LOCALITY=Svornost mine, Jáchymov, Krušné Hory Mts, Karlovy Vary, Bohemia, Czech Republic
##OWNER=RRUFF
##SOURCE=William W. Pinch
##DESCRIPTION=Pale green thin bladed crystals with striations parallel to the elongated direction, associated with quartz
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R141029
8.813672e+001, 6.330181e+002
8.861884e+001, 6.420627e+002
8.910095e+001, 6.504283e+002
8.958307e+001, 6.603769e+002
9.006519e+001, 6.716448e+002
9.054730e+001, 6.819408e+002
9.102942e+001, 6.917208e+002
9.151154e+001, 7.008300e+002
9.199365e+001, 7.091900e+002
9.247577e+001, 7.170381e+002
9.295789e+001, 7.244589e+002
9.344000e+001, 7.315377e+002
9.392212e+001, 7.376374e+002
9.440424e+001, 7.428688e+002
9.488635e+001, 7.482113e+002
9.536847e+001, 7.538190e+002
9.585059e+001, 7.594934e+002
9.633270e+001, 7.651738e+002
9.681482e+001, 7.710192e+002
9.729694e+001, 7.767783e+002
9.777905e+001, 7.824767e+002
9.826117e+001, 7.894027e+002
9.874329e+001, 7.982477e+002
9.922540e+001, 8.086135e+002
9.970752e+001, 8.179728e+002
1.001896e+002, 8.258986e+002
1.006718e+002, 8.333665e+002
1.011539e+002, 8.415951e+002
1.016360e+002, 8.508574e+002
1.021181e+002, 8.601045e+002
1.026002e+002, 8.688629e+002
1.030823e+002, 8.769924e+002
1.035645e+002, 8.855657e+002
1.040466e+002, 8.947516e+002
1.045287e+002, 9.043748e+002
1.050108e+002, 9.143685e+002
1.054929e+002, 9.248989e+002
1.059750e+002, 9.356031e+002
1.064572e+002, 9.463994e+002
1.069393e+002, 9.580071e+002
1.074214e+002, 9.686031e+002
1.079035e+002, 9.777461e+002
1.083856e+002, 9.859749e+002
1.088677e+002, 9.946880e+002
1.093499e+002, 1.004648e+003
1.098320e+002, 1.014729e+003
1.103141e+002, 1.024442e+003
1.107962e+002, 1.033351e+003
1.112783e+002, 1.042619e+003
1.117604e+002, 1.052732e+003
1.122426e+002, 1.063612e+003
1.127247e+002, 1.073938e+003
1.132068e+002, 1.082737e+003
1.136889e+002, 1.091367e+003
1.141710e+002, 1.100672e+003
1.146531e+002, 1.112658e+003
1.151353e+002, 1.123563e+003
1.156174e+002, 1.131774e+003
1.160995e+002, 1.137236e+003
1.165816e+002, 1.143295e+003
1.170637e+002, 1.151701e+003
1.175458e+002, 1.161122e+003
1.180280e+002, 1.170225e+003
1.185101e+002, 1.178287e+003
1.189922e+002, 1.185931e+003
1.194743e+002, 1.193198e+003
1.199564e+002, 1.200031e+003
1.204385e+002, 1.207195e+003
1.209207e+002, 1.215328e+003
1.214028e+002, 1.224087e+003
1.218849e+002, 1.232838e+003
1.223670e+002, 1.241347e+003
1.228491e+002, 1.249771e+003
1.233312e+002, 1.258284e+003
1.238134e+002, 1.267031e+003
1.242955e+002, 1.275557e+003
1.247776e+002, 1.283250e+003
1.252597e+002, 1.290300e+003
1.257418e+002, 1.297361e+003
1.262239e+002, 1.304675e+003
1.267061e+002, 1.312359e+003
1.271882e+002, 1.320319e+003
1.276703e+002, 1.328550e+003
1.281524e+002, 1.337287e+003
1.286345e+002, 1.347358e+003
1.291166e+002, 1.358605e+003
1.295988e+002, 1.369460e+003
1.300809e+002, 1.378415e+003
1.305630e+002, 1.385857e+003
1.310451e+002, 1.393454e+003
1.315272e+002, 1.401305e+003
1.320093e+002, 1.409545e+003
1.324915e+002, 1.418727e+003
1.329736e+002, 1.428875e+003
1.334557e+002, 1.439505e+003
1.339378e+002, 1.450011e+003
1.344199e+002, 1.460407e+003
1.349020e+002, 1.471180e+003
1.353842e+002, 1.482933e+003
1.358663e+002, 1.494995e+003
1.363484e+002, 1.505017e+003
1.368305e+002, 1.512585e+003
1.373126e+002, 1.519019e+003
1.377947e+002, 1.525456e+003
1.382769e+002, 1.531854e+003
1.387590e+002, 1.538562e+003
1.392411e+002, 1.546067e+003
1.397232e+002, 1.554488e+003
1.402053e+002, 1.560444e+003
1.406874e+002, 1.563300e+003
1.411696e+002, 1.564713e+003
1.416517e+002, 1.566959e+003
1.421338e+002, 1.570749e+003
1.426159e+002, 1.574011e+003
1.430980e+002, 1.576349e+003
1.435801e+002, 1.577896e+003
1.440623e+002, 1.578027e+003
1.445444e+002, 1.576256e+003
