##NAMES=Parasymplesite
##RRUFFID=R150137
##IDEAL CHEMISTRY=Fe^2+^_3_(As^5+^O_4_)_2_&#183;8H_2_O
##LOCALITY=Kiura Mine, Oita Pref., Kyushu Island, Japan
##OWNER=RRUFF
##SOURCE=Jeremie Pfister
##DESCRIPTION=Aggregates of dark-bluish grey euhedral crystals, associated with smoky scorodite.
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R150137
8.806445e+001, 1.447822e+003
8.854657e+001, 1.390217e+003
8.902869e+001, 1.370268e+003
8.951080e+001, 1.406326e+003
8.999292e+001, 1.471708e+003
9.047504e+001, 1.541529e+003
9.095715e+001, 1.610440e+003
9.143927e+001, 1.679605e+003
9.192139e+001, 1.752087e+003
9.240350e+001, 1.827611e+003
9.288562e+001, 1.902138e+003
9.336774e+001, 1.961054e+003
9.384985e+001, 1.991215e+003
9.433197e+001, 1.992340e+003
9.481409e+001, 1.990423e+003
9.529620e+001, 1.981412e+003
9.577832e+001, 1.973866e+003
9.626044e+001, 1.969247e+003
9.674255e+001, 1.966947e+003
9.722467e+001, 1.966053e+003
9.770679e+001, 1.966570e+003
9.818890e+001, 1.967052e+003
9.867102e+001, 1.966926e+003
9.915314e+001, 1.966656e+003
9.963525e+001, 1.966558e+003
1.001174e+002, 1.966715e+003
1.005995e+002, 1.966918e+003
1.010816e+002, 1.966671e+003
1.015637e+002, 1.965042e+003
1.020458e+002, 1.963606e+003
1.025280e+002, 1.961063e+003
1.030101e+002, 1.958364e+003
1.034922e+002, 1.957230e+003
1.039743e+002, 1.958977e+003
1.044564e+002, 1.963541e+003
1.049385e+002, 1.967559e+003
1.054207e+002, 1.971506e+003
1.059028e+002, 1.974465e+003
1.063849e+002, 1.975568e+003
1.068670e+002, 1.974859e+003
1.073491e+002, 1.973504e+003
1.078312e+002, 1.972567e+003
1.083134e+002, 1.971952e+003
1.087955e+002, 1.970797e+003
1.092776e+002, 1.967707e+003
1.097597e+002, 1.964366e+003
1.102418e+002, 1.963643e+003
1.107239e+002, 1.966809e+003
1.112061e+002, 1.970533e+003
1.116882e+002, 1.971572e+003
1.121703e+002, 1.970472e+003
1.126524e+002, 1.969349e+003
1.131345e+002, 1.969703e+003
1.136166e+002, 1.971416e+003
1.140988e+002, 1.972497e+003
1.145809e+002, 1.972007e+003
1.150630e+002, 1.971342e+003
1.155451e+002, 1.971264e+003
1.160272e+002, 1.971795e+003
