##NAMES=Allanite-(Ce)
##RRUFFID=R080044
##IDEAL CHEMISTRY=CaCeAl_2_Fe^2+^(Si_2_O_7_)(SiO_4_)O(OH)
##LOCALITY=Aquarius Range, Mohave County, Arizona, USA
##OWNER=RRUFF
##SOURCE=John Weber
##DESCRIPTION=Dark brown fragment from metamict sample R060418, after heating at T = 850 C for 18 hours
##STATUS=The identification of this mineral has been confirmed only by X-ray diffraction
##URL=rruff.info/R080044
198.1513, 1167.995
198.6334, 1172.105
199.1155, 1176.192
199.5977, 1179.371
200.0798, 1181.621
200.5619, 1183.554
201.0440, 1185.604
201.5261, 1187.723
202.0082, 1190.426
202.4904, 1194.887
202.9725, 1199.187
203.4546, 1202.106
203.9367, 1203.620
204.4188, 1204.840
204.9009, 1207.041
205.3831, 1210.307
205.8652, 1214.365
206.3473, 1220.722
206.8294, 1226.668
207.3115, 1230.290
207.7936, 1231.443
208.2758, 1231.593
208.7579, 1232.713
209.2400, 1235.087
209.7221, 1237.926
210.2042, 1241.035
210.6863, 1244.620
211.1685, 1249.245
211.6506, 1254.837
212.1327, 1260.403
212.6148, 1264.516
213.0969, 1266.377
213.5790, 1268.189
214.0612, 1269.503
214.5433, 1271.029
215.0254, 1273.450
215.5075, 1276.880
215.9896, 1280.848
216.4717, 1284.730
216.9539, 1288.732
217.4360, 1292.050
217.9181, 1293.498
218.4002, 1294.844
218.8823, 1298.389
219.3644, 1304.699
219.8466, 1311.404
220.3287, 1314.946
220.8108, 1314.648
221.2929, 1315.287
221.7750, 1317.901
222.2571, 1321.636
222.7393, 1325.621
223.2214, 1329.741
223.7035, 1333.712
224.1856, 1337.201
224.6677, 1340.257
225.1498, 1342.732
225.6320, 1344.099
226.1141, 1344.979
226.5962, 1346.371
227.0783, 1348.479
227.5604, 1350.998
228.0425, 1353.855
228.5247, 1356.938
229.0068, 1359.834
229.4889, 1362.598
229.9710, 1365.023
230.4531, 1366.450
230.9352, 1366.307
231.4174, 1366.216
231.8995, 1367.400
232.3816, 1369.583
232.8637, 1372.123
233.3458, 1375.087
233.8279, 1378.207
234.3101, 1380.557
234.7922, 1381.628
235.2743, 1382.707
235.7564, 1384.441
236.2385, 1386.702
236.7206, 1389.285
237.2028, 1392.226
237.6849, 1395.396
238.1670, 1398.335
238.6491, 1401.222
239.1312, 1403.530
239.6133, 1404.598
240.0955, 1405.097
240.5776, 1406.229
241.0597, 1408.898
241.5418, 1412.707
242.0239, 1415.629
242.5060, 1417.034
242.9882, 1418.366
243.4703, 1419.496
243.9524, 1420.942
244.4345, 1423.662
244.9166, 1428.481
245.3987, 1434.678
245.8809, 1438.676
246.3630, 1438.353
246.8451, 1438.426
247.3272, 1439.827
247.8093, 1442.172
248.2914, 1445.062
248.7736, 1448.340
249.2557, 1451.780
249.7378, 1454.376
250.2199, 1454.689
250.7020, 1455.979
251.1841, 1459.326
251.6663, 1463.628
252.1484, 1467.452
252.6305, 1470.112
253.1126, 1472.122
253.5947, 1475.212
254.0768, 1481.795
254.5590, 1486.464
255.0411, 1486.879
255.5232, 1486.024
256.0053, 1487.532
256.4874, 1492.919
256.9695, 1500.451
257.4517, 1505.925
257.9338, 1506.964
258.4159, 1508.643
258.8980, 1511.727
259.3801, 1515.150
259.8622, 1517.703
260.3444, 1518.978
260.8265, 1519.625
261.3086, 1520.836
261.7907, 1522.508
262.2728, 1525.074
262.7549, 1529.615
263.2371, 1534.534
263.7192, 1537.948
264.2013, 1539.409
264.6834, 1540.309
265.1655, 1542.781
265.6476, 1547.782
266.1298, 1552.100
266.6119, 1555.248
267.0940, 1557.950
267.5761, 1560.715
268.0582, 1563.685
268.5403, 1567.021
269.0225, 1571.092
269.5046, 1576.237
269.9867, 1580.384
270.4688, 1583.293
270.9509, 1585.306
271.4330, 1586.136
271.9152, 1585.880
272.3973, 1586.115
272.8794, 1588.409
273.3615, 1593.000
273.8436, 1597.754
274.3257, 1603.450
274.8079, 1608.747
275.2900, 1612.298
275.7721, 1614.132
276.2542, 1615.454
276.7363, 1616.850
277.2184, 1618.506
277.7006, 1621.237
278.1827, 1625.529
278.6648, 1630.488
279.1469, 1635.944
279.6290, 1641.733
280.1111, 1646.751
280.5933, 1650.005
281.0754, 1652.053
281.5575, 1655.065
282.0396, 1660.182
282.5217, 1664.883
283.0038, 1667.226
283.4860, 1667.625
283.9681, 1668.147
284.4502, 1669.421
284.9323, 1671.721
285.4144, 1675.545
285.8965, 1681.635
286.3787, 1687.387
286.8608, 1690.865
287.3429, 1692.699
287.8250, 1695.324
288.3071, 1699.822
288.7892, 1705.053
289.2714, 1709.140
289.7535, 1711.857
290.2356, 1715.180
290.7177, 1720.481
291.1998, 1727.097
291.6819, 1733.644
292.1641, 1740.386
292.6462, 1745.814
293.1283, 1747.225
293.6104, 1745.168
294.0925, 1744.402
294.5746, 1747.459
295.0568, 1752.971
295.5389, 1758.524
296.0210, 1764.127
296.5031, 1768.909
296.9852, 1771.117
297.4673, 1771.738
297.9495, 1773.601
298.4316, 1778.823
298.9137, 1785.337
299.3958, 1789.921
299.8779, 1792.193
300.3600, 1794.029
300.8422, 1796.466
301.3243, 1799.328
301.8064, 1802.312
302.2885, 1805.265
302.7706, 1808.433
303.2527, 1812.247
303.7349, 1816.774
304.2170, 1821.197
304.6991, 1824.890
305.1812, 1828.385
305.6633, 1832.513
306.1454, 1837.677
306.6276, 1842.708
307.1097, 1846.422
307.5918, 1848.888
308.0739, 1851.357
308.5560, 1853.842
309.0381, 1856.876
309.5203, 1861.088
310.0024, 1866.608
310.4845, 1872.267
310.9666, 1877.076
311.4487, 1881.266
311.9308, 1885.991
312.4130, 1891.605
312.8951, 1897.587
313.3772, 1903.625
313.8593, 1909.665
314.3414, 1915.102
314.8235, 1919.176
315.3057, 1922.448
315.7878, 1926.571
316.2699, 1932.032
316.7520, 1937.446
317.2341, 1941.042
317.7162, 1943.767
318.1984, 1947.868
318.6805, 1955.236
319.1626, 1963.938
319.6447, 1970.886
320.1268, 1975.849
