##NAMES=Aluminium
##RRUFFID=R070230
##IDEAL CHEMISTRY=Al
##LOCALITY=Mud Volcano, Bulla Apsheren penninsula, Caspian Sea, Qobustan (Gobustan; Kobustan) Rayonu, Azerbaijan
##OWNER=Michael Scott
##SOURCE=Michael Scott
##DESCRIPTION=Metallic gray blebs in matrix embedded in epoxy, no Raman activity because of crystal symmetry
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R070230
174.5344, 0.0000000E+00
175.0165, 7.008301
175.4986, 8.380371
175.9807, 5.464111
176.4628, 9.133301
176.9449, 21.23071
177.4271, 26.62500
177.9092, 30.51831
178.3913, 21.65137
178.8734, 13.83447
179.3555, 18.71484
179.8376, 30.59546
180.3197, 31.05444
180.8019, 9.875488
181.2840, 4.444092
181.7661, 1.439697
182.2482, 17.33618
182.7303, 31.07178
183.2124, 37.42236
183.6946, 39.63354
184.1767, 41.80713
184.6588, 44.56006
185.1409, 45.56543
185.6230, 42.82104
186.1051, 39.05908
186.5873, 37.27563
187.0694, 39.43042
187.5515, 43.24268
188.0336, 41.95776
188.5157, 30.88574
188.9978, 23.10864
189.4800, 21.77979
189.9621, 24.51367
190.4442, 29.96533
190.9263, 38.07739
191.4084, 46.88818
191.8905, 48.70068
192.3727, 37.24927
192.8548, 38.08765
193.3369, 46.09302
193.8190, 57.11108
194.3011, 68.11377
194.7832, 77.76636
195.2654, 84.85132
195.7475, 84.45068
196.2296, 68.93628
196.7117, 63.19409
197.1938, 77.89990
197.6759, 92.76758
198.1581, 99.42065
198.6402, 95.29736
199.1223, 86.21484
199.6044, 80.79736
200.0865, 82.12524
200.5686, 80.72900
201.0508, 71.99976
201.5329, 62.69653
202.0150, 61.36499
202.4971, 70.59717
202.9792, 80.65356
203.4613, 85.43750
203.9435, 79.29541
204.4256, 75.53149
204.9077, 80.13770
205.3898, 84.85156
205.8719, 84.40625
206.3540, 78.17188
206.8362, 68.64819
207.3183, 57.37524
207.8004, 42.35376
208.2825, 32.20410
208.7646, 32.31787
209.2467, 32.18628
209.7289, 23.80640
210.2110, 7.561768
210.6931, 8.324463
211.1752, 13.52417
211.6573, 4.381104
212.1395, 2.890625
212.6216, 6.918701
213.1037, 10.73291
213.5858, 16.28906
214.0679, 23.21313
214.5500, 29.49292
215.0322, 33.02319
