##NAMES=Aminoffite
##RRUFFID=R100055
##IDEAL CHEMISTRY=Ca_3_(BeOH)_2_Si_3_O_10_
##LOCALITY=Langban, Filipstad, Varmland, Sweden
##OWNER=RRUFF
##SOURCE=William W Pinch
##DESCRIPTION=Colorless transparent tetragonal pyramids with basal terminations, co-type sample from Harvard
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R100055
174.8626, 0.0000000E+00
175.3447, 2.9300000E-03
175.8268, 4.4677999E-02
176.3090, 0.7008670
176.7911, 1.859070
177.2732, 3.089142
177.7553, 3.826691
178.2374, 3.809509
178.7195, 3.355164
179.2017, 2.645447
179.6838, 1.727814
180.1659, 1.098053
180.6480, 1.210144
181.1301, 1.891479
181.6122, 2.842133
182.0944, 4.384613
182.5765, 5.845245
183.0586, 5.761780
183.5407, 4.140625
184.0228, 2.553589
184.5049, 2.616974
184.9871, 3.944794
185.4692, 5.124359
185.9513, 5.724030
186.4334, 5.893250
186.9155, 5.980804
187.3976, 5.979919
187.8798, 5.943298
188.3619, 5.908539
188.8440, 5.880585
189.3261, 5.858612
189.8082, 5.924530
190.2903, 6.002045
190.7725, 5.710205
191.2546, 4.973145
191.7367, 4.295471
192.2188, 4.391998
192.7009, 5.223328
193.1830, 5.956482
193.6652, 6.228943
194.1473, 6.127258
194.6294, 6.093201
195.1115, 6.107361
195.5936, 6.240601
196.0757, 6.862305
196.5579, 8.012207
197.0400, 8.509155
197.5221, 7.330444
198.0042, 4.670410
198.4863, 3.656616
198.9684, 4.588867
199.4506, 6.587646
199.9327, 8.457703
200.4148, 10.21143
200.8969, 12.17236
201.3790, 14.79572
201.8611, 18.11267
202.3433, 20.35608
202.8254, 21.42212
203.3075, 21.62988
203.7896, 21.32111
204.2717, 20.36395
204.7538, 19.45813
205.2360, 19.08911
205.7181, 19.35101
206.2002, 19.28619
206.6823, 19.01105
207.1644, 18.20959
207.6465, 16.08667
208.1287, 12.16431
208.6108, 8.731384
209.0929, 7.101013
209.5750, 7.659912
210.0571, 7.808655
210.5392, 7.483093
211.0214, 6.840332
211.5035, 6.001282
211.9856, 4.710083
212.4677, 4.027771
212.9498, 4.678284
213.4319, 7.213745
213.9140, 8.765076
214.3962, 9.137329
214.8783, 8.617004
215.3604, 7.554932
215.8425, 5.547302
216.3246, 3.860535
216.8067, 3.274231
217.2889, 4.272156
217.7710, 4.746155
218.2531, 4.835693
218.7352, 4.777771
219.2173, 4.880066
219.6994, 5.103882
220.1816, 5.378540
220.6637, 5.884399
221.1458, 6.908813
221.6279, 6.824463
222.1100, 5.069702
222.5921, 2.469727
223.0743, 1.488342
223.5564, 3.435181
224.0385, 5.205688
224.5206, 5.441284
225.0027, 3.817810
225.4848, 2.869446
225.9670, 2.704590
226.4491, 2.701233
226.9312, 2.784790
227.4133, 3.101807
227.8954, 3.876770
228.3775, 4.230164
228.8597, 4.470703
229.3418, 5.455872
229.8239, 7.597778
230.3060, 10.21851
230.7881, 11.21924
231.2702, 9.839478
231.7524, 8.016968
232.2345, 6.496704
232.7166, 5.190552
233.1987, 4.701904
233.6808, 5.574768
234.1629, 7.126221
234.6451, 7.537964
235.1272, 6.174744
235.6093, 4.625366
236.0914, 3.591003
236.5735, 3.280273
237.0556, 3.058777
237.5378, 2.837952
238.0199, 2.763245
238.5020, 3.320068
238.9841, 5.382568
239.4662, 6.820496
239.9483, 6.499756
240.4305, 3.070801
240.9126, 1.114563
241.3947, 1.278076
241.8768, 2.694031
242.3589, 3.166809
242.8410, 1.984131
243.3232, 0.9108280
243.8053, 0.6782840
244.2874, 1.517273
244.7695, 2.673584
245.2516, 4.421326
245.7337, 6.397705
246.2159, 7.803650
246.6980, 8.594055
247.1801, 8.905151
247.6622, 8.767822
248.1443, 8.073730
248.6264, 7.204834
249.1086, 5.868164
249.5907, 4.497803
250.0728, 4.086060
250.5549, 5.209656
251.0370, 6.293518
251.5191, 6.597290
252.0013, 5.580994
252.4834, 5.653137
252.9655, 7.467163
253.4476, 9.960693
253.9297, 11.01141
254.4118, 9.711121
254.8940, 8.585510
255.3761, 8.610840
255.8582, 10.16205
256.3403, 11.61377
256.8224, 13.67279
257.3046, 15.10944
257.7867, 13.29022
258.2688, 6.087891
258.7509, 0.1312870
259.2330, 2.109741
259.7151, 5.1270002E-03
260.1973, 2.215515
260.6794, 5.004761
261.1615, 7.377319
261.6436, 7.419312
262.1257, 3.913940
262.6078, 1.083496
263.0900, 0.4285890
263.5721, 2.225708
264.0542, 3.521301
264.5363, 4.387146
265.0184, 4.675476
265.5005, 3.970093
265.9827, 1.648987
266.4648, 0.1351320
266.9469, 0.3593140
267.4290, 2.357666
267.9111, 3.710388
268.3932, 4.184509
268.8754, 4.337524
269.3575, 5.094604
269.8396, 7.027222
270.3217, 7.428589
270.8038, 5.001221
271.2859, 2.8991999E-02
271.7681, 2.936951
272.2502, 3.305298
272.7323, 2.416565
273.2144, 1.356750
273.6965, 6.1039999E-03
274.1786, 0.8862300
274.6608, 1.059082
275.1429, 0.5982060
275.6250, 9.6008003E-02
276.1071, 1.247986
276.5892, 1.990540
277.0714, 1.191101
277.5535, 1.407043
278.0356, 3.297119
278.5177, 4.031128
278.9998, 3.717773
279.4819, 2.223145
279.9641, 0.9425660
280.4462, 3.260681
280.9283, 1.677246
281.4104, 3.998169
281.8925, 7.143188
282.3746, 6.023132
282.8568, 2.255188
283.3389, 0.3817140
283.8210, 0.5491940
284.3031, 1.481812
284.7852, 2.515808
285.2673, 3.609680
285.7495, 4.479492
286.2316, 5.095886
286.7137, 5.431519
287.1958, 5.178345
287.6779, 4.292114
288.1600, 3.797729
288.6422, 5.022278
289.1243, 7.563721
289.6064, 8.121399
290.0885, 6.018982
290.5706, 2.949036
291.0527, 1.464966
291.5349, 1.525818
292.0170, 2.421326
292.4991, 4.316711
292.9812, 6.825439
293.4633, 8.440308
293.9454, 9.083069
294.4276, 8.989014
294.9097, 8.060181
295.3918, 6.481384
295.8739, 5.217957
296.3560, 5.054199
296.8381, 5.568909
297.3203, 5.380249
297.8024, 4.447693
298.2845, 3.404541
298.7666, 2.746155
299.2487, 2.507324
299.7308, 2.791870
300.2130, 3.838318
300.6951, 5.343811
301.1772, 7.065674
301.6593, 9.002136
302.1414, 10.59058
302.6235, 11.29431
303.1057, 11.27576
303.5878, 10.78210
304.0699, 9.784424
304.5520, 8.479126
305.0341, 6.818970
305.5162, 4.891479
305.9984, 3.420898
306.4805, 2.746887
306.9626, 2.898987
307.4447, 4.023560
307.9268, 6.818054
308.4089, 9.740845
308.8911, 11.62207
309.3732, 12.51514
309.8553, 12.66956
310.3374, 11.30426
310.8195, 9.710632
311.3016, 9.186951
311.7838, 10.15741
312.2659, 11.88177
312.7480, 14.57092
313.2301, 17.72681
313.7122, 20.09186
314.1943, 21.18268
314.6765, 21.54114
315.1586, 21.19189
315.6407, 19.61255
316.1228, 19.19275
316.6049, 22.38745
317.0870, 27.21283
317.5692, 30.76440
318.0513, 30.28485
318.5334, 29.42255
319.0155, 30.03833
319.4976, 32.46362
319.9797, 34.88348
320.4619, 36.94781
320.9440, 38.64398
321.4261, 39.94409
321.9082, 39.59662
322.3903, 40.01935
322.8724, 42.36560
323.3546, 46.69904
323.8367, 50.56506
324.3188, 54.05090
324.8009, 56.66174
325.2830, 57.96375
325.7651, 57.26678
326.2473, 56.00262
326.7294, 54.66071
327.2115, 53.10498
327.6936, 50.18628
328.1757, 43.68701
328.6578, 37.40894
329.1400, 33.20648
329.6221, 33.47089
330.1042, 32.45813
330.5863, 29.36157
331.0684, 25.00775
331.5505, 21.85858
332.0327, 20.35358
332.5148, 19.35754
332.9969, 18.43463
333.4790, 17.43768
333.9611, 16.88367
334.4432, 17.12231
334.9254, 17.39807
335.4075, 16.70697
335.8896, 14.16760
336.3717, 12.22375
336.8538, 12.03369
337.3359, 13.92505
337.8180, 13.67596
338.3001, 10.29187
338.7823, 6.456482
339.2644, 5.216309
339.7465, 6.971191
340.2286, 8.729492
340.7107, 9.892456
341.1928, 10.48279
341.6750, 10.41534
342.1571, 9.627991
342.6392, 8.505432
343.1213, 6.939453
343.6034, 4.894714
344.0855, 4.516113
344.5677, 6.743042
345.0498, 10.20013
345.5319, 11.41040
346.0140, 10.32184
346.4961, 8.373169
346.9782, 6.046021
347.4604, 3.523743
347.9425, 1.765503
348.4246, 0.9199830
348.9067, 0.6922610
349.3888, 1.002563
349.8709, 1.734192
350.3531, 2.148315
350.8352, 1.331055
