##NAMES=Anthoinite
##RRUFFID=R070025
##IDEAL CHEMISTRY=AlW^6+^O_3_(OH)_3_
##LOCALITY=Kyakabingu, Bumbogo, Rwanda
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=White, waxy flaky crystals associated with tan colored jarosite on quartz
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R070025
149.5364, 0.0000000E+00
150.0185, 61.50391
150.5006, 11.91797
150.9828, 0.9804690
151.4649, 34.11328
151.9470, 111.1484
152.4291, 185.2227
152.9112, 273.3008
153.3933, 344.8359
153.8755, 379.2891
154.3576, 317.4492
154.8397, 271.2539
155.3218, 270.7578
155.8039, 324.6211
156.2860, 368.4297
156.7682, 388.7969
157.2503, 391.8711
157.7324, 385.9688
158.2145, 350.1875
158.6966, 323.2852
159.1787, 328.0898
159.6609, 391.5430
160.1430, 432.8789
160.6251, 413.7500
161.1072, 354.5742
161.5893, 301.3555
162.0714, 272.8555
162.5536, 257.0039
163.0357, 251.3047
163.5178, 242.9219
163.9999, 240.8594
164.4820, 252.5898
164.9641, 275.6992
165.4463, 292.3516
165.9284, 299.8047
166.4105, 294.2070
166.8926, 271.3750
167.3747, 210.4648
167.8568, 144.0234
168.3390, 89.66406
168.8211, 47.83594
169.3032, 20.49219
169.7853, 17.68359
170.2674, 29.16406
170.7495, 37.43750
171.2317, 25.96875
171.7138, 11.41406
172.1959, 11.74219
172.6780, 31.67578
173.1601, 58.85547
173.6422, 98.85547
174.1244, 142.8594
174.6065, 160.4102
175.0886, 98.61719
175.5707, 7.234375
176.0528, 37.61328
176.5349, 6.390625
177.0171, 51.21484
177.4992, 86.01953
177.9813, 99.46484
178.4634, 112.2500
178.9455, 147.6484
179.4276, 192.9180
179.9098, 219.6758
180.3919, 199.8945
180.8740, 164.4180
181.3561, 170.5352
181.8382, 224.4336
182.3203, 283.0781
182.8025, 373.5469
183.2846, 480.6445
183.7667, 518.4062
184.2488, 410.8945
184.7309, 228.0664
185.2130, 134.9023
185.6951, 143.0430
186.1773, 195.8125
186.6594, 207.9336
187.1415, 184.6016
187.6236, 163.2227
188.1057, 165.7969
188.5878, 187.8750
189.0700, 208.9375
189.5521, 225.1406
190.0342, 239.0938
190.5163, 250.9453
190.9984, 258.6406
191.4805, 277.8555
191.9627, 333.6523
192.4448, 419.8086
192.9269, 470.5430
193.4090, 466.2031
193.8911, 422.9141
194.3732, 392.5859
194.8554, 379.0039
195.3375, 358.4648
195.8196, 300.5391
196.3017, 205.0586
196.7838, 126.4453
197.2659, 84.34766
