##NAMES=Benjaminite
##RRUFFID=R070399
##IDEAL CHEMISTRY=Ag_3_Bi_7_S_12_
##LOCALITY=Outlaw Mine, Round Mountain District, Nye County, Nevada, USA
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Black polished crystals embedded in epoxy, co-type specimen
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R070399
123.1454, 0.0000000E+00
123.6275, 1.467722
124.1096, 0.2459470
124.5917, 2.043497
125.0739, 3.939049
125.5560, 2.494968
126.0381, 0.1090580
126.5202, 0.5008160
127.0023, 2.902954
127.4844, 7.649300
127.9666, 9.132328
128.4487, 7.392296
128.9308, 6.076405
129.4129, 11.05574
129.8950, 19.73160
130.3772, 24.12923
130.8593, 19.37992
131.3414, 8.565449
131.8235, 2.946327
132.3056, 3.237244
132.7877, 5.768337
133.2699, 6.195084
133.7520, 4.434643
134.2341, 2.441338
134.7162, 4.1152999E-02
135.1983, 2.788799
135.6804, 1.257362
136.1626, 6.215752
136.6447, 15.84365
137.1268, 19.85683
137.6089, 16.88579
138.0910, 12.97318
138.5731, 11.34460
139.0553, 12.57571
139.5374, 13.06258
140.0195, 11.67664
140.5016, 9.540703
140.9837, 11.90423
141.4658, 22.21428
141.9480, 31.64778
142.4301, 33.26215
142.9122, 21.75082
143.3943, 13.79844
143.8764, 12.41225
144.3585, 17.43362
144.8407, 20.94655
145.3228, 22.86378
145.8049, 23.30178
146.2870, 22.13328
146.7691, 16.84315
147.2512, 13.26311
147.7334, 13.09657
148.2155, 17.47698
148.6976, 20.18365
149.1797, 19.98118
149.6618, 18.45876
150.1439, 17.71552
150.6261, 16.80181
151.1082, 17.52245
151.5903, 21.17340
152.0724, 30.97136
152.5545, 36.43973
153.0366, 32.53703
153.5188, 23.92081
154.0009, 19.75980
154.4830, 27.12045
154.9651, 34.88154
155.4472, 37.83170
155.9294, 30.22203
156.4115, 25.29375
156.8936, 28.33575
157.3757, 36.78242
157.8578, 41.79066
158.3399, 38.93378
158.8221, 32.89635
159.3042, 26.69176
159.7863, 17.84164
160.2684, 12.05467
160.7505, 12.39091
161.2326, 18.21127
161.7148, 24.56470
162.1969, 32.10682
162.6790, 38.15118
163.1611, 40.03623
163.6432, 32.16198
164.1253, 23.71908
164.6075, 19.45354
165.0896, 19.53115
165.5717, 21.37029
166.0538, 24.91512
166.5359, 29.08150
167.0180, 32.33231
167.5002, 34.01202
167.9823, 34.58710
168.4644, 33.68190
168.9465, 30.88271
169.4286, 29.29165
169.9107, 32.93163
170.3929, 39.52427
170.8750, 44.36684
171.3571, 43.82777
171.8392, 40.79603
172.3213, 38.05508
172.8034, 35.79919
173.2856, 34.41985
173.7677, 35.39427
174.2498, 37.90526
174.7319, 39.13766
175.2140, 36.14323
175.6961, 31.08997
176.1783, 27.23158
176.6604, 25.22687
177.1425, 24.53104
177.6246, 25.49310
178.1067, 27.74028
178.5888, 28.92050
179.0710, 24.77888
179.5531, 18.29685
180.0352, 16.69775
180.5173, 23.90544
180.9994, 34.33435
181.4815, 39.40801
181.9637, 39.29538
182.4458, 37.14540
182.9279, 35.66391
183.4100, 34.37511
183.8921, 31.24879
184.3742, 24.15917
184.8564, 15.56161
185.3385, 11.88118
185.8206, 13.38361
186.3027, 16.22556
186.7848, 15.14409
187.2669, 11.02906
187.7491, 10.76012
188.2312, 19.75604
188.7133, 34.55942
189.1954, 42.41135
189.6775, 42.72195
190.1596, 38.39761
190.6418, 30.61861
191.1239, 19.58479
191.6060, 11.65681
192.0881, 11.18002
192.5702, 17.09889
193.0524, 19.64613
193.5345, 18.09171
194.0166, 15.30437
194.4987, 16.10242
194.9808, 20.73484
195.4629, 25.21165
195.9451, 27.46740
196.4272, 27.58009
196.9093, 27.71174
197.3914, 27.78121
197.8735, 28.10363
198.3556, 29.87675
198.8378, 33.51542
199.3199, 35.95470
199.8020, 34.18109
200.2841, 27.67014
200.7662, 25.53794
201.2483, 29.72386
201.7305, 37.27719
202.2126, 40.60032
202.6947, 38.75902
203.1768, 36.17307
203.6589, 35.19421
204.1410, 35.84829
204.6232, 38.22057
205.1053, 43.08453
205.5874, 49.34081
206.0695, 53.16827
206.5516, 54.00859
207.0337, 53.88602
207.5159, 54.93918
207.9980, 58.26402
208.4801, 56.95193
208.9622, 48.01895
209.4443, 33.84331
209.9264, 26.48260
210.4086, 27.65651
210.8907, 32.20966
211.3728, 36.94673
211.8549, 42.77406
212.3370, 45.54578
212.8191, 43.33522
213.3013, 37.08257
213.7834, 34.99977
214.2655, 38.82448
214.7476, 44.03770
215.2297, 46.72034
215.7118, 46.20209
216.1940, 44.90154
216.6761, 42.40539
217.1582, 38.93808
217.6403, 40.05655
218.1224, 49.22155
218.6045, 58.55315
219.0867, 59.46198
219.5688, 47.50842
220.0509, 37.54088
220.5330, 32.64135
221.0151, 32.79543
221.4972, 35.68069
221.9794, 42.78118
222.4615, 50.98003
222.9436, 57.34097
223.4257, 62.37752
223.9078, 64.40400
224.3899, 62.23689
224.8721, 55.41124
225.3542, 50.41464
225.8363, 48.83783
226.3184, 47.54427
226.8005, 41.73193
227.2827, 26.35950
227.7648, 16.38840
228.2469, 17.52249
228.7290, 31.95728
229.2111, 40.13840
229.6932, 39.53045
230.1754, 34.63510
230.6575, 31.09964
231.1396, 29.18626
231.6217, 28.22961
232.1038, 28.07277
232.5859, 28.71576
233.0681, 30.30781
233.5502, 33.68735
234.0323, 37.45169
234.5144, 39.52251
234.9965, 39.46844
235.4786, 38.42289
235.9608, 36.30508
236.4429, 32.55989
236.9250, 30.51996
237.4071, 30.92622
237.8892, 32.59822
238.3713, 33.84839
238.8535, 35.21910
239.3356, 35.20791
239.8177, 32.57892
240.2998, 25.65130
240.7819, 22.93023
241.2640, 26.94418
241.7462, 33.64782
242.2283, 35.55396
242.7104, 28.63397
243.1925, 23.58765
243.6746, 24.81281
244.1567, 35.33156
244.6389, 41.77012
245.1210, 43.14200
245.6031, 41.04118
246.0852, 37.84978
246.5673, 32.24741
247.0494, 27.81836
247.5316, 26.12363
248.0137, 28.22057
248.4958, 30.14154
248.9779, 31.12486
249.4600, 30.79955
249.9421, 29.55692
250.4243, 25.45512
250.9064, 24.34491
251.3885, 29.76351
251.8706, 45.74688
252.3527, 54.50257
252.8348, 53.75316
253.3170, 47.21842
253.7991, 41.74416
254.2812, 37.89200
254.7633, 34.12526
255.2454, 29.55783
255.7275, 23.46574
256.2097, 19.49937
256.6918, 18.23174
257.1739, 18.73929
257.6560, 19.49951
258.1381, 20.34933
258.6202, 22.18780
259.1024, 25.54414
259.5845, 30.88316
260.0666, 33.38132
260.5487, 31.65087
261.0308, 28.23324
261.5129, 28.28457
261.9951, 33.72745
262.4772, 38.03683
262.9593, 38.19494
263.4414, 33.08403
263.9235, 28.82799
264.4056, 24.60381
264.8878, 21.97073
265.3699, 24.74848
265.8520, 35.60773
266.3341, 44.37471
266.8162, 46.66611
267.2983, 41.37939
267.7805, 36.80678
268.2626, 31.98520
268.7447, 28.16290
269.2268, 26.99903
269.7089, 29.57460
270.1910, 31.02555
270.6732, 28.71356
271.1553, 21.63406
271.6374, 17.91471
272.1195, 19.03545
272.6016, 21.29044
273.0837, 17.40355
273.5659, 5.786285
274.0480, 3.443954
274.5301, 6.233810
275.0122, 2.396248
275.4943, 3.749741
275.9764, 13.79609
276.4586, 23.16522
276.9407, 23.07983
277.4228, 12.37467
277.9049, 4.246933
278.3870, 4.485764
278.8691, 12.39352
279.3513, 17.92989
279.8334, 21.17146
280.3155, 22.12749
280.7976, 19.75285
281.2798, 13.91038
281.7619, 8.846970
282.2440, 6.014832
282.7261, 5.366798
283.2082, 6.543663
283.6903, 10.03426
284.1725, 13.72018
284.6546, 14.91854
285.1367, 13.68690
285.6188, 11.65585
286.1009, 8.540039
286.5830, 5.006760
287.0652, 4.366364
287.5473, 6.949257
288.0294, 10.49515
288.5115, 13.38374
288.9936, 15.44216
289.4757, 15.11050
289.9579, 10.35457
290.4400, 3.212776
290.9221, 0.8708190
291.4042, 1.805389
291.8863, 0.8152770
292.3684, 1.791054
292.8506, 5.572395
293.3327, 8.606300
293.8148, 9.853516
294.2969, 10.24921
294.7790, 12.00118
295.2611, 15.11822
295.7433, 17.78867
296.2254, 16.69030
296.7075, 13.71689
297.1896, 14.62687
297.6717, 24.34774
298.1538, 35.97260
298.6360, 38.10129
299.1181, 31.35732
299.6002, 22.92355
300.0823, 17.59064
300.5644, 14.49700
301.0465, 11.86502
301.5287, 8.742149
302.0108, 6.503265
302.4929, 7.346199
302.9750, 10.84538
303.4571, 14.52565
303.9392, 19.44894
304.4214, 22.76047
304.9035, 19.47037
305.3856, 3.836662
305.8677, 11.12079
306.3498, 12.12708
306.8319, 2.219109
307.3141, 7.769295
307.7962, 11.53753
308.2783, 12.14976
308.7604, 12.62589
309.2425, 13.76267
309.7246, 14.37322
310.2068, 13.04938
310.6889, 10.52220
311.1710, 8.672760
311.6531, 8.882462
312.1352, 9.825165
312.6173, 10.88571
313.0995, 12.54005
313.5816, 12.60751
314.0637, 8.932098
314.5458, 2.998627
315.0279, 2.444283
315.5100, 9.017181
315.9922, 12.81541
316.4743, 10.36901
316.9564, 0.7657470
317.4385, 9.643486
317.9206, 10.19812
318.4027, 6.892693
318.8849, 5.959557
319.3670, 12.78388
319.8491, 19.00110
320.3312, 21.16148
320.8133, 18.37447
321.2954, 15.42634
321.7776, 13.45493
322.2597, 11.68320
322.7418, 9.282845
323.2239, 5.289482
323.7060, 1.500603
324.1881, 2.951744
324.6703, 8.520626
325.1524, 8.966667
325.6345, 3.912201
326.1166, 17.97800
326.5987, 23.50829
327.0808, 10.91195
327.5630, 1.005219
328.0451, 3.266273
328.5272, 2.141411
329.0093, 0.6678310
329.4914, 1.959137
329.9735, 4.181831
330.4557, 4.798637
330.9378, 1.991272
331.4199, 0.7943800
331.9020, 2.061760
332.3841, 5.231537
332.8662, 8.232674
333.3484, 12.55323
333.8305, 14.42931
334.3126, 11.42252
334.7947, 0.4864200
335.2768, 5.264751
335.7589, 3.450150
336.2411, 2.954296
336.7232, 6.318626
337.2053, 5.643875
337.6874, 4.778709
338.1695, 6.056076
338.6516, 9.968899
339.1338, 11.01548
339.6159, 7.793930
340.0980, 3.755672
340.5801, 5.923397
341.0622, 15.15340
341.5443, 22.88887
342.0265, 24.73034
342.5086, 21.43948
342.9907, 20.73896
343.4728, 23.18613
343.9549, 26.06506
344.4370, 25.69296
344.9192, 22.38938
345.4013, 19.06714
345.8834, 16.59784
346.3655, 14.98983
346.8476, 15.55412
347.3297, 18.65257
347.8119, 21.60817
348.2940, 21.45206
348.7761, 19.03425
349.2582, 16.78040
349.7404, 14.53178
350.2225, 13.69021
350.7046, 17.99941
351.1867, 26.70049
351.6688, 33.64106
352.1509, 31.64364
352.6331, 25.77272
353.1152, 24.25316
353.5973, 31.19002
354.0794, 38.59807
354.5615, 38.35393
355.0436, 32.50227
355.5258, 27.26614
356.0079, 26.61729
356.4900, 27.77374
356.9721, 28.55386
357.4542, 28.79410
357.9363, 28.07791
358.4185, 25.66949
358.9006, 22.19890
359.3827, 18.75635
359.8648, 14.57991
360.3469, 11.48179
360.8290, 11.19706
361.3112, 14.44467
361.7933, 16.18403
362.2754, 12.71112
362.7575, 7.703129
363.2396, 5.145695
363.7217, 7.760242
364.2039, 10.40728
364.6860, 12.47030
365.1681, 13.48227
365.6502, 13.73020
366.1323, 12.17884
366.6144, 10.10317
367.0966, 9.421104
367.5787, 11.35056
368.0608, 13.27349
368.5429, 15.76950
369.0250, 18.36956
369.5071, 18.45551
369.9893, 13.60857
370.4714, 9.064461
370.9535, 7.492016
371.4356, 10.39470
371.9177, 12.87440
372.3998, 14.68893
372.8820, 15.92451
373.3641, 17.49718
373.8462, 20.60896
374.3283, 21.83043
374.8104, 18.90634
375.2925, 10.43144
375.7747, 7.003361
376.2568, 9.989746
376.7389, 15.24996
377.2210, 16.41332
377.7031, 13.04000
378.1852, 12.16324
378.6674, 17.80234
379.1495, 27.56387
379.6316, 30.30282
380.1137, 25.35248
380.5958, 19.21459
381.0779, 18.51615
381.5601, 22.06536
382.0422, 24.12693
382.5243, 23.15303
383.0064, 20.62670
383.4885, 18.35041
383.9706, 15.85324
384.4528, 14.90508
384.9349, 18.50305
385.4170, 23.86794
385.8991, 26.18087
386.3812, 24.45924
386.8633, 22.04853
387.3455, 22.19439
387.8276, 24.01404
388.3097, 25.59207
388.7918, 28.25957
389.2739, 28.70917
389.7560, 21.80085
390.2382, 6.174854
390.7203, 4.836235
391.2024, 0.7910540
391.6845, 13.31807
392.1666, 21.73671
392.6487, 18.69821
393.1309, 13.75434
393.6130, 10.74992
394.0951, 9.893372
394.5772, 9.709267
395.0593, 10.26949
395.5414, 11.03244
396.0236, 11.69731
396.5057, 11.35501
396.9878, 11.90219
397.4699, 14.57257
397.9520, 18.34332
398.4341, 20.26809
398.9163, 19.27850
399.3984, 17.44843
399.8805, 15.15984
400.3626, 11.47926
400.8447, 10.49245
401.3268, 14.86412
401.8090, 19.96489
402.2911, 18.10701
402.7732, 5.239433
403.2553, 3.798656
403.7374, 3.777874
404.2195, 4.835167
404.7017, 10.33951
405.1838, 11.52278
405.6659, 10.81713
406.1480, 9.693398
406.6301, 8.137566
407.1122, 6.609894
407.5944, 4.737869
408.0765, 3.414494
408.5586, 5.304852
409.0407, 10.35873
409.5228, 15.83048
410.0049, 21.16405
410.4871, 25.50057
410.9692, 25.53325
411.4513, 19.99567
411.9334, 13.90641
412.4155, 13.79016
412.8976, 17.88902
413.3798, 21.10840
413.8619, 20.91969
414.3440, 18.84973
414.8261, 15.51133
415.3082, 10.95847
415.7903, 8.145531
416.2725, 11.57206
416.7546, 16.81587
417.2367, 18.83855
417.7188, 12.61179
418.2009, 6.594208
418.6830, 4.300613
419.1652, 5.310898
419.6473, 8.181408
420.1294, 15.54582
420.6115, 22.33245
421.0937, 26.02254
421.5758, 26.42555
422.0579, 23.52968
422.5400, 12.11366
423.0221, 1.548897
423.5042, 7.261597
423.9864, 4.144650
424.4685, 13.57418
424.9506, 15.75609
425.4327, 9.830730
425.9148, 7.566311
426.3969, 10.89137
426.8791, 15.67501
427.3612, 18.10610
427.8433, 17.05659
428.3254, 17.26233
428.8075, 19.75510
429.2896, 23.81572
429.7718, 27.03860
430.2539, 29.47650
430.7360, 30.89278
431.2181, 30.56958
431.7002, 28.68232
432.1823, 27.97066
