##NAMES=Bornite
##RRUFFID=R070636
##IDEAL CHEMISTRY=Cu^1+^_5_Fe^3+^S^2-^_4_
##LOCALITY=mine 65, 180 m. level, Dzheskazgan mining district, central Kazakhstan
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Iridescent blue metallic crystal associated with calcite, malachite and hematite
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R070636
157.1285, 0.0000000E+00
157.6106, 13.82254
158.0928, 16.46350
158.5749, 8.067749
159.0570, 1.149597
159.5391, 10.69223
160.0212, 19.63965
160.5033, 21.51633
160.9855, 8.457336
161.4676, 1.160553
161.9497, 0.7406310
162.4318, 11.64389
162.9139, 23.40027
163.3960, 30.04520
163.8782, 31.55832
164.3603, 36.04648
164.8424, 38.78497
165.3245, 40.97961
165.8066, 44.73782
166.2887, 50.10681
166.7709, 55.77371
167.2530, 59.03030
167.7351, 59.18512
168.2172, 58.42352
168.6993, 59.17535
169.1814, 58.24750
169.6636, 49.73419
170.1457, 31.00073
170.6278, 11.73083
171.1099, 1.474640
171.5920, 1.189148
172.0741, 1.269653
172.5563, 11.88596
173.0384, 27.40479
173.5205, 38.05801
174.0026, 42.52319
174.4847, 41.31442
174.9668, 34.94504
175.4490, 22.21310
175.9311, 9.894592
176.4132, 3.883850
176.8953, 4.599915
177.3774, 9.444824
177.8595, 22.33493
178.3417, 36.50906
178.8238, 47.60236
179.3059, 55.31818
179.7880, 61.80099
180.2701, 68.59625
180.7522, 79.59402
181.2344, 83.21423
181.7165, 67.01584
182.1986, 48.75073
182.6807, 39.18539
183.1628, 41.13748
183.6449, 48.52216
184.1271, 51.36166
184.6092, 48.17368
185.0913, 42.84372
185.5734, 30.69440
186.0555, 20.18353
186.5376, 19.14932
187.0198, 31.85986
187.5019, 50.84155
187.9840, 56.08319
188.4661, 26.32828
188.9482, 9.358124
189.4303, 19.89203
189.9125, 41.45673
190.3946, 54.23624
190.8767, 47.92209
191.3588, 28.62967
191.8409, 12.76730
192.3230, 2.499695
192.8052, 2.873871
193.2873, 1.986115
193.7694, 3.765045
194.2515, 13.66299
194.7336, 28.64539
195.2157, 48.26913
195.6979, 51.46844
196.1800, 23.15616
196.6621, 0.2337040
197.1442, 1.605347
197.6263, 20.92032
198.1084, 37.36765
198.5906, 35.95013
199.0727, 18.02432
199.5548, 7.689606
200.0369, 9.879150
200.5190, 13.50473
201.0011, 10.69247
201.4833, 2.186035
201.9654, 2.479584
202.4475, 7.127045
202.9296, 28.38724
203.4117, 37.09677
203.8938, 17.99808
204.3760, 4.893951
204.8581, 7.137024
205.3402, 13.52850
205.8223, 35.46564
206.3044, 39.43106
206.7865, 30.11792
207.2687, 24.16266
207.7508, 29.23526
208.2329, 37.60443
208.7150, 37.74420
209.1971, 27.20544
209.6792, 15.53415
210.1614, 10.50958
210.6435, 9.654785
211.1256, 10.59628
211.6077, 13.51089
212.0898, 17.40036
212.5719, 20.57132
213.0541, 23.91370
213.5362, 24.31921
214.0183, 15.67227
214.5004, 2.077820
214.9825, 5.370300
215.4646, 4.483093
215.9468, 26.21811
216.4289, 35.78778
216.9110, 24.30246
217.3931, 11.85541
217.8752, 10.55548
218.3573, 17.73413
218.8395, 25.61749
219.3216, 28.29373
219.8037, 26.57495
220.2858, 27.33603
220.7679, 35.35114
221.2500, 40.35739
221.7322, 35.24655
222.2143, 22.60147
222.6964, 10.77548
223.1785, 8.404572
223.6606, 16.17661
224.1427, 17.68356
224.6249, 2.063812
225.1070, 10.41318
225.5891, 10.24869
226.0712, 0.8247680
226.5533, 14.71817
227.0354, 24.57056
227.5176, 30.08005
227.9997, 33.28476
228.4818, 34.02707
228.9639, 32.35663
229.4460, 26.44489
229.9281, 17.64011
