##NAMES=Caryochroite
##RRUFFID=R070008
##IDEAL CHEMISTRY=(Na,Sr)_3_(Fe^3+^,Mg)_10_Ti^4+^_2_Si_12_O_37_(H_2_O,O,OH)_17_
##LOCALITY=Umbozero mine, Alluaiv Mt., Lovozero massif, Kola Peninsula, Russia
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Dark brown massive, very fine grained
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R070008
161.2709, 0.0000000E+00
161.7530, 42.89062
162.2351, 80.83057
162.7172, 102.1177
163.1993, 106.9199
163.6815, 102.7373
164.1636, 107.7510
164.6457, 91.04980
165.1278, 71.00439
165.6099, 40.54346
166.0920, 14.54980
166.5742, 2.8320000E-02
167.0563, 3.099609
167.5384, 6.035645
168.0205, 41.73828
168.5026, 94.54346
168.9847, 126.2964
169.4669, 139.5337
169.9490, 134.3877
170.4311, 104.1689
170.9132, 47.45020
171.3953, 9.447754
171.8774, 45.12939
172.3596, 122.4893
172.8417, 179.5630
173.3238, 178.9736
173.8059, 145.8057
174.2880, 102.0747
174.7701, 45.40723
175.2523, 2.773926
175.7344, 14.54346
176.2165, 1.527344
176.6986, 17.79541
177.1807, 8.968262
177.6628, 8.206543
178.1449, 0.2182620
178.6271, 47.80615
179.1092, 98.59229
179.5913, 96.95898
180.0734, 50.22998
180.5555, 4.424316
181.0376, 5.227051
181.5198, 10.52588
182.0019, 23.84619
182.4840, 28.66748
182.9661, 28.78223
183.4482, 27.37646
183.9303, 24.63428
184.4125, 27.75049
184.8946, 46.80957
185.3767, 78.43799
185.8588, 108.4897
186.3409, 137.3389
186.8230, 160.4609
187.3052, 161.4268
187.7873, 138.6709
188.2694, 109.2563
188.7515, 87.15625
189.2336, 72.47363
189.7157, 68.87158
190.1979, 86.31787
190.6800, 117.3950
191.1621, 119.3491
191.6442, 85.09082
192.1263, 48.94629
192.6084, 68.21436
193.0906, 143.5776
193.5727, 202.8691
194.0548, 210.1025
194.5369, 168.6069
195.0190, 124.9443
195.5011, 75.52637
195.9832, 31.76270
196.4654, 18.21338
196.9475, 37.96680
197.4296, 60.87061
197.9117, 69.15820
198.3938, 65.39258
198.8759, 72.83252
199.3581, 105.1440
199.8402, 148.4434
200.3223, 164.1187
200.8044, 146.7744
201.2865, 131.1909
201.7686, 147.2715
202.2508, 201.2563
202.7329, 223.8198
203.2150, 200.9209
203.6971, 145.7295
204.1792, 98.03076
204.6613, 55.25586
205.1435, 27.52881
205.6256, 24.93848
206.1077, 51.18604
206.5898, 84.06494
207.0719, 125.9194
207.5540, 172.4956
208.0362, 196.8013
208.5183, 193.1665
209.0004, 178.8774
209.4825, 167.4429
209.9646, 159.1836
210.4467, 153.0244
210.9288, 148.6484
211.4110, 146.1147
211.8931, 148.8291
212.3752, 163.0850
212.8573, 172.7593
213.3394, 156.6655
213.8215, 101.4565
214.3037, 57.29395
214.7858, 37.83447
215.2679, 43.86621
215.7500, 50.02344
216.2321, 58.55664
216.7142, 64.49658
217.1964, 59.43164
217.6785, 36.22949
218.1606, 18.52441
218.6427, 12.70703
219.1248, 19.01514
219.6069, 32.27246
220.0891, 55.72168
220.5712, 83.34668
