##NAMES=Cerite-(CeCa)
##RRUFFID=R130614
##IDEAL CHEMISTRY=(Ce_7_Ca_2_)[box]Mg(SiO_4_)_3_(SiO_3_OH)_4_(OH)_3_
##LOCALITY=Mont Saint-Hilaire, Rouville County, Quebec, Canada
##OWNER=RRUFF
##SOURCE=Don Doell
##DESCRIPTION=Hexagonal platy pink crystals, associated with catapleiite and aegirine. The color is dependent upon light source.
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R130614
8.806445e+001, 3.051629e+005
8.854657e+001, 2.927139e+005
8.902869e+001, 2.884023e+005
8.951080e+001, 2.961489e+005
8.999292e+001, 3.102511e+005
9.047504e+001, 3.255485e+005
9.095715e+001, 3.410449e+005
9.143927e+001, 3.564046e+005
9.192139e+001, 3.713160e+005
9.240350e+001, 3.857841e+005
9.288562e+001, 3.998428e+005
9.336774e+001, 4.106949e+005
9.384985e+001, 4.156392e+005
9.433197e+001, 4.148627e+005
9.481409e+001, 4.141543e+005
9.529620e+001, 4.120446e+005
9.577832e+001, 4.098729e+005
9.626044e+001, 4.078996e+005
9.674255e+001, 4.061915e+005
9.722467e+001, 4.047332e+005
9.770679e+001, 4.034507e+005
9.818890e+001, 4.023373e+005
9.867102e+001, 4.012384e+005
9.915314e+001, 4.002846e+005
9.963525e+001, 3.995893e+005
1.001174e+002, 3.991916e+005
1.005995e+002, 3.989953e+005
1.010816e+002, 3.987102e+005
1.015637e+002, 3.980459e+005
1.020458e+002, 3.975344e+005
1.025280e+002, 3.971172e+005
1.030101e+002, 3.967872e+005
1.034922e+002, 3.965563e+005
1.039743e+002, 3.964340e+005
1.044564e+002, 3.964035e+005
1.049385e+002, 3.964352e+005
1.054207e+002, 3.964972e+005
1.059028e+002, 3.965801e+005
1.063849e+002, 3.966872e+005
1.068670e+002, 3.968037e+005
1.073491e+002, 3.968807e+005
1.078312e+002, 3.968452e+005
1.083134e+002, 3.966968e+005
1.087955e+002, 3.965823e+005
1.092776e+002, 3.965474e+005
1.097597e+002, 3.965441e+005
1.102418e+002, 3.965008e+005
1.107239e+002, 3.963961e+005
1.112061e+002, 3.962685e+005
1.116882e+002, 3.961211e+005
1.121703e+002, 3.959648e+005
1.126524e+002, 3.958764e+005
