##NAMES=Cleusonite
##RRUFFID=R061019
##IDEAL CHEMISTRY=Pb^2+^(U^4+^,U^6+^)Fe^2+^_2_(Ti^4+^,Fe^2+^,Fe^3+^)_18_(O,OH)_38_
##LOCALITY=Bella Tola, Alpe Roua, St-Luc, Val d'Annivers, Wallis
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Metamict black semimetallic prismatic, associated with quartz
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R061019
146.1157, 0.0000000E+00
146.5979, 54.12549
147.0800, 118.5146
147.5621, 172.2441
148.0442, 212.8503
148.5263, 236.5813
149.0084, 237.9678
149.4906, 229.8079
149.9727, 219.9768
150.4548, 211.8728
150.9369, 203.1575
151.4190, 196.7368
151.9011, 184.1746
152.3833, 165.2119
152.8654, 129.8689
153.3475, 95.25293
153.8296, 74.77466
154.3117, 72.78052
154.7938, 79.29810
155.2760, 70.82153
155.7581, 27.98267
156.2402, 2.318848
156.7223, 12.28076
157.2044, 11.35303
157.6865, 8.844482
158.1687, 8.707764
158.6508, 8.473145
159.1329, 1.449463
159.6150, 15.85840
160.0971, 36.65405
160.5792, 60.90649
161.0614, 88.15820
161.5435, 119.3870
162.0256, 155.0413
162.5077, 192.1348
162.9898, 221.0886
163.4719, 236.3289
163.9541, 248.7229
164.4362, 255.8374
164.9183, 261.2659
165.4004, 269.6501
165.8825, 283.3687
166.3646, 300.9316
166.8468, 317.2507
167.3289, 341.3372
167.8110, 353.7341
168.2931, 343.3513
168.7752, 321.3076
169.2573, 303.8215
169.7395, 299.0735
170.2216, 303.7461
170.7037, 304.6638
171.1858, 307.3909
171.6679, 300.6174
172.1500, 271.5942
172.6322, 233.0574
173.1143, 207.3657
173.5964, 207.1233
174.0785, 224.8943
174.5606, 229.9875
175.0427, 213.7263
175.5249, 196.8074
176.0070, 185.4761
176.4891, 176.4709
176.9712, 162.2849
177.4533, 138.1714
177.9354, 107.9556
178.4176, 89.34717
178.8997, 88.28271
179.3818, 89.38745
179.8639, 88.14307
180.3460, 86.34717
180.8281, 87.47021
181.3103, 93.30518
181.7924, 103.3054
182.2745, 115.9485
182.7566, 132.0417
183.2387, 149.1384
183.7208, 176.2822
184.2030, 204.2583
184.6851, 210.9922
185.1672, 182.1523
185.6493, 129.5574
186.1314, 96.24243
186.6135, 90.43359
187.0957, 89.30640
187.5778, 86.51221
188.0599, 83.63184
188.5420, 85.34351
189.0241, 96.05688
189.5062, 110.0874
189.9884, 108.1255
190.4705, 79.11060
190.9526, 53.05640
191.4347, 37.84912
191.9168, 32.27075
192.3989, 35.09302
192.8811, 47.51147
193.3632, 65.43945
193.8453, 76.59790
194.3274, 79.13428
194.8095, 79.84741
195.2916, 81.99341
195.7738, 83.82812
196.2559, 79.69507
196.7380, 65.01318
197.2201, 47.61328
197.7022, 48.24951
198.1843, 76.43237
198.6665, 101.0286
199.1486, 113.3108
199.6307, 115.4492
200.1128, 110.0952
200.5949, 96.82617
201.0770, 79.52661
201.5592, 70.67603
202.0413, 74.32471
202.5234, 75.31641
203.0055, 63.16772
203.4876, 46.25684
203.9697, 41.59058
204.4519, 58.49097
204.9340, 84.42993
205.4161, 92.71704
205.8982, 79.67480
206.3803, 63.84253
206.8624, 45.68115
207.3446, 28.32104
207.8267, 17.09937
208.3088, 13.86938
208.7909, 16.69507
209.2730, 24.08667
209.7551, 39.33008
210.2373, 48.67334
210.7194, 46.42896
211.2015, 37.49268
211.6836, 28.09814
212.1657, 19.73633
212.6479, 12.53345
213.1300, 6.416748
213.6121, 0.4953610
214.0942, 1.537354
214.5763, 2.738770
215.0584, 10.64917
215.5406, 20.14795
216.0227, 31.38696
216.5048, 39.95825
216.9869, 38.73779
217.4690, 25.65283
217.9511, 13.98315
218.4333, 2.260254
218.9154, 6.120361
219.3975, 5.937256
219.8796, 3.411865
220.3617, 16.73071
220.8438, 29.74097
221.3260, 44.41479
221.8081, 49.20142
222.2902, 33.15869
222.7723, 13.52563
223.2544, 5.675781
223.7365, 11.18652
224.2187, 21.12720
224.7008, 27.58716
225.1829, 29.98242
225.6650, 29.74536
226.1471, 22.90698
226.6292, 16.38574
227.1114, 17.26782
227.5935, 24.75586
228.0756, 29.81348
228.5577, 23.00342
229.0398, 3.280518
229.5219, 3.457031
230.0041, 17.91382
230.4862, 37.97266
230.9683, 34.75415
231.4504, 12.89575
231.9325, 4.308350
232.4146, 1.790283
232.8968, 30.07397
233.3789, 43.96240
233.8610, 33.91675
234.3431, 22.14551
234.8252, 14.96631
235.3073, 13.43994
235.7895, 18.08960
236.2716, 30.15552
236.7537, 47.58423
237.2358, 56.94238
237.7179, 54.37988
238.2000, 49.46753
238.6822, 41.99365
239.1643, 34.14136
239.6464, 30.53394
240.1285, 33.36548
240.6106, 39.64282
241.0927, 41.17407
241.5749, 33.99390
242.0570, 27.16699
242.5391, 19.92651
243.0212, 14.17603
243.5033, 12.96509
243.9854, 17.56104
244.4676, 25.55859
244.9497, 31.55127
245.4318, 36.39233
245.9139, 37.66479
246.3960, 34.43677
246.8781, 28.21216
247.3603, 17.04224
247.8424, 1.396973
248.3245, 11.17358
248.8066, 7.151367
249.2887, 28.31738
249.7708, 51.80640
250.2530, 61.61743
250.7351, 62.31299
251.2172, 53.23364
251.6993, 36.20532
252.1814, 18.12231
252.6635, 7.798096
253.1457, 7.936768
253.6278, 6.380859
254.1099, 2.705322
254.5920, 8.327393
255.0741, 1.400391
255.5562, 15.36401
256.0384, 30.53589
256.5205, 32.63330
257.0026, 20.34668
257.4847, 13.28784
257.9668, 16.52979
258.4489, 21.22778
258.9311, 24.58105
259.4132, 25.93750
259.8953, 27.19751
260.3774, 31.66162
260.8595, 38.48242
261.3416, 40.57495
261.8238, 29.75806
262.3059, 24.94873
262.7880, 40.51855
263.2701, 63.81763
263.7522, 75.81494
264.2343, 64.99585
264.7165, 40.65015
265.1986, 30.86890
265.6807, 44.23511
266.1628, 54.95850
266.6449, 57.36963
267.1270, 53.85083
267.6092, 45.26050
268.0913, 31.25757
268.5734, 16.75562
269.0555, 10.10474
269.5376, 11.93848
270.0197, 14.59717
270.5019, 18.19043
270.9840, 20.87964
271.4661, 21.37451
271.9482, 19.43823
272.4303, 15.54443
272.9124, 6.991211
273.3946, 6.072998
273.8767, 8.943115
274.3588, 10.96704
274.8409, 31.34668
275.3230, 33.96313
275.8051, 19.63525
276.2873, 3.301025
276.7694, 9.202148
277.2515, 16.88477
277.7336, 15.71680
278.2157, 2.930176
278.6978, 13.90845
279.1800, 32.59326
279.6621, 51.29175
280.1442, 62.47705
280.6263, 60.74268
281.1084, 51.02515
281.5905, 38.30542
282.0727, 21.74341
282.5548, 9.755615
283.0369, 11.45874
283.5190, 22.30518
284.0011, 28.40308
284.4832, 23.39990
284.9654, 16.93848
285.4475, 18.81299
285.9296, 27.50000
286.4117, 31.59399
286.8938, 23.40942
287.3759, 7.679932
287.8581, 1.159912
288.3402, 1.123779
288.8223, 1.836182
289.3044, 6.863770
289.7865, 12.98486
290.2686, 19.36890
290.7508, 26.21143
291.2329, 30.87061
291.7150, 26.88916
292.1971, 8.308838
292.6792, 4.118896
293.1613, 6.902344
293.6435, 2.642822
294.1256, 10.00684
294.6077, 30.38208
295.0898, 47.65088
295.5719, 47.63916
296.0540, 23.38940
296.5362, 6.615234
297.0183, 3.526611
297.5004, 6.292236
297.9825, 2.413818
298.4646, 20.01636
298.9467, 37.83789
299.4289, 49.03296
299.9110, 53.46729
300.3931, 56.53760
300.8752, 57.74268
301.3573, 58.15942
301.8394, 58.06421
302.3216, 57.36768
302.8037, 56.51245
303.2858, 54.94507
303.7679, 52.34375
304.2500, 46.30762
304.7321, 30.39990
305.2143, 21.38428
305.6964, 25.11011
306.1785, 34.03223
306.6606, 41.64648
307.1427, 45.47388
307.6248, 47.85693
308.1070, 52.34570
308.5891, 60.16455
309.0712, 65.41187
309.5533, 69.03906
310.0354, 68.56885
310.5175, 58.98950
310.9997, 41.89868
311.4818, 27.40234
311.9639, 24.80200
312.4460, 32.94189
312.9281, 42.68604
313.4102, 59.07861
313.8924, 67.88501
314.3745, 58.05493
314.8566, 35.53882
315.3387, 13.58398
315.8208, 6.913818
316.3029, 20.62769
316.7851, 12.09399
317.2672, 24.06030
317.7493, 50.71240
318.2314, 37.36816
318.7135, 5.257324
319.1956, 8.525879
319.6778, 10.08276
320.1599, 31.46338
320.6420, 28.78784
321.1241, 8.082764
321.6062, 0.6499020
322.0883, 23.19019
322.5705, 55.77661
323.0526, 59.83081
323.5347, 28.30859
324.0168, 4.643066
324.4989, 9.675537
324.9810, 26.43408
325.4632, 29.26758
325.9453, 13.07837
326.4274, 2.821045
326.9095, 4.391113
327.3916, 41.17896
327.8737, 64.77930
328.3559, 69.11475
328.8380, 65.80615
329.3201, 57.11304
329.8022, 45.96313
330.2843, 39.61255
330.7664, 43.90894
331.2486, 56.56470
331.7307, 62.61816
332.2128, 58.72534
332.6949, 53.14624
333.1770, 46.35962
333.6591, 39.04614
334.1413, 31.01294
334.6234, 21.62769
335.1055, 13.29419
335.5876, 11.45020
336.0698, 20.89185
336.5519, 28.09790
337.0340, 32.99243
337.5161, 34.82080
337.9982, 30.80469
338.4803, 22.01221
338.9625, 14.42920
339.4446, 13.27979
339.9267, 18.55811
340.4088, 29.37817
340.8909, 56.52661
