##NAMES=Coronadite
##RRUFFID=R070320
##IDEAL CHEMISTRY=Pb^2+^(Mn^4+^_6_Mn^3+^_2_)O_16_
##LOCALITY=Broken Hill, New South Wales, Australia
##OWNER=RRUFF
##SOURCE=James Shigley
##DESCRIPTION=Dark gray fine-grained aggregate, some thin acicular crystals lining cracks in the rock
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R070320
182.7303, 0.0000000E+00
183.2124, 9.160889
183.6946, 0.2712400
184.1767, 0.7463380
184.6588, 21.06445
185.1409, 37.43921
185.6230, 42.71802
186.1051, 41.56714
186.5873, 39.18286
187.0694, 37.85278
187.5515, 36.94263
188.0336, 34.43896
188.5157, 27.38843
188.9978, 24.07251
189.4800, 30.13184
189.9621, 38.69653
190.4442, 42.47021
190.9263, 37.34399
191.4084, 26.78320
191.8905, 18.53784
192.3727, 10.87720
192.8548, 9.360107
193.3369, 18.35596
193.8190, 31.17383
194.3011, 42.32568
194.7832, 49.69067
195.2654, 52.98901
195.7475, 50.41797
196.2296, 35.36279
196.7117, 27.14136
197.1938, 36.07153
197.6759, 51.11084
198.1581, 55.49902
198.6402, 51.42139
199.1223, 43.41626
199.6044, 40.06982
200.0865, 44.21753
200.5686, 47.55811
201.0508, 48.92310
201.5329, 49.62256
202.0150, 51.36646
202.4971, 54.41431
202.9792, 56.51074
203.4613, 53.36499
203.9435, 41.23999
204.4256, 32.29858
204.9077, 29.54541
205.3898, 27.93799
205.8719, 22.31958
206.3540, 12.45654
206.8362, 4.083740
207.3183, 6.678223
207.8004, 27.61157
208.2825, 40.50293
208.7646, 43.37891
209.2467, 40.79712
209.7289, 33.58960
210.2110, 22.77002
210.6931, 10.51660
211.1752, 1.861084
211.6573, 16.76587
212.1395, 22.26758
212.6216, 10.38892
213.1037, 3.369141
213.5858, 11.23120
214.0679, 13.40479
214.5500, 15.12915
215.0322, 22.37061
215.5143, 36.79932
215.9964, 45.31665
216.4785, 45.49976
216.9606, 42.17896
217.4427, 33.72119
217.9249, 22.69556
218.4070, 14.89062
218.8891, 15.66772
219.3712, 25.29004
219.8533, 33.84595
220.3354, 43.91138
220.8176, 50.20361
221.2997, 47.09131
221.7818, 39.04663
222.2639, 35.67920
222.7460, 45.18701
223.2281, 65.47339
223.7103, 72.91431
224.1924, 51.62427
224.6745, 34.07935
225.1566, 28.38086
225.6387, 30.35107
226.1208, 33.12500
226.6030, 32.61963
227.0851, 30.25781
227.5672, 32.35327
228.0493, 45.76807
228.5314, 54.27344
229.0135, 52.23291
229.4957, 45.21289
229.9778, 39.79175
230.4599, 38.99097
230.9420, 40.47900
231.4241, 38.03369
231.9062, 27.25049
232.3884, 20.24072
232.8705, 20.95508
233.3526, 24.21118
233.8347, 25.21094
234.3168, 22.42871
234.7989, 18.32324
235.2811, 17.59619
235.7632, 22.86353
236.2453, 25.21191
236.7274, 17.72778
237.2095, 11.65723
237.6916, 18.18604
238.1738, 37.82349
238.6559, 57.71606
239.1380, 59.22339
239.6201, 34.65259
240.1022, 20.33228
240.5843, 26.71362
241.0665, 35.87305
241.5486, 39.02490
242.0307, 36.33740
242.5128, 33.36865
242.9949, 36.00220
243.4770, 44.85767
243.9592, 51.99414
244.4413, 58.52344
244.9234, 61.99634
245.4055, 60.47046
245.8876, 54.99585
246.3697, 48.18311
246.8519, 41.51489
247.3340, 35.02490
247.8161, 28.73950
248.2982, 17.30444
248.7803, 14.03882
249.2624, 32.19287
249.7446, 59.32642
250.2267, 74.00806
250.7088, 61.30957
251.1909, 32.65625
251.6730, 22.44824
252.1551, 38.75635
252.6373, 55.75366
253.1194, 69.53833
253.6015, 78.39062
254.0836, 78.53125
254.5657, 67.17847
255.0478, 52.12744
255.5300, 47.39648
256.0121, 56.88208
256.4942, 61.98145
256.9763, 49.12329
257.4584, 34.60034
257.9406, 32.16333
258.4227, 45.04346
258.9048, 60.58374
259.3869, 64.95850
259.8690, 57.64941
260.3511, 51.10767
260.8333, 47.42407
261.3154, 45.47485
261.7975, 44.08179
262.2796, 43.29736
262.7617, 44.28516
263.2438, 48.01245
263.7260, 54.30225
264.2081, 62.68408
264.6902, 75.47070
265.1723, 86.57715
265.6544, 92.94189
266.1365, 94.66943
266.6187, 91.68994
267.1008, 75.58276
267.5829, 55.25830
268.0650, 53.78784
268.5471, 77.47021
269.0292, 101.0291
269.5114, 102.7651
269.9935, 92.46777
270.4756, 86.63867
270.9577, 92.62085
271.4398, 101.1648
271.9219, 101.2659
272.4041, 92.65723
272.8862, 84.64331
273.3683, 81.92773
273.8504, 82.78149
274.3325, 83.72754
274.8146, 85.38623
275.2968, 85.72290
275.7789, 83.10815
276.2610, 77.95166
276.7431, 71.11133
277.2252, 61.06421
277.7073, 52.06201
278.1895, 51.84839
278.6716, 61.59033
279.1537, 71.91455
279.6358, 81.46875
280.1179, 88.96191
280.6000, 90.78271
281.0822, 85.37085
281.5643, 78.94556
282.0464, 81.07642
282.5285, 93.08081
283.0106, 97.96240
283.4927, 85.40454
283.9749, 69.63257
284.4570, 64.04858
284.9391, 69.39795
285.4212, 78.06787
285.9033, 84.19360
286.3854, 87.72607
286.8676, 91.26782
287.3497, 98.29590
287.8318, 102.0215
288.3139, 96.73755
288.7960, 85.22534
289.2781, 75.03320
289.7603, 70.47217
290.2424, 70.16162
290.7245, 68.44995
291.2066, 60.55396
291.6887, 57.19678
292.1708, 67.99805
292.6530, 81.37695
293.1351, 79.55640
293.6172, 56.66919
294.0993, 26.71899
294.5814, 15.17896
295.0635, 36.73926
295.5457, 49.61426
296.0278, 48.18506
296.5099, 42.77539
296.9920, 39.73608
297.4741, 40.20557
297.9562, 42.60254
298.4384, 45.36475
298.9205, 48.45508
299.4026, 52.28052
299.8847, 64.89404
300.3668, 70.24976
300.8489, 56.23462
301.3311, 30.57471
301.8131, 9.506836
302.2953, 3.838135
302.7774, 11.19019
303.2595, 19.71533
303.7416, 30.73657
304.2237, 40.97144
304.7058, 48.16968
305.1880, 54.99048
305.6701, 67.36719
306.1522, 87.95483
306.6343, 105.5603
307.1164, 98.23022
307.5985, 57.63379
308.0807, 23.25171
308.5628, 0.9494630
309.0449, 14.32300
309.5270, 11.68384
310.0091, 5.958252
310.4912, 26.81665
310.9734, 41.58984
311.4555, 50.68530
311.9376, 58.72437
312.4197, 68.96313
312.9018, 73.30054
313.3839, 63.26221
313.8661, 43.80347
314.3482, 27.94312
314.8303, 22.64600
315.3124, 24.03101
315.7945, 26.19165
316.2766, 29.44067
316.7588, 31.43286
317.2409, 27.86206
317.7230, 23.32788
318.2051, 26.47412
318.6872, 43.50488
319.1693, 59.17310
319.6515, 59.43457
320.1336, 47.64380
320.6157, 39.65137
321.0978, 42.63867
321.5799, 48.83911
322.0620, 44.92065
322.5442, 29.80542
323.0263, 14.94775
323.5084, 1.026855
323.9905, 13.06030
324.4726, 10.98779
324.9547, 6.795166
325.4369, 24.70459
325.9190, 26.07715
326.4011, 8.737549
326.8832, 2.872803
327.3653, 20.42139
327.8474, 38.02173
328.3296, 41.21729
328.8117, 33.14624
329.2938, 25.18994
329.7759, 24.14697
330.2580, 28.08789
330.7401, 28.30273
331.2223, 17.89136
331.7044, 12.32690
332.1865, 17.79663
332.6686, 26.78027
333.1507, 31.29932
333.6328, 28.91211
334.1150, 22.38965
334.5971, 14.76709
335.0792, 2.515869
335.5613, 0.6791990
336.0434, 16.96509
336.5255, 32.19727
337.0077, 29.75732
337.4898, 13.26440
337.9719, 2.394531
338.4540, 4.490479
338.9361, 4.976074
339.4182, 7.499512
339.9004, 3.119873
340.3825, 11.64380
340.8646, 14.06860
341.3467, 11.97998
341.8288, 6.993896
342.3109, 0.5727540
342.7931, 9.488770
343.2752, 18.88403
343.7573, 29.23657
344.2394, 35.81445
344.7215, 35.01929
345.2036, 31.87598
345.6858, 30.07544
346.1679, 29.82764
346.6500, 30.27881
347.1321, 32.44922
347.6142, 34.89697
348.0963, 32.46313
348.5785, 22.85425
349.0606, 13.91406
349.5427, 12.41040
350.0248, 16.61865
350.5069, 21.96509
350.9890, 31.89844
351.4712, 39.35083
351.9533, 35.57422
352.4354, 23.05322
352.9175, 14.69946
353.3996, 17.38989
353.8817, 26.16992
354.3639, 28.12402
354.8460, 17.24268
355.3281, 13.89941
355.8102, 30.08789
356.2923, 52.80200
356.7744, 67.95972
357.2566, 72.30103
357.7387, 67.13232
358.2208, 52.13623
358.7029, 23.54028
359.1850, 6.715820
359.6671, 3.999512
360.1493, 8.733643
360.6314, 24.03760
361.1135, 44.23706
361.5956, 58.83179
362.0777, 61.60864
362.5598, 54.50342
363.0420, 43.69897
363.5241, 21.91479
364.0062, 11.41821
364.4883, 18.46533
364.9704, 31.36182
365.4525, 43.49707
365.9347, 53.81348
366.4168, 60.30444
366.8989, 58.81689
367.3810, 49.30591
367.8631, 41.96631
368.3452, 36.90430
368.8274, 33.83276
369.3095, 33.20532
369.7916, 34.25537
370.2737, 34.98779
370.7558, 32.97729
371.2379, 31.50610
371.7201, 37.48242
372.2022, 51.91772
372.6843, 65.65698
373.1664, 77.81616
373.6485, 83.28516
374.1306, 74.27441
374.6128, 45.05713
375.0949, 21.76831
375.5770, 22.77686
376.0591, 38.58789
376.5412, 50.95654
377.0233, 56.02026
377.5055, 57.77563
377.9876, 61.18555
378.4697, 66.71289
378.9518, 68.97192
379.4339, 67.94116
379.9160, 63.02100
380.3982, 49.78003
380.8803, 31.87793
381.3624, 18.88696
381.8445, 15.64722
382.3266, 20.71484
382.8087, 28.78125
383.2909, 50.78174
383.7730, 59.79712
384.2551, 41.22168
384.7372, 18.76465
385.2193, 13.42896
385.7014, 27.35327
386.1836, 47.08374
386.6657, 57.91772
387.1478, 58.76221
387.6299, 60.50073
388.1120, 65.22412
388.5941, 68.95361
389.0763, 71.30640
389.5584, 69.89282
390.0405, 63.02173
390.5226, 47.91797
391.0047, 32.57983
391.4868, 31.84229
391.9690, 47.58423
392.4511, 59.86450
392.9332, 60.90063
393.4153, 58.67651
393.8974, 60.60181
394.3795, 66.72778
394.8617, 74.28320
395.3438, 88.28955
395.8259, 100.6428
396.3080, 93.80566
396.7901, 65.37842
397.2722, 37.53467
397.7544, 26.05078
398.2365, 28.25513
398.7186, 27.98853
399.2007, 22.83081
399.6828, 17.88379
400.1649, 12.48071
400.6471, 8.856445
401.1292, 12.43237
401.6113, 25.06689
402.0934, 41.02295
402.5755, 52.22168
403.0576, 58.04590
403.5398, 60.19043
404.0219, 55.64014
404.5040, 50.76123
404.9861, 49.21289
405.4682, 50.11206
405.9503, 50.30640
406.4325, 47.50293
406.9146, 43.19629
407.3967, 43.95801
407.8788, 56.35547
408.3609, 60.01245
408.8430, 43.87524
409.3252, 22.92017
409.8073, 7.434814
410.2894, 0.6333010
410.7715, 2.977783
411.2536, 1.406738
411.7357, 11.01953
412.2179, 17.22021
412.7000, 17.32129
413.1821, 19.11841
413.6642, 33.12549
414.1463, 52.36133
414.6284, 61.79053
415.1106, 53.03857
415.5927, 40.66235
416.0748, 33.98877
416.5569, 32.21802
417.0390, 32.64258
417.5211, 34.06299
418.0033, 38.76367
418.4854, 53.13159
418.9675, 85.88281
419.4496, 96.14868
419.9317, 64.12012
420.4138, 24.14722
420.8960, 7.447266
421.3781, 27.04395
421.8602, 30.18481
422.3423, 12.26978
422.8244, 20.56982
423.3065, 41.82715
423.7887, 47.12598
424.2708, 46.78271
424.7529, 37.28223
425.2350, 26.25659
425.7171, 20.14917
426.1992, 19.66968
426.6814, 20.80518
427.1635, 20.45801
427.6456, 18.59448
428.1277, 14.44629
428.6098, 6.486084
429.0919, 0.8090820
429.5741, 8.432129
430.0562, 13.16870
430.5383, 8.435059
431.0204, 11.13306
431.5025, 32.18750
431.9846, 46.41870
432.4668, 53.42261
432.9489, 49.12451
433.4310, 29.61768
433.9131, 8.410645
434.3952, 2.953613
434.8773, 15.32178
435.3595, 22.16675
435.8416, 12.36841
436.3237, 5.649658
436.8058, 20.64307
437.2879, 48.81885
437.7701, 66.26733
438.2522, 60.01855
438.7343, 40.38550
439.2164, 34.26904
439.6985, 55.29736
440.1806, 65.51489
440.6628, 56.56250
441.1449, 44.26929
441.6270, 40.22168
442.1091, 43.05444
442.5912, 42.29053
443.0733, 26.35449
443.5555, 2.147461
444.0376, 0.7539060
444.5197, 34.28760
445.0018, 56.57227
445.4839, 33.27686
445.9660, 1.362549
446.4482, 11.85645
446.9303, 8.797852
447.4124, 32.40308
447.8945, 40.72852
448.3766, 40.00098
448.8587, 45.05786
449.3409, 58.58716
449.8230, 67.05054
450.3051, 56.03906
450.7872, 28.90405
451.2693, 19.15942
451.7514, 42.94824
452.2336, 63.92163
452.7157, 69.12939
453.1978, 64.73120
453.6799, 59.21802
454.1620, 55.12231
454.6441, 49.66040
455.1263, 37.60767
455.6084, 15.59155
456.0905, 6.235840
456.5726, 24.01587
457.0547, 40.01489
457.5368, 41.41309
458.0190, 36.46460
458.5011, 41.57788
458.9832, 66.06958
459.4653, 91.88232
459.9474, 88.33618
460.4295, 54.86743
460.9117, 31.71655
461.3938, 29.10083
461.8759, 35.65747
462.3580, 43.99902
462.8401, 53.33594
463.3222, 59.02637
463.8044, 57.57642
464.2865, 53.74048
464.7686, 49.78979
465.2507, 46.70044
465.7328, 49.59839
466.2149, 62.21558
466.6971, 76.49634
467.1792, 75.60303
467.6613, 44.92676
468.1434, 29.85889
468.6255, 42.28687
469.1076, 59.56421
469.5898, 69.93237
470.0719, 73.23755
470.5540, 74.71362
471.0361, 77.59180
471.5182, 79.34253
472.0003, 75.85645
472.4825, 66.02368
472.9646, 56.44531
473.4467, 40.86597
473.9288, 31.79492
474.4109, 44.13770
474.8930, 75.36157
475.3752, 99.85474
475.8573, 97.34399
476.3394, 81.30396
476.8215, 77.45703
477.3036, 86.15625
477.7857, 88.03540
478.2679, 69.68677
478.7500, 41.80933
479.2321, 32.07495
479.7142, 46.60034
480.1963, 61.80298
480.6784, 80.17090
481.1606, 91.59814
481.6427, 81.28101
482.1248, 53.13696
482.6069, 29.65771
483.0890, 28.41089
483.5711, 44.90112
484.0533, 55.67480
484.5354, 51.28613
485.0175, 57.19507
485.4996, 92.54004
485.9817, 127.4250
486.4638, 134.3279
486.9460, 112.3618
487.4281, 85.44336
