##NAMES=Erlichmanite
##RRUFFID=R070095
##IDEAL CHEMISTRY=Os^2+^(S_2_)^2-^
##LOCALITY=placer from Philipp Massif, Kamchatka, Russia
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Silver bleb in black isoferroplatinum nugget, polished and embedded in epoxy
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R070095
195.5505, 0.0000000E+00
196.0326, 26.04236
196.5148, 0.2080080
196.9969, 24.52271
197.4790, 69.32898
197.9611, 90.14307
198.4432, 89.89429
198.9253, 78.63989
199.4075, 65.62720
199.8896, 77.36560
200.3717, 79.35242
200.8538, 51.30762
201.3359, 11.94409
201.8180, 1.211792
202.3002, 22.86438
202.7823, 60.76099
203.2644, 81.61145
203.7465, 81.38177
204.2286, 72.61938
204.7107, 43.29108
205.1928, 12.84656
205.6750, 1.837769
206.1571, 2.222717
206.6392, 17.35663
207.1213, 36.54279
207.6034, 57.19830
208.0855, 67.52527
208.5677, 57.42804
209.0498, 45.14038
209.5319, 43.70789
210.0140, 55.02777
210.4961, 73.31787
210.9782, 94.45099
211.4604, 121.9241
211.9425, 137.2492
212.4246, 131.8367
212.9067, 123.5601
213.3888, 123.0159
213.8709, 130.6545
214.3531, 141.5336
214.8352, 152.8784
215.3173, 165.9038
215.7994, 173.4379
216.2815, 185.8314
216.7636, 187.8896
217.2458, 155.4145
217.7279, 102.4373
218.2100, 61.73956
218.6921, 61.28784
219.1742, 104.6035
219.6563, 135.0824
220.1385, 146.7054
220.6206, 147.7631
221.1027, 140.5692
221.5848, 131.9525
222.0669, 128.5957
222.5490, 140.0473
223.0312, 171.2638
223.5133, 191.5607
223.9954, 192.4011
224.4775, 191.0546
224.9596, 193.3986
225.4417, 196.0995
225.9238, 192.1853
226.4060, 175.8598
226.8881, 150.5601
227.3702, 137.3636
227.8523, 148.1092
228.3344, 153.9609
228.8165, 149.0654
229.2987, 136.6803
229.7808, 119.6393
230.2629, 99.77417
230.7450, 79.26877
231.2271, 64.07608
231.7092, 54.49411
232.1914, 49.14352
232.6735, 51.26514
233.1556, 56.28748
233.6377, 58.95139
234.1198, 57.94696
234.6019, 54.28589
235.0841, 49.90070
235.5662, 46.77399
236.0483, 39.62552
236.5304, 20.17264
237.0125, 1.365570
237.4946, 1.959137
237.9768, 13.49329
238.4589, 35.85825
238.9410, 44.31348
239.4231, 26.21909
239.9052, 16.71078
240.3873, 16.80698
240.8695, 23.91116
241.3516, 43.32025
241.8337, 72.63947
242.3158, 95.05841
242.7979, 86.56580
243.2800, 31.30264
243.7622, 4.814941
244.2443, 16.51086
244.7264, 17.56580
245.2085, 11.03690
245.6906, 0.4791560
246.1727, 11.93979
246.6548, 18.10803
247.1370, 18.12653
247.6191, 19.24219
248.1012, 29.53793
248.5833, 33.28391
249.0654, 18.74191
249.5475, 7.666351
250.0297, 30.00320
250.5118, 36.68835
250.9939, 28.06152
251.4760, 14.20636
251.9581, 15.65256
252.4402, 38.21179
252.9224, 42.91205
253.4045, 41.06564
253.8866, 40.03925
254.3687, 47.17438
254.8508, 60.42203
255.3329, 69.87720
255.8151, 71.17938
256.2972, 75.94601
256.7793, 95.10190
257.2614, 115.8370
257.7435, 120.8198
258.2256, 100.7288
258.7078, 70.49573
259.1899, 60.27213
259.6720, 76.55032
260.1541, 96.60550
260.6362, 123.0871
261.1183, 145.7941
261.6005, 153.0030
262.0826, 141.3914
262.5647, 125.6345
263.0468, 126.7301
263.5289, 148.2110
264.0110, 160.7829
264.4932, 153.7939
264.9753, 138.7892
265.4574, 118.8998
265.9395, 95.34659
266.4216, 78.11331
266.9037, 80.68991
267.3859, 100.7695
267.8680, 111.5816
268.3501, 105.4002
268.8322, 94.41751
269.3143, 84.73590
269.7964, 77.25430
270.2786, 76.96741
270.7607, 94.23849
271.2428, 120.8102
271.7249, 132.3100
272.2070, 122.7282
272.6891, 108.8573
273.1713, 100.9218
273.6534, 97.99826
274.1355, 98.96246
274.6176, 107.0460
275.0997, 117.0206
275.5818, 122.5416
276.0640, 123.5849
276.5461, 120.3167
277.0282, 109.1792
277.5103, 94.41003
277.9924, 86.58957
278.4745, 88.51886
278.9566, 95.49646
279.4388, 107.1128
279.9209, 122.1525
280.4030, 133.4068
280.8851, 137.9652
281.3672, 136.2392
281.8493, 128.7929
282.3315, 109.7112
282.8136, 96.89854
283.2957, 103.9930
283.7778, 121.4743
284.2599, 129.6911
284.7420, 121.1862
285.2242, 105.7641
285.7063, 100.4185
286.1884, 110.0665
286.6705, 113.6266
287.1526, 100.4767
287.6347, 83.81612
288.1169, 78.43274
288.5990, 86.63968
289.0811, 99.70319
289.5632, 109.1514
290.0453, 115.0407
290.5274, 115.0060
291.0096, 96.95227
291.4917, 83.72577
291.9738, 94.89325
292.4559, 125.0793
292.9380, 151.7812
293.4201, 157.4362
293.9023, 142.6271
294.3844, 127.9689
294.8665, 110.3467
295.3486, 95.83295
295.8307, 85.82193
296.3128, 80.65134
296.7950, 81.75714
297.2771, 90.10088
297.7592, 102.9453
298.2413, 111.8823
298.7234, 117.8192
299.2055, 118.0340
299.6877, 105.0050
300.1698, 91.29042
300.6519, 88.25366
301.1340, 97.44232
301.6161, 111.5827
302.0982, 121.7191
302.5804, 130.3084
303.0625, 129.8620
303.5446, 105.6906
304.0267, 84.08803
304.5088, 83.22546
304.9909, 100.5240
305.4731, 116.6864
305.9552, 109.8544
306.4373, 81.27774
306.9194, 69.09515
307.4015, 84.78474
307.8836, 99.60684
308.3658, 98.13254
308.8479, 87.51456
309.3300, 82.14468
309.8121, 95.20822
310.2942, 113.8069
310.7763, 108.3625
311.2585, 69.99582
311.7406, 40.86514
312.2227, 52.76254
312.7048, 82.37994
313.1869, 101.5611
313.6690, 103.7261
314.1512, 97.25360
314.6333, 85.81113
315.1154, 70.45506
315.5975, 59.90184
316.0796, 58.94037
316.5617, 61.76782
317.0439, 57.90753
317.5260, 44.97945
318.0081, 38.92207
318.4902, 53.59152
318.9723, 77.18686
319.4544, 89.48373
319.9365, 85.93179
320.4186, 74.02994
320.9008, 58.60081
321.3829, 38.55354
321.8650, 30.25551
322.3471, 45.89528
322.8292, 64.49951
323.3113, 69.76230
323.7935, 62.93976
324.2756, 55.82159
324.7577, 57.52632
325.2398, 67.14630
325.7219, 70.00868
326.2040, 59.29185
326.6862, 51.35612
327.1683, 50.37895
327.6504, 55.52707
328.1325, 69.32796
328.6146, 92.85475
329.0967, 116.1870
329.5789, 115.2660
330.0610, 65.79778
330.5431, 32.24069
331.0252, 16.76601
331.5073, 15.11023
331.9894, 30.99298
332.4716, 61.16780
332.9537, 89.49702
333.4358, 96.74857
333.9179, 79.84262
334.4000, 66.70337
334.8821, 54.64915
335.3643, 49.61490
335.8464, 59.85870
336.3285, 78.95282
336.8106, 92.91234
337.2927, 92.96967
337.7748, 82.66867
338.2570, 70.53329
338.7391, 54.15608
339.2212, 42.73434
339.7033, 43.94795
340.1854, 49.68359
340.6675, 51.62842
341.1497, 46.96429
341.6318, 42.80432
342.1139, 49.67932
342.5960, 66.02861
343.0781, 70.25165
343.5602, 48.83046
344.0424, 24.32782
344.5245, 28.02335
345.0066, 60.77391
345.4887, 87.21684
345.9708, 90.47462
346.4529, 81.93713
346.9351, 77.06183
347.4172, 77.92276
347.8993, 79.18365
348.3814, 75.75183
348.8635, 67.61935
349.3456, 63.21799
349.8278, 64.99394
350.3099, 68.44368
350.7920, 73.96530
351.2741, 78.87572
351.7562, 76.20590
352.2383, 61.40021
352.7205, 39.65137
353.2026, 26.92233
353.6847, 22.76126
354.1668, 29.71872
354.6489, 67.61221
355.1310, 105.4634
355.6132, 111.2835
356.0953, 80.25592
356.5774, 35.40863
357.0595, 2.505127
357.5416, 19.55788
358.0237, 24.30777
358.5059, 10.86606
358.9880, 42.81232
359.4701, 53.75085
359.9522, 48.63800
360.4343, 41.69595
