##NAMES=Gadolinite-(Y)
##RRUFFID=R080129
##IDEAL CHEMISTRY=Fe^2+^Be_2_Y^3+^_2_(SiO_4_)_2_O_2_
##LOCALITY=Ytterøya mine, Røvika, Ytterøya (island), Levanger, Nord-Trøndelag, Norway
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Reddish-brown fragment from metamict sample R070340, after heating at T = 1000 C for 23 hours
##STATUS=The identification of this mineral has been confirmed only by X-ray diffraction
##URL=rruff.info/R080129
148.2624, 0.0000000E+00
148.7445, 0.3997190
149.2267, 0.1320190
149.7088, 0.2549440
150.1909, 1.776062
150.6730, 3.605469
151.1551, 5.363770
151.6372, 6.946777
152.1194, 8.330322
152.6015, 9.493164
153.0836, 10.20239
153.5657, 11.24579
154.0478, 12.82117
154.5299, 14.60950
155.0121, 16.25427
155.4942, 17.64667
155.9763, 18.99915
156.4584, 20.75061
156.9405, 22.98450
157.4226, 24.83716
157.9048, 25.85333
158.3869, 26.30951
158.8690, 26.81555
159.3511, 27.52759
159.8332, 28.37451
160.3153, 29.36340
160.7975, 30.51068
161.2796, 31.45721
161.7617, 31.94159
162.2438, 32.00488
162.7259, 31.90137
163.2081, 31.34912
163.6902, 30.95703
164.1723, 31.38074
164.6544, 32.68842
165.1365, 33.93365
165.6186, 34.02643
166.1008, 32.90924
166.5829, 31.90582
167.0650, 31.34601
167.5471, 30.74402
168.0292, 29.65198
168.5113, 28.15814
168.9935, 26.65778
169.4756, 25.71436
169.9577, 25.82092
170.4398, 25.42987
170.9219, 24.13306
171.4040, 22.56152
171.8862, 21.24042
172.3683, 20.36169
172.8504, 19.73993
173.3325, 18.94513
173.8146, 17.71460
174.2967, 16.60095
174.7789, 15.72809
175.2610, 14.97150
175.7431, 14.18378
176.2252, 13.29633
176.7073, 12.31500
177.1894, 11.26294
177.6716, 9.987854
178.1537, 8.812683
178.6358, 7.830505
179.1179, 6.985657
179.6000, 6.185791
180.0821, 5.382141
180.5643, 4.595886
