##NAMES=Mackinawite
##RRUFFID=R070302
##IDEAL CHEMISTRY=(Fe,Ni)_1-1.07_S
##LOCALITY=Wannaway Prospect, near Kalgoorlie, Western Australia, Australia
##OWNER=RRUFF
##SOURCE=James Shigley
##DESCRIPTION=Bronze metallic massive, drill core
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R070302
166.3384, 0.0000000E+00
166.8205, 0.5670470
167.3026, 1.655487
167.7847, 4.372986
168.2668, 8.326263
168.7490, 8.010284
169.2311, 3.506226
169.7132, 0.4472660
170.1953, 2.640625
170.6774, 8.297363
171.1595, 11.46078
171.6417, 10.24274
172.1238, 7.214661
172.6059, 4.995941
173.0880, 4.535187
173.5701, 4.452698
174.0522, 4.842468
174.5344, 2.391281
175.0165, 0.9641270
175.4986, 2.565430
175.9807, 5.942978
176.4628, 6.812042
176.9449, 4.018463
177.4271, 1.560944
177.9092, 1.244659
178.3913, 2.538025
178.8734, 4.163971
179.3555, 5.910431
179.8376, 7.518692
180.3198, 6.852692
180.8019, 1.941437
181.2840, 1.520172
181.7661, 0.7321470
182.2482, 2.289001
182.7303, 5.087097
183.2125, 6.380600
183.6946, 6.364929
184.1767, 5.660065
184.6588, 3.302139
185.1409, 2.488190
185.6230, 3.992813
186.1052, 7.319687
186.5873, 12.12331
187.0694, 18.68463
187.5515, 25.85878
188.0336, 30.65599
188.5157, 33.84831
188.9979, 34.50012
189.4800, 29.33704
189.9621, 21.74281
190.4442, 16.20427
190.9263, 14.83986
191.4084, 16.01718
191.8906, 15.29341
192.3727, 10.50117
192.8548, 8.107132
193.3369, 9.214325
193.8190, 11.75424
194.3011, 15.29962
194.7833, 19.86964
195.2654, 24.71083
195.7475, 26.58363
196.2296, 24.96826
196.7117, 23.68771
197.1938, 20.72366
197.6760, 16.39337
198.1581, 13.31013
198.6402, 12.25066
199.1223, 12.40103
199.6044, 12.56326
200.0865, 13.12024
200.5687, 14.26782
201.0508, 16.75374
201.5329, 19.20003
202.0150, 20.53247
202.4971, 20.46576
202.9792, 19.64636
203.4614, 19.41281
