##NAMES=Ondrusite
##RRUFFID=R141029
##IDEAL CHEMISTRY=CaCu^2+^_4_(As^5+^O_4_)_2_(As^5+^O_3_OH)_2_&#183;10H_2_O
##LOCALITY=Svornost mine, Jáchymov, Krušné Hory Mts, Karlovy Vary, Bohemia, Czech Republic
##OWNER=RRUFF
##SOURCE=William W. Pinch
##DESCRIPTION=Pale green thin bladed crystals with striations parallel to the elongated direction, associated with quartz
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R141029
93.36774, 0.0000000E+00
93.84985, 2.213501
94.33197, 1.948303
94.81409, 2.452057
95.29620, 2.644699
95.77832, 2.137894
96.26044, 1.181183
96.74255, 0.3622280
97.22467, 0.6668700
97.70679, 1.174606
98.18890, 1.557495
98.67102, 1.884720
99.15314, 1.922363
99.63525, 1.582901
100.1174, 0.8785400
100.5995, 4.2358000E-02
101.0816, 0.2393340
101.5637, 0.8185730
102.0458, 1.535660
102.5280, 1.388794
103.0101, 0.7720490
103.4922, 0.1899720
103.9743, 5.8029000E-02
104.4564, 1.0147000E-02
104.9385, 0.2248840
105.4207, 0.5076600
105.9028, 0.8422550
106.3849, 1.424026
106.8670, 2.199646
107.3491, 2.768463
107.8312, 2.676880
108.3134, 1.949707
108.7955, 1.304611
109.2776, 0.8285370
109.7597, 0.5519260
110.2418, 0.4941410
110.7239, 0.7118840
111.2061, 0.9543000
111.6882, 1.009857
112.1703, 0.8111270
112.6524, 0.6149600
113.1345, 0.5607600
113.6166, 0.5580440
114.0988, 0.6186220
114.5809, 0.8827670
115.0630, 1.150436
115.5451, 1.439133
116.0272, 1.291107
116.5093, 1.131958
116.9915, 1.350845
117.4736, 2.227615
117.9557, 2.646393
118.4378, 2.470993
118.9199, 2.322708
119.4020, 1.991592
119.8842, 1.829056
120.3663, 1.880661
120.8484, 1.958862
121.3305, 2.550858
121.8126, 3.095490
122.2947, 3.423798
122.7769, 3.699432
123.2590, 3.980759
123.7411, 4.326996
124.2232, 4.666031
124.7053, 4.601318
125.1874, 3.867996
125.6696, 3.168884
126.1517, 2.678986
126.6338, 2.425644
127.1159, 2.378036
127.5980, 2.654892
128.0801, 3.090454
128.5623, 3.146774
129.0444, 2.371780
129.5265, 1.535965
130.0086, 1.581512
130.4907, 2.698029
130.9728, 3.599686
131.4550, 3.126434
131.9371, 1.968277
132.4192, 1.023682
132.9013, 0.7088010
133.3834, 0.8557740
133.8655, 0.9875640
134.3477, 1.133255
134.8298, 1.219986
135.3119, 1.282181
135.7940, 1.300171
136.2761, 1.166824
136.7582, 0.6835020
137.2404, 0.1683810
137.7225, 0.4058840
138.2046, 0.9028630
138.6867, 2.001480
139.1688, 2.245728
139.6509, 1.743164
140.1331, 0.9691470
140.6152, 0.3928830
141.0973, 1.9028001E-02
141.5794, 5.5633999E-02
142.0615, 0.5189060
142.5436, 1.061661
143.0258, 1.020264
143.5079, 0.3436280
143.9900, 0.4336400
144.4721, 0.5573430
144.9542, 0.3913730
145.4363, 0.9156950
145.9185, 0.6031040
146.4006, 2.8717000E-02
146.8827, 0.3346250
147.3648, 9.5000997E-02
147.8469, 0.3148040
148.3290, 0.1889800
148.8112, 0.5373380
149.2933, 1.071945
149.7754, 0.9841770
150.2575, 0.4617160
150.7396, 6.6253997E-02
151.2217, 0.1928710
151.7039, 0.3005980
152.1860, 0.5126800
152.6681, 0.8444060
153.1502, 1.162766
153.6323, 1.343887
154.1144, 1.381989
154.5966, 1.458481
155.0787, 1.849701
155.5608, 2.162308
156.0429, 2.003296
156.5250, 1.274643
157.0071, 0.4436040
157.4893, 0.2347110
157.9714, 0.9605560
158.4535, 1.459732
158.9356, 1.381256
159.4177, 1.137375
159.8998, 0.9638060
160.3820, 0.9554140
160.8641, 1.064377
161.3462, 1.187073
161.8283, 1.314636
162.3104, 1.483643
162.7925, 1.782730
163.2747, 2.091049
163.7568, 2.291016
164.2389, 2.326370
164.7210, 2.206009
165.2031, 1.961105
165.6852, 1.245483
166.1674, 0.7884670
166.6495, 0.8457790
167.1316, 1.232239
167.6137, 1.637970
168.0958, 1.893341
168.5779, 2.023041
169.0601, 2.165802
169.5422, 2.386871
170.0243, 2.548904
170.5064, 2.610123
170.9885, 2.570465
171.4706, 2.409943
171.9528, 2.046539
172.4349, 1.570816
172.9170, 1.335739
173.3991, 1.540283
173.8812, 1.817612
174.3633, 1.796021
174.8455, 1.466690
175.3276, 1.333847
175.8097, 1.980225
176.2918, 2.976837
176.7739, 3.548447
177.2560, 3.345901
177.7382, 2.783173
178.2203, 2.415955
178.7024, 2.279877
179.1845, 2.238785
179.6666, 2.349045
180.1487, 2.479462
180.6309, 2.432648
181.1130, 2.046661
181.5951, 1.476425
182.0772, 1.121536
182.5593, 0.9786680
183.0414, 1.094925
183.5236, 1.710205
184.0057, 2.504074
184.4878, 2.990921
184.9699, 2.810776
185.4520, 2.106384
185.9341, 1.798218
186.4163, 2.348206
186.8984, 2.798416
187.3805, 2.904861
187.8626, 2.763168
188.3447, 2.527008
188.8268, 2.265213
