##NAMES=Opal
##RRUFFID=X080017
##IDEAL CHEMISTRY=SiO_2_&#183;<i>n</i>H_2_O
##LOCALITY=Synthetic
##OWNER=GIA
##SOURCE=Gemological Institute of America
##DESCRIPTION=Polished Gilson cabachon, 1.58 ct
##STATUS=The identification of this mineral has been determined only by Raman spectroscopy
##URL=rruff.info/X080017
116.4427, 0.0000000E+00
116.9248, 3.562012
117.4069, 4.422363
117.8891, 0.8398440
118.3712, 1.6113000E-02
118.8533, 4.045410
119.3354, 8.841064
119.8175, 10.32495
120.2996, 8.839600
120.7818, 6.778564
121.2639, 5.533447
121.7460, 5.356934
122.2281, 5.549561
122.7102, 5.912842
123.1923, 6.264404
123.6745, 6.526611
124.1566, 7.678711
124.6387, 7.663574
125.1208, 6.942627
125.6029, 6.311279
126.0850, 5.270752
126.5672, 2.782471
127.0493, 0.4475100
127.5314, 8.0321997E-02
128.0135, 1.798096
128.4956, 5.038086
128.9777, 6.691162
129.4599, 5.527588
129.9420, 4.010742
130.4241, 1.713379
130.9062, 0.7216800
131.3883, 2.405518
131.8704, 2.848389
132.3526, 2.131836
132.8347, 0.8408200
133.3168, 2.199219
133.7989, 4.594727
134.2810, 4.886963
134.7632, 3.429199
135.2453, 1.986328
135.7274, 1.343018
136.2095, 1.765869
136.6916, 3.534668
137.1737, 8.259766
137.6559, 13.36719
138.1380, 15.78564
138.6201, 14.91187
139.1022, 14.15503
139.5843, 16.24268
140.0664, 19.81104
140.5486, 23.00708
141.0307, 24.85278
141.5128, 25.82153
141.9949, 27.35962
142.4770, 29.96680
142.9591, 32.41260
143.4413, 34.26831
143.9234, 35.61914
144.4055, 36.67285
144.8876, 37.72656
145.3697, 38.79199
145.8518, 38.60889
146.3340, 35.04199
146.8161, 32.05249
147.2982, 31.21069
147.7803, 32.14551
148.2624, 33.41553
148.7445, 33.46997
149.2267, 31.69189
149.7088, 31.38379
150.1909, 33.63086
150.6730, 36.11768
151.1551, 37.62036
151.6372, 37.94336
152.1194, 37.52905
152.6015, 36.75269
153.0836, 35.06323
153.5657, 34.83447
154.0478, 37.83130
154.5299, 41.44214
155.0121, 42.66553
155.4942, 40.61694
155.9763, 37.54321
156.4584, 37.16870
156.9405, 39.73486
157.4226, 41.58862
157.9048, 41.17383
158.3869, 39.37109
158.8690, 38.03516
159.3511, 37.65112
159.8332, 37.86865
160.3153, 38.30420
160.7975, 38.96729
161.2796, 39.52393
161.7617, 40.06641
162.2438, 40.51953
162.7259, 39.86914
163.2081, 36.62085
163.6902, 33.19434
164.1723, 31.56543
164.6544, 31.89282
165.1365, 32.84155
165.6186, 32.86719
166.1008, 31.67749
166.5829, 31.00293
167.0650, 32.28101
167.5471, 33.46216
168.0292, 32.56738
168.5113, 29.28174
168.9935, 25.85986
169.4756, 26.67334
169.9577, 36.12402
170.4398, 41.23218
170.9219, 39.09155
171.4040, 34.05518
171.8862, 29.22339
172.3683, 25.83081
172.8504, 23.70410
173.3325, 22.42188
173.8146, 22.68555
174.2967, 22.96313
174.7789, 23.38916
175.2610, 23.87769
175.7431, 24.33252
176.2252, 24.68799
176.7073, 25.04712
177.1894, 25.57739
177.6716, 25.92896
178.1537, 26.81689
178.6358, 29.70044
179.1179, 33.16772
179.6000, 34.07300
180.0821, 30.25366
180.5643, 23.67725
181.0464, 20.54980
181.5285, 22.49756
182.0106, 24.75610
182.4927, 24.93164
182.9748, 23.44165
183.4570, 22.09058
183.9391, 21.68311
184.4212, 22.05737
184.9033, 22.73608
185.3854, 24.09180
185.8675, 25.20557
186.3497, 24.81372
186.8318, 22.85742
187.3139, 21.63477
187.7960, 23.51221
188.2781, 26.05957
188.7602, 26.31177
189.2424, 23.01245
189.7245, 18.74512
190.2066, 16.98193
190.6887, 18.37109
191.1708, 19.93823
191.6530, 20.31860
192.1351, 20.49072
192.6172, 21.52686
193.0993, 23.96509
193.5814, 26.78467
194.0635, 27.83667
194.5457, 26.27856
195.0278, 24.52100
195.5099, 22.57227
195.9920, 20.94531
196.4741, 20.30225
196.9562, 20.97778
197.4384, 22.46289
197.9205, 23.25488
198.4026, 22.62842
198.8847, 22.26880
199.3668, 22.83301
