##NAMES=Pseudomalachite
##RRUFFID=R050597
##IDEAL CHEMISTRY=Cu^2+^_5_(P^5+^O_4_)_2_(OH)_4_
##LOCALITY=Cerro Negro mine, Carrizalillo, Chile
##OWNER=RRUFF
##SOURCE=William W. Pinch
##DESCRIPTION=Dark-green tabular crystals associated with chalcosiderite, R060007
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R050597
128.2242, 0.0000000E+00
128.7063, 5.1743001E-02
129.1884, 2.028381
129.6705, 4.349915
130.1526, 7.412704
130.6347, 10.23082
131.1169, 11.92316
131.5990, 12.20613
132.0811, 11.61359
132.5632, 11.31229
133.0453, 10.88997
133.5274, 11.11874
134.0096, 13.27381
134.4917, 15.77405
134.9738, 15.93294
135.4559, 12.32027
135.9380, 6.867516
136.4201, 5.644745
136.9023, 10.46516
137.3844, 15.32936
137.8665, 17.42908
138.3486, 17.48708
138.8307, 20.18208
139.3128, 22.25456
139.7950, 24.72588
140.2771, 24.87646
140.7592, 20.17406
141.2413, 14.06700
141.7234, 9.135857
142.2055, 5.425842
142.6877, 2.956978
143.1698, 1.532280
143.6519, 0.7348560
144.1340, 0.3360210
144.6161, 0.2869490
145.0982, 0.5241090
145.5803, 0.8340610
146.0625, 1.039780
146.5446, 1.656120
147.0267, 3.805214
147.5088, 6.314606
147.9909, 7.160721
148.4730, 4.391632
148.9552, 1.667946
149.4373, 4.308029
149.9194, 1.716507
150.4015, 6.531258
150.8836, 6.546204
151.3657, 3.070595
151.8479, 0.2402500
152.3300, 7.8896001E-02
152.8121, 4.984383
153.2942, 7.499191
153.7763, 5.828117
154.2584, 3.889549
154.7406, 4.143417
155.2227, 6.482918
155.7048, 8.623009
156.1869, 7.845886
156.6690, 2.684586
157.1511, 0.1002810
157.6333, 1.238960
158.1154, 4.023895
158.5975, 5.895821
159.0796, 6.365273
159.5617, 6.398415
160.0438, 7.455643
160.5260, 9.665596
161.0081, 11.15530
161.4902, 10.43679
161.9723, 8.749504
162.4544, 8.620178
162.9365, 11.12574
163.4187, 14.39289
163.9008, 16.33687
164.3829, 17.03515
164.8650, 17.41983
165.3471, 17.49575
165.8292, 17.37453
166.3113, 17.02382
166.7935, 16.16888
167.2756, 15.45811
167.7577, 15.35693
168.2398, 15.80054
168.7219, 16.45150
169.2040, 16.99409
169.6862, 17.35478
170.1683, 17.96238
170.6504, 20.09349
171.1325, 21.68521
171.6146, 21.33379
172.0967, 18.87021
172.5789, 15.32973
173.0610, 11.90297
173.5431, 7.972916
174.0252, 5.800385
174.5073, 6.344482
174.9894, 8.395447
175.4716, 10.03860
175.9537, 10.50114
176.4358, 10.49168
176.9179, 10.52652
177.4000, 10.72959
177.8821, 10.80706
178.3643, 10.81574
178.8464, 10.70825
179.3285, 10.33422
179.8106, 9.642632
180.2927, 8.796936
180.7748, 8.016983
181.2570, 7.070015
181.7391, 6.525345
182.2212, 7.099754
182.7033, 8.123238
183.1854, 8.127869
183.6675, 5.914230
184.1497, 2.643120
184.6318, 1.564514
185.1139, 3.857521
