##NAMES=Pyrrhotite
##RRUFFID=R061127
##IDEAL CHEMISTRY=Fe^2+^_5_Fe^3+^_2_S^2-^_8_
##LOCALITY=Morro Velho Gold mine, Nova Umha, Minas Gerais, Brazil
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Brass colored, prismatic crystals associated with quartz and dolomite
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R061127
196.1889, 0.0000000E+00
196.6711, 0.2882770
197.1532, 0.1941110
197.6353, 0.3662800
198.1174, 1.972652
198.5995, 2.821175
199.0816, 2.362053
199.5638, 0.8770180
200.0459, 9.4508998E-02
200.5280, 0.5595740
201.0101, 2.346447
201.4922, 3.650787
201.9743, 4.455788
202.4565, 4.828575
202.9386, 4.759434
203.4207, 4.243809
203.9028, 3.927731
204.3849, 2.818348
204.8670, 1.506561
205.3492, 1.011799
205.8313, 1.667419
206.3134, 2.717190
206.7955, 2.998306
207.2776, 2.296272
207.7597, 1.731937
208.2419, 1.746815
208.7240, 2.189724
209.2061, 3.209763
209.6882, 5.228157
210.1703, 7.125885
210.6524, 6.637856
211.1346, 2.425247
211.6167, 0.6331410
212.0988, 8.0208004E-02
212.5809, 1.849773
213.0630, 2.913139
213.5451, 2.095284
214.0273, 0.4711910
214.5094, 0.6667180
214.9915, 4.311008
215.4736, 6.837982
215.9557, 7.120178
216.4378, 6.618336
216.9200, 5.699081
217.4021, 5.487228
217.8842, 5.772076
218.3663, 5.847370
218.8484, 5.291012
219.3305, 5.167805
219.8127, 5.965584
220.2948, 7.062450
220.7769, 7.950905
221.2590, 8.399967
221.7411, 8.288788
222.2232, 7.221054
222.7054, 3.008671
223.1875, 0.5100400
223.6696, 1.236916
224.1517, 3.373642
224.6338, 4.783871
225.1159, 4.516003
225.5980, 3.213737
226.0802, 2.718082
226.5623, 4.042137
227.0444, 4.948902
227.5265, 4.924911
228.0086, 4.494438
228.4907, 4.472004
228.9729, 5.238285
229.4550, 6.255322
229.9371, 6.029808
230.4192, 3.344215
230.9013, 1.395779
231.3834, 1.070236
231.8656, 1.680382
232.3477, 2.290672
232.8298, 2.573669
233.3119, 2.582088
233.7940, 2.402130
234.2761, 2.085892
234.7583, 1.535316
235.2404, 0.2615850
235.7225, 1.194473
236.2046, 1.864841
236.6867, 1.373085
237.1688, 0.1225850
237.6510, 1.384109
238.1331, 3.243542
238.6152, 4.796017
239.0973, 5.738434
239.5794, 6.223862
240.0615, 6.677273
240.5437, 7.388645
241.0258, 7.707809
241.5079, 6.271664
241.9900, 3.055893
242.4721, 0.7400210
242.9542, 1.002823
243.4364, 3.022869
243.9185, 4.773163
244.4006, 5.947430
244.8827, 6.592167
245.3648, 6.807957
245.8469, 6.623081
246.3290, 5.974796
246.8112, 4.109322
247.2933, 1.689674
247.7754, 0.9699330
248.2575, 3.148247
248.7396, 5.534142
249.2217, 5.986622
249.7039, 4.908760
250.1860, 3.570923
250.6681, 2.265030
251.1502, 1.175522
251.6323, 1.141590
252.1144, 2.918198
252.5966, 4.582184
253.0787, 5.078705
253.5608, 4.641315
254.0429, 3.747330
254.5250, 2.088585
255.0071, 0.1260530
255.4893, 0.1650850
255.9714, 2.280418
256.4535, 4.749489
256.9356, 6.211731
257.4177, 6.858070
257.8998, 6.963287
258.3820, 6.655144
258.8641, 5.965111
259.3462, 4.903862
259.8283, 2.731560
260.3104, 1.488728
260.7925, 2.402283
261.2747, 4.307690
261.7568, 5.631092
262.2389, 5.516918
262.7210, 4.494526
263.2031, 4.221779
263.6852, 5.643372
264.1674, 6.158352
264.6495, 4.243328
265.1316, 1.630196
265.6137, 0.1878280
266.0958, 0.7393990
266.5779, 2.656271
267.0601, 4.553463
267.5422, 6.646957
268.0243, 8.271746
268.5064, 9.828468
268.9885, 10.72507
269.4706, 9.942253
269.9528, 7.307327
270.4349, 4.075855
270.9170, 2.724972
271.3991, 4.352089
271.8812, 5.801704
272.3633, 7.025274
272.8455, 7.923466
273.3276, 8.409233
273.8097, 8.465679
274.2918, 8.130346
274.7739, 7.371523
275.2560, 5.724745
275.7382, 4.669197
276.2202, 4.293976
276.7024, 4.300949
277.1845, 4.611160
277.6666, 5.154030
278.1487, 5.795990
278.6308, 6.482216
279.1129, 7.672079
279.5951, 7.676224
280.0772, 5.520964
280.5593, 3.490696
281.0414, 2.685146
281.5235, 3.162598
282.0056, 4.479851
282.4878, 6.430862
282.9699, 9.356674
283.4520, 10.37273
283.9341, 7.471699
284.4162, 4.896313
284.8983, 4.795254
285.3805, 6.675041
285.8626, 8.469406
286.3447, 8.660011
286.8268, 7.378071
287.3089, 6.339880
287.7910, 5.259930
288.2732, 4.697264
288.7553, 5.130344
289.2374, 6.190594
289.7195, 7.183853
