##NAMES=Rheniite
##RRUFFID=R050362
##IDEAL CHEMISTRY=ReS_2_
##LOCALITY=Kudryaviy Volcano, Iturup Island, Kurilian Chain, Russia
##OWNER=RRUFF
##SOURCE=University of Arizona Mineral Museum
##DESCRIPTION=Bright, shiney metallic crystals associated with anhydrite
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R050362
90.230, 0.000
90.713, 0.160
91.195, 2.499
91.677, 17.370
92.159, 33.738
92.641, 41.734
93.123, 43.964
93.605, 40.757
94.087, 36.831
94.570, 34.848
95.052, 32.128
95.534, 40.879
96.016, 64.079
96.498, 55.920
96.980, 49.974
97.462, 47.112
97.944, 44.888
98.426, 47.923
98.909, 46.236
99.391, 35.324
99.873, 19.292
100.355, 3.108
100.837, 10.690
101.319, 21.743
101.801, 21.482
102.283, 1.102
102.766, 22.505
103.248, 31.939
103.730, 32.971
104.212, 37.550
104.694, 56.406
105.176, 91.661
105.658, 117.305
106.140, 129.518
106.622, 136.949
107.105, 141.906
107.587, 145.567
108.069, 151.705
108.551, 162.242
109.033, 176.969
109.515, 208.247
109.997, 270.457
110.479, 342.186
110.962, 411.966
111.444, 479.341
111.926, 523.776
112.408, 507.772
112.890, 430.502
113.372, 350.430
113.854, 271.691
114.336, 199.505
114.818, 143.948
115.300, 108.502
115.783, 87.773
116.265, 73.485
116.747, 64.118
117.229, 66.670
117.711, 86.090
118.193, 120.519
118.675, 162.349
119.158, 206.355
119.640, 262.493
120.122, 336.520
120.604, 428.598
121.086, 536.932
121.568, 662.505
122.050, 804.734
122.532, 958.213
123.014, 1139.694
123.496, 1317.283
123.979, 1467.146
124.461, 1587.251
124.943, 1672.803
125.425, 1708.162
125.907, 1685.256
126.389, 1658.520
126.871, 1643.377
127.353, 1632.319
127.836, 1625.973
128.318, 1628.596
128.800, 1619.746
129.282, 1562.557
129.764, 1440.958
130.246, 1309.687
130.728, 1165.760
131.210, 1027.292
131.693, 913.294
132.175, 832.627
132.657, 776.179
133.139, 720.159
133.621, 657.104
134.103, 607.921
134.585, 574.542
135.067, 555.964
135.549, 552.669
136.032, 566.157
136.514, 592.991
136.996, 617.689
137.478, 636.425
137.960, 657.540
138.442, 677.325
138.924, 701.249
139.406, 738.778
139.889, 797.715
140.371, 875.201
140.853, 939.392
141.335, 981.933
141.817, 1018.290
142.299, 1044.943
142.781, 1067.567
143.263, 1093.151
143.745, 1124.852
144.227, 1162.482
144.710, 1230.110
145.192, 1348.970
145.674, 1474.898
146.156, 1578.062
146.638, 1674.602
147.120, 1808.457
147.602, 2023.161
148.085, 2329.264
148.567, 2581.027
149.049, 2896.789
149.531, 3066.365
150.013, 2945.798
150.495, 2577.683
150.977, 2125.565
151.459, 1718.181
151.941, 1352.729
152.423, 1093.820
152.906, 975.260
153.388, 912.234
153.870, 869.878
154.352, 841.822
154.834, 829.835
155.316, 837.070
155.798, 867.720
156.280, 900.417
156.763, 932.060
157.245, 967.708
157.727, 1013.398
158.209, 1068.180
158.691, 1125.055
159.173, 1183.893
159.655, 1253.771
160.137, 1262.669
160.620, 1175.624
161.102, 1049.785
161.584, 916.530
162.066, 783.692
162.548, 667.326
163.030, 588.154
163.512, 555.689
163.994, 521.827
164.476, 475.893
164.958, 433.075
165.441, 412.549
165.923, 417.323
166.405, 426.354
166.887, 413.482
167.369, 374.416
167.851, 346.068
168.333, 339.760
168.816, 342.139
169.298, 340.011
169.780, 331.062
170.262, 317.437
170.744, 299.350
171.226, 276.145
171.708, 258.462
172.190, 248.858
172.672, 245.325
173.154, 248.594
173.637, 260.154
174.119, 269.230
174.601, 259.957
175.083, 232.502
175.565, 209.007
176.047, 194.835
176.529, 186.812
177.012, 181.049
177.494, 177.099
177.976, 174.430
178.458, 173.485
178.940, 174.168
179.422, 172.732
179.904, 165.607
180.386, 156.533
180.868, 153.074
181.350, 158.271
181.833, 162.280
182.315, 148.554
182.797, 119.445
183.279, 98.563
183.761, 96.481
184.243, 105.966
184.725, 117.370
185.207, 130.853
185.690, 141.008
186.172, 137.418
186.654, 122.664
187.136, 113.133
187.618, 119.953
188.100, 132.853
188.582, 133.421
189.064, 116.224
189.546, 96.786
190.029, 92.097
190.511, 99.509
190.993, 107.564
191.475, 116.658
191.957, 123.106
192.439, 118.555
192.921, 97.937
193.403, 76.316
193.885, 69.434
194.368, 74.650
194.850, 82.507
195.332, 91.558
195.814, 99.707
196.296, 105.118
196.778, 107.814
197.260, 107.865
197.742, 100.468
198.225, 88.791
198.707, 86.004
199.189, 104.437
199.671, 131.866
200.153, 147.148
200.635, 145.884
201.117, 142.255
201.599, 150.458
202.081, 166.701
202.564, 178.732
203.046, 178.094
203.528, 173.886
204.010, 177.536
204.492, 188.724
204.974, 205.009
205.456, 227.004
205.939, 252.893
206.421, 275.890
206.903, 288.503
207.385, 299.476
207.867, 320.096
208.349, 351.501
208.831, 388.358
209.313, 441.404
209.795, 497.720
210.277, 521.301
210.760, 492.970
211.242, 434.299
211.724, 361.674
212.206, 272.900
212.688, 193.740
213.170, 145.226
213.652, 119.728
214.134, 99.788
214.617, 84.045
215.099, 71.841
215.581, 64.321
216.063, 61.670
216.545, 57.795
217.027, 47.356
217.509, 33.597
217.991, 23.771
218.473, 17.049
218.956, 16.021
219.438, 26.508
219.920, 47.824
220.402, 65.682
220.884, 69.845
221.366, 66.702
221.848, 71.614
222.330, 88.976
222.812, 109.392
223.295, 127.026
223.777, 142.170
224.259, 156.393
224.741, 168.284
225.223, 181.499
225.705, 203.255
226.187, 236.867
226.669, 272.789
227.152, 305.055
227.634, 334.758
228.116, 366.361
228.598, 401.170
229.080, 439.197
229.562, 478.752
230.044, 517.187
230.526, 563.289
231.008, 625.262
231.491, 697.911
231.973, 778.422
232.455, 879.545
232.937, 961.314
233.419, 943.684
233.901, 817.419
234.383, 671.937
234.865, 516.394
235.348, 364.677
235.830, 238.942
236.312, 145.645
236.794, 79.887
237.276, 38.322
237.758, 22.840
238.240, 12.360
238.722, 4.166
239.204, 1.688
239.687, 4.363
240.169, 3.573
240.651, 1.737
241.133, 1.434
241.615, 2.801
242.097, 5.160
242.579, 9.034
243.061, 13.543
243.544, 19.091
244.026, 25.440
244.508, 29.251
244.990, 26.724
245.472, 16.691
245.954, 9.144
246.436, 7.767
246.918, 5.921
247.400, 4.282
247.883, 20.931
248.365, 31.844
248.847, 25.969
249.329, 3.361
249.811, 10.117
250.293, 7.213
250.775, 3.665
251.257, 9.014
251.740, 19.891
252.222, 25.807
252.704, 19.322
253.186, 2.578
253.668, 7.422
254.150, 5.684
254.632, 3.825
255.114, 5.828
255.596, 9.425
256.079, 10.285
256.561, 6.073
257.043, 1.407
257.525, 6.393
258.007, 10.348
258.489, 9.683
258.971, 3.050
259.453, 17.659
259.935, 20.475
260.418, 6.878
260.900, 12.954
261.382, 18.817
261.864, 5.954
262.346, 18.642
262.828, 7.913
263.310, 6.655
263.792, 8.958
264.275, 3.781
264.757, 21.601
265.239, 31.442
265.721, 30.448
266.203, 29.323
266.685, 26.604
267.167, 24.963
267.649, 25.109
268.132, 27.514
268.614, 33.056
269.096, 43.156
269.578, 58.384
270.060, 72.496
270.542, 86.964
271.024, 98.802
271.506, 103.835
271.988, 105.147
272.471, 110.546
272.953, 126.459
273.435, 150.972
273.917, 172.622
274.399, 190.925
274.881, 206.474
275.363, 219.774
275.845, 230.718
276.328, 238.966
276.810, 244.097
277.292, 247.064
277.774, 248.672
278.256, 245.978
278.738, 249.977
279.220, 275.415
279.702, 303.206
280.184, 316.705
280.667, 311.147
281.149, 291.733
281.631, 261.619
282.113, 219.877
282.595, 177.722
283.077, 132.355
283.559, 91.983
284.041, 63.975
284.523, 49.221
285.006, 39.911
285.488, 30.094
285.970, 20.764
286.452, 18.510
286.934, 28.344
287.416, 39.254
287.898, 40.110
288.380, 32.434
288.862, 25.233
289.345, 22.721
289.827, 22.837
290.309, 23.238
290.791, 24.368
291.273, 21.854
291.755, 6.344
292.237, 17.234
292.720, 26.580
293.202, 9.594
293.684, 16.151
294.166, 39.912
294.648, 60.722
295.130, 72.531
295.612, 68.919
296.094, 54.346
296.576, 48.076
297.059, 53.784
297.541, 62.827
298.023, 70.095
298.505, 78.253
298.987, 93.811
299.469, 120.511
299.951, 152.476
300.433, 176.157
300.915, 184.372
301.398, 197.074
301.880, 217.901
302.362, 243.372
302.844, 272.612
303.326, 305.010
303.808, 335.012
304.290, 355.226
304.772, 362.476
305.254, 368.838
305.737, 378.057
306.219, 382.992
306.701, 378.589
307.183, 365.761
307.665, 348.937
308.147, 333.380
308.629, 319.064
309.111, 297.358
309.594, 251.407
310.076, 215.079
310.558, 201.553
311.040, 203.029
311.522, 205.569
312.004, 202.054
312.486, 194.577
312.968, 187.988
313.451, 176.683
313.933, 177.995
314.415, 204.041
314.897, 236.959
315.379, 262.329
315.861, 276.200
316.343, 282.590
316.825, 284.382
317.307, 279.978
317.789, 279.902
318.272, 286.559
318.754, 296.877
319.236, 311.752
319.718, 331.804
320.200, 350.833
320.682, 370.922
321.164, 387.408
321.647, 383.045
322.129, 351.113
322.611, 314.023
323.093, 287.019
323.575, 266.287
324.057, 244.407
324.539, 221.349
325.021, 194.863
325.503, 158.818
325.986, 113.462
326.468, 75.020
326.950, 53.567
327.432, 44.421
327.914, 32.465
328.396, 12.263
328.878, 1.794
329.360, 1.638
329.842, 16.806
330.325, 26.849
330.807, 24.571
331.289, 18.265
331.771, 19.182
332.253, 31.027
332.735, 39.828
333.217, 43.562
333.699, 44.631
334.181, 43.273
334.664, 40.390
335.146, 39.737
335.628, 45.160
336.110, 57.269
336.592, 67.988
337.074, 73.935
337.556, 82.195
338.038, 95.945
338.521, 113.678
339.003, 132.927
339.485, 152.408
339.967, 171.711
340.449, 189.421
340.931, 204.831
341.413, 219.680
341.895, 230.241
342.378, 242.665
342.860, 263.540
343.342, 294.190
343.824, 328.129
344.306, 363.040
344.788, 401.459
345.270, 416.993
345.752, 400.469
346.234, 365.038
346.716, 309.196
347.199, 239.222
347.681, 174.976
348.163, 128.510
348.645, 96.783
349.127, 73.213
349.609, 58.993
350.091, 46.432
350.573, 31.241
351.056, 17.772
351.538, 11.657
352.020, 16.542
352.502, 22.605
352.984, 21.379
353.466, 14.269
353.948, 7.251
354.430, 1.248
354.913, 1.766
355.395, 4.195
355.877, 22.179
356.359, 34.994
356.841, 33.880
357.323, 28.250
357.805, 28.026
358.287, 34.857
358.769, 46.194
359.252, 60.415
359.734, 78.143
360.216, 91.435
360.698, 96.324
361.180, 101.530
361.662, 109.265
362.144, 120.085
362.626, 136.059
363.108, 159.070
363.591, 184.595
364.073, 197.474
364.555, 187.381
365.037, 181.240
365.519, 186.009
366.001, 192.515
366.483, 194.754
366.965, 190.943
367.448, 180.495
367.930, 157.506
368.412, 119.945
368.894, 100.492
369.376, 117.481
369.858, 132.450
370.340, 117.889
370.822, 85.725
371.305, 66.256
371.787, 80.562
372.269, 111.780
372.751, 131.522
373.233, 138.851
373.715, 143.324
374.197, 152.555
374.679, 159.143
375.161, 150.497
375.643, 121.155
376.126, 89.516
376.608, 63.043
377.090, 41.469
377.572, 25.121
378.054, 14.374
378.536, 6.307
379.018, 3.075
379.500, 14.905
379.983, 20.508
380.465, 14.837
380.947, 7.139
381.429, 3.678
381.911, 3.533
382.393, 1.451
382.875, 6.555
383.357, 18.311
383.840, 22.689
384.322, 8.151
384.804, 0.574
385.286, 11.742
385.768, 25.676
386.250, 22.984
386.732, 0.051
387.214, 24.804
387.696, 25.613
388.179, 2.195
388.661, 22.838
389.143, 33.809
389.625, 38.388
390.107, 35.238
390.589, 26.975
391.071, 19.475
391.553, 14.291
392.035, 12.785
392.518, 19.091
393.000, 34.349
393.482, 49.047
393.964, 57.701
394.446, 64.352
394.928, 76.803
395.410, 99.311
395.892, 115.069
396.375, 110.193
396.857, 93.886
397.339, 81.333
397.821, 75.218
398.303, 78.570
398.785, 97.760
399.267, 136.013
399.749, 159.727
400.232, 157.762
400.714, 151.937
401.196, 151.391
401.678, 156.117
402.160, 164.987
402.642, 177.737
403.124, 192.359
403.606, 203.037
404.088, 209.213
404.570, 211.873
405.053, 208.152
405.535, 203.536
406.017, 202.857
406.499, 206.145
406.981, 209.141
407.463, 206.053
407.945, 197.290
408.427, 195.550
408.910, 201.402
409.392, 214.403
409.874, 235.661
410.356, 262.685
410.838, 293.043
411.320, 329.715
411.802, 363.072
412.284, 380.451
412.767, 383.970
413.249, 388.741
413.731, 397.431
414.213, 411.685
414.695, 440.352
415.177, 486.705
415.659, 511.324
416.141, 498.946
416.623, 466.614
417.106, 423.550
417.588, 373.276
418.070, 324.448
418.552, 282.684
419.034, 247.095
419.516, 210.706
419.998, 165.441
420.480, 129.499
420.962, 106.107
421.445, 92.176
421.927, 86.376
422.409, 87.582
422.891, 91.832
423.373, 95.154
423.855, 97.941
424.337, 96.771
424.819, 89.112
425.302, 80.336
425.784, 69.287
426.266, 59.295
426.748, 57.285
427.230, 68.821
427.712, 85.565
428.194, 95.773
428.676, 99.717
429.159, 106.463
429.641, 121.283
430.123, 137.423
430.605, 144.389
431.087, 141.418
431.569, 139.109
432.051, 138.601
432.533, 141.117
433.015, 151.881
433.497, 169.067
433.980, 179.835
434.462, 173.835
434.944, 153.699
435.426, 139.053
435.908, 138.577
436.390, 132.781
436.872, 112.775
437.354, 88.746
437.837, 73.286
438.319, 69.446
438.801, 68.777
439.283, 58.964
439.765, 38.344
440.247, 28.269
440.729, 38.214
441.211, 46.528
441.694, 38.219
442.176, 22.810
