##NAMES=Roxbyite
##RRUFFID=R070676
##IDEAL CHEMISTRY=Cu_1.78_S
##LOCALITY=Olympic Dam mine, Roxby Downs, South Australia, Australia
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Microscopic black-blue metallic massive associated with hematite, co-type sample
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R070676
133.7534, 0.0000000E+00
134.2355, 22.34961
134.7176, 32.50647
135.1998, 28.41089
135.6819, 21.62805
136.1640, 10.21936
136.6461, 1.888550
137.1282, 1.171387
137.6103, 2.614014
138.0925, 13.48120
138.5746, 25.01831
139.0567, 38.34521
139.5388, 50.51685
140.0209, 57.47900
140.5030, 59.04175
140.9852, 56.81421
141.4673, 49.97595
141.9494, 36.93347
142.4315, 32.70203
142.9136, 43.48755
143.3957, 64.41577
143.8779, 75.13733
144.3600, 72.27777
144.8421, 64.08826
145.3242, 54.80920
145.8063, 41.21808
146.2884, 32.06787
146.7705, 30.71271
147.2527, 36.46625
147.7348, 37.18494
148.2169, 31.27344
148.6990, 24.64575
149.1811, 16.99878
149.6632, 4.045532
150.1454, 1.963989
150.6275, 3.181519
151.1096, 23.75830
151.5917, 39.63892
152.0738, 49.56439
152.5559, 56.41895
153.0381, 63.01257
153.5202, 69.18311
154.0023, 72.69305
154.4844, 73.39166
154.9665, 70.96179
155.4486, 66.81781
155.9308, 58.23059
156.4129, 48.04608
156.8950, 45.99786
157.3771, 56.49030
157.8592, 64.96729
158.3413, 66.80646
158.8235, 53.23706
159.3056, 41.81177
159.7877, 35.06708
160.2698, 37.69867
160.7519, 44.47357
161.2340, 57.46210
161.7162, 69.62506
162.1983, 71.39191
162.6804, 41.35803
163.1625, 14.15167
163.6446, 13.48315
164.1267, 37.89203
164.6089, 59.15082
165.0910, 67.85632
165.5731, 67.18298
166.0552, 62.81647
166.5373, 52.90753
167.0194, 42.44287
167.5016, 35.14502
167.9837, 30.30817
168.4658, 28.95062
168.9479, 36.21539
169.4300, 48.74365
169.9121, 55.85443
170.3943, 47.67255
170.8764, 33.41632
171.3585, 21.37695
171.8406, 13.72382
172.3227, 10.51416
172.8048, 13.36456
173.2870, 21.73413
173.7691, 30.18756
174.2512, 35.61871
174.7333, 38.43158
175.2154, 39.32117
175.6975, 37.80255
176.1797, 34.82727
176.6618, 31.40973
177.1439, 27.53455
177.6260, 23.09125
178.1081, 17.43951
178.5902, 10.98273
179.0724, 4.949524
179.5545, 2.611328
180.0366, 8.913147
180.5187, 7.722107
181.0008, 2.783081
181.4829, 15.13062
181.9651, 21.33527
182.4472, 21.85297
182.9293, 19.16595
183.4114, 11.07587
183.8935, 0.6996460
184.3756, 2.268066
184.8578, 6.660278
185.3399, 18.60187
185.8220, 15.99591
186.3041, 0.5845950
186.7862, 15.76154
187.2683, 17.31488
187.7504, 7.208008
188.2326, 6.135315
188.7147, 24.35498
189.1968, 42.34760
189.6789, 44.69324
190.1610, 30.15167
190.6431, 12.52325
191.1253, 7.501404
191.6074, 14.94373
192.0895, 18.17523
192.5716, 8.691589
193.0537, 9.563293
193.5358, 17.24438
194.0180, 12.54700
194.5001, 2.930664
194.9822, 2.174988
195.4643, 2.901611
195.9464, 3.536011
196.4285, 6.749207
196.9107, 12.28259
197.3928, 14.37805
197.8749, 12.09442
198.3570, 7.922852
198.8391, 6.706665
199.3212, 8.945801
199.8034, 10.59766
200.2855, 8.016418
200.7676, 0.7543950
201.2497, 1.215576
201.7318, 4.626404
202.2139, 14.71008
202.6961, 19.14709
203.1782, 16.96472
203.6603, 12.61658
204.1424, 7.795349
204.6245, 1.747864
205.1066, 0.9219360
205.5888, 8.605896
206.0709, 22.00549
206.5530, 25.36218
207.0351, 14.46820
207.5172, 3.523010
207.9993, 7.995911
208.4815, 34.19110
208.9636, 51.62439
209.4457, 50.93268
209.9278, 33.28119
210.4099, 25.31592
210.8920, 30.13184
211.3742, 39.72705
211.8563, 45.49579
212.3384, 46.67010
212.8205, 46.20746
213.3026, 43.81146
213.7847, 38.95929
214.2669, 39.21478
214.7490, 47.38782
215.2311, 57.73376
215.7132, 60.11011
216.1953, 50.20581
216.6774, 42.54694
217.1596, 43.61237
217.6417, 56.63403
218.1238, 64.45062
218.6059, 64.86963
219.0880, 61.49384
