##NAMES=Shandite
##RRUFFID=R070090
##IDEAL CHEMISTRY=Pb_2_Ni_3_S_2_
##LOCALITY=Nickel Reward mine, Tasmania, Australia
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Bright silver metallic blebs in serpentinite, chonchoidal fracture
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R070090
169.0396, 0.0000000E+00
169.5217, 13.71191
170.0038, 16.20312
170.4860, 8.210693
170.9681, 0.9274900
171.4502, 5.451904
171.9323, 22.32837
172.4144, 40.76343
172.8965, 56.59985
173.3787, 63.55420
173.8608, 70.25635
174.3429, 83.89429
174.8250, 88.91162
175.3071, 76.02881
175.7892, 51.07983
176.2714, 27.97241
176.7535, 18.24512
177.2356, 22.77466
177.7177, 25.69922
178.1998, 24.04883
178.6819, 23.84717
179.1641, 29.89368
179.6462, 41.31274
180.1283, 49.46240
180.6104, 48.15234
181.0925, 39.89062
181.5746, 35.95349
182.0567, 32.66614
182.5389, 30.36316
183.0210, 32.72290
183.5031, 40.05566
183.9852, 47.35400
184.4673, 50.82764
184.9494, 51.42041
185.4316, 51.43542
185.9137, 51.66235
186.3958, 51.93701
186.8779, 51.64563
187.3600, 51.17896
187.8421, 51.23438
188.3243, 53.13928
188.8064, 56.19092
189.2885, 54.50464
189.7706, 39.99268
190.2527, 28.90979
190.7348, 33.85522
191.2170, 48.01233
191.6991, 53.02612
192.1812, 47.74487
192.6633, 36.30005
193.1454, 28.59204
193.6275, 22.69202
194.1097, 23.56238
194.5918, 32.54785
195.0739, 49.84351
195.5560, 75.00439
196.0381, 110.1888
196.5202, 148.2332
197.0024, 166.7117
197.4845, 164.2798
197.9666, 155.7559
198.4487, 139.9055
198.9308, 122.5332
199.4129, 100.3904
199.8951, 74.92505
200.3772, 52.92224
200.8593, 53.10669
201.3414, 73.22131
201.8235, 88.35840
202.3056, 92.70215
202.7878, 91.04382
203.2699, 90.11987
203.7520, 93.57153
204.2341, 99.27356
204.7162, 102.2441
205.1983, 101.9502
205.6805, 102.3153
206.1626, 107.1715
206.6447, 113.4761
207.1268, 116.0393
207.6089, 113.5889
208.0910, 106.6884
208.5732, 94.12012
209.0553, 73.94055
209.5374, 59.72241
210.0195, 60.98334
210.5016, 66.67932
210.9837, 60.40558
211.4659, 37.72766
211.9480, 11.29584
212.4301, 3.990234
212.9122, 8.056152
213.3943, 4.549377
213.8764, 13.85614
214.3586, 36.42847
214.8407, 50.31152
215.3228, 53.49353
215.8049, 52.33307
216.2870, 53.72583
216.7691, 57.78406
217.2513, 56.27606
217.7334, 41.21332
218.2155, 24.73041
218.6976, 20.19427
219.1797, 28.51154
219.6618, 37.82990
220.1440, 37.52893
220.6261, 27.48743
221.1082, 19.44629
221.5903, 14.36932
222.0724, 11.09717
222.5546, 9.285217
223.0367, 8.496277
223.5188, 7.372009
224.0009, 5.340637
224.4830, 2.250122
224.9651, 3.057434
225.4473, 14.82343
225.9294, 25.31293
226.4115, 28.20911
226.8936, 18.45905
227.3757, 10.72247
227.8578, 10.28888
228.3400, 14.70148
228.8221, 14.02625
229.3042, 2.944336
229.7863, 7.683472
230.2684, 14.77582
230.7505, 17.87238
231.2327, 14.25787
231.7148, 0.5563960
232.1969, 17.76074
232.6790, 24.12933
233.1611, 14.35400
233.6432, 2.917480
234.1254, 7.765076
234.6075, 16.82965
235.0896, 21.60596
235.5717, 20.23920
236.0538, 16.85455
236.5359, 21.06201
237.0181, 37.90002
237.5002, 48.59058
237.9823, 43.84100
238.4644, 32.83051
238.9465, 28.11029
239.4286, 33.33759
239.9108, 42.36646
240.3929, 45.87927
240.8750, 40.55219
241.3571, 42.01483
241.8392, 59.19696
242.3213, 79.29266
242.8035, 89.37683
243.2856, 87.64447
243.7677, 81.93268
244.2498, 80.23523
244.7319, 83.72223
245.2140, 85.34717
245.6962, 81.22211
246.1783, 78.32141
246.6604, 82.74213
247.1425, 93.77283
247.6246, 105.2454
248.1067, 112.6617
248.5889, 115.9380
249.0710, 115.7771
249.5531, 104.7540
250.0352, 97.92065
250.5173, 104.2205
250.9994, 120.5438
251.4816, 138.3958
251.9637, 153.2497
252.4458, 165.0502
252.9279, 172.1830
253.4100, 172.4965
253.8921, 171.3690
254.3743, 169.0918
254.8564, 166.2401
255.3385, 163.4700
255.8206, 161.0675
256.3027, 159.2545
256.7849, 158.6433
257.2670, 165.3039
257.7491, 165.4885
258.2312, 151.3646
258.7133, 134.0070
259.1954, 125.7530
259.6776, 130.0640
260.1597, 140.1904
260.6418, 145.4752
261.1239, 143.4228
261.6060, 141.0695
262.0881, 137.9915
262.5703, 134.9468
263.0524, 131.8498
263.5345, 129.0264
264.0166, 127.6570
264.4987, 129.4843
264.9808, 135.8441
265.4630, 138.7216
265.9451, 134.7453
266.4272, 130.8551
266.9093, 128.8562
267.3914, 129.3740
267.8735, 133.6566
268.3557, 143.6405
268.8378, 158.6748
269.3199, 166.3101
269.8020, 160.4732
270.2841, 152.0071
270.7662, 140.8270
271.2484, 129.8065
271.7305, 122.6670
272.2126, 120.6900
272.6947, 123.0417
273.1768, 128.5534
273.6589, 144.1913
274.1411, 151.1385
274.6232, 140.6417
275.1053, 124.3281
275.5874, 112.6334
276.0695, 108.9680
276.5516, 110.6443
277.0338, 113.9265
277.5159, 119.4214
277.9980, 124.4975
278.4801, 132.0786
278.9622, 136.6281
279.4443, 132.7218
279.9265, 120.7898
280.4086, 107.9904
280.8907, 101.7094
281.3728, 102.2651
281.8549, 102.1815
282.3370, 99.00482
282.8192, 97.34491
283.3013, 101.0106
283.7834, 107.9522
284.2655, 112.7587
284.7476, 111.7814
285.2297, 106.3187
285.7119, 101.4239
286.1940, 97.71570
286.6761, 92.64783
287.1582, 81.77408
287.6403, 70.03943
288.1224, 65.41559
288.6046, 73.54367
289.0867, 85.95059
289.5688, 89.80688
290.0509, 83.25381
