##NAMES=Spinel
##RRUFFID=R070013
##IDEAL CHEMISTRY=MgAl_2_O_4_
##LOCALITY=Bo Phloi, Kanchoutabori Province, Thailand
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Black glassy fragment with conchoidal fracture
##STATUS=The identification of this mineral has been made only by X-ray diffraction.
##URL=rruff.info/R070013
##MEASURED CHEMISTRY=(Mg_0.69_Fe^2+^_0.31_)_Σ=1_(Al_1.90_Fe^3+^_0.10_)_Σ=2_O_4_ ; trace of Mn, Ti and Cr
143.4313, 0.0000000E+00
143.9134, 0.6983640
144.3955, 2.329590
144.8776, 7.945679
145.3597, 13.90186
145.8419, 19.39893
146.3240, 29.47888
146.8061, 51.78589
147.2882, 72.59668
147.7703, 79.31409
148.2524, 51.74329
148.7346, 33.00146
149.2167, 34.87427
149.6988, 65.52747
150.1809, 80.92554
150.6630, 63.83313
151.1452, 36.54138
151.6273, 26.65601
152.1094, 57.04333
152.5915, 85.86060
153.0736, 100.3673
153.5557, 92.95923
154.0379, 86.28357
154.5200, 82.31409
155.0021, 80.62244
155.4842, 80.27234
155.9663, 86.07263
156.4484, 89.63635
156.9306, 86.29871
157.4127, 66.80127
157.8948, 52.15833
158.3769, 50.62439
158.8590, 58.94873
159.3411, 64.93726
159.8233, 61.00513
160.3054, 55.34888
160.7875, 53.84485
161.2696, 63.63831
161.7517, 72.83215
162.2338, 73.89343
162.7160, 67.85730
163.1981, 67.61829
163.6802, 88.23230
164.1623, 114.6807
164.6444, 130.9708
165.1265, 125.0404
165.6087, 111.7559
166.0908, 96.89050
166.5729, 80.14062
167.0550, 69.99854
167.5371, 76.46753
168.0192, 92.49451
168.5014, 106.7323
168.9835, 113.7129
169.4656, 116.6968
169.9477, 117.9301
170.4298, 117.3323
170.9119, 116.2988
171.3941, 114.3940
171.8762, 112.7156
172.3583, 113.9283
172.8404, 125.2609
173.3225, 138.4730
173.8046, 141.4183
174.2868, 128.6495
174.7689, 113.3611
175.2510, 110.5448
175.7331, 117.9033
176.2152, 124.6924
176.6973, 122.5782
177.1795, 115.1078
177.6616, 108.7539
178.1437, 104.4559
178.6258, 102.4718
179.1079, 105.7708
179.5900, 113.7812
180.0722, 118.9547
180.5543, 109.8351
181.0364, 92.26562
181.5185, 83.83728
182.0006, 94.64111
182.4827, 114.7424
182.9649, 125.4604
183.4470, 126.4703
183.9291, 123.2932
184.4112, 117.8431
184.8933, 111.4622
