##NAMES=Tomichite
##RRUFFID=R070708
##IDEAL CHEMISTRY=V^3+^_4_Ti^4+^_3_As^3+^O_13_(OH)
##LOCALITY=Hemlo Mines, Hemlo gold deposit, Marathon, Thunder Bay District, Ontario, Canada
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Black bleb associated with titanite, sanidine and tetrahedrite; opaque under microscope
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R070708
146.9666, 0.0000000E+00
147.4488, 0.2083740
147.9309, 15.67615
148.4130, 40.55811
148.8951, 54.48120
149.3772, 51.94690
149.8593, 45.75415
150.3415, 40.92493
150.8236, 37.04944
151.3057, 33.37170
151.7878, 26.90820
152.2699, 18.26160
152.7520, 16.74573
153.2342, 37.27197
153.7163, 52.34070
154.1984, 46.79126
154.6805, 23.96082
155.1626, 1.806152
155.6447, 1.085815
156.1269, 32.20044
156.6090, 48.97778
157.0911, 44.10840
157.5732, 37.58484
158.0553, 33.32739
158.5374, 34.62207
159.0196, 38.73376
159.5017, 36.07458
159.9838, 18.21753
160.4659, 8.731445
160.9480, 9.776611
161.4301, 15.73889
161.9123, 29.93689
162.3944, 54.78406
162.8765, 81.25574
163.3586, 85.64453
163.8407, 42.82556
164.3228, 12.55286
164.8050, 15.23389
165.2871, 35.91235
165.7692, 49.71753
166.2513, 45.53320
166.7334, 28.20251
167.2155, 15.66602
167.6977, 2.735718
168.1798, 4.805542
168.6619, 1.846558
169.1440, 20.41321
169.6261, 35.26282
170.1082, 32.07117
170.5904, 16.88477
171.0725, 9.914795
171.5546, 18.73352
172.0367, 33.71765
172.5188, 46.58862
173.0009, 48.52795
173.4831, 41.08533
173.9652, 27.71057
174.4473, 12.99475
174.9294, 6.100952
175.4115, 17.37708
175.8936, 38.27295
176.3758, 46.80237
176.8579, 39.49683
177.3400, 30.44092
177.8221, 25.68164
178.3042, 24.72559
178.7864, 27.35205
179.2685, 37.95581
179.7506, 51.16162
180.2327, 58.51953
180.7148, 63.28369
181.1969, 62.65332
181.6791, 49.67688
182.1612, 28.01160
182.6433, 10.83350
183.1254, 12.85815
183.6075, 36.74280
184.0896, 53.14429
184.5718, 57.63721
185.0539, 55.87158
185.5360, 48.45471
186.0181, 34.97009
186.5002, 20.70972
186.9823, 12.44189
187.4645, 10.39417
187.9466, 13.42261
188.4287, 27.06787
188.9108, 40.91602
189.3929, 50.48120
189.8750, 54.29065
190.3572, 52.44495
190.8393, 44.75867
191.3214, 23.58875
191.8035, 11.10535
192.2856, 13.16284
192.7677, 19.73340
193.2499, 22.46765
193.7320, 18.93457
194.2141, 11.75513
194.6962, 7.306030
195.1783, 10.38403
195.6604, 10.69946
196.1426, 6.813599
196.6247, 0.4545900
197.1068, 7.730957
197.5889, 18.01575
198.0710, 27.56042
198.5531, 25.75330
199.0353, 0.3125000
199.5174, 21.68506
199.9995, 31.26184
200.4816, 32.59973
200.9637, 32.38196
201.4458, 34.40796
201.9280, 37.94385
202.4101, 37.22998
202.8922, 30.94910
203.3743, 23.54248
203.8564, 13.52234
204.3385, 3.179077
204.8207, 1.098389
205.3028, 13.21667
205.7849, 35.41125
206.2670, 45.36096
206.7491, 32.94409
207.2312, 18.21899
207.7134, 13.22388
208.1955, 17.16174
208.6776, 22.28979
209.1597, 24.73230
209.6418, 23.94592
210.1239, 19.88330
210.6061, 7.046509
211.0882, 5.511841
211.5703, 10.32385
212.0524, 7.158569
212.5345, 1.595581
213.0166, 20.08289
213.4988, 43.08850
213.9809, 55.85999
214.4630, 48.17749
214.9451, 32.25122
215.4272, 23.16028
215.9094, 21.89587
216.3915, 23.97632
216.8736, 29.25708
217.3557, 35.65027
217.8378, 38.69971
218.3199, 34.50952
218.8021, 26.52576
219.2842, 21.22083
219.7663, 19.34656
220.2484, 18.73438
220.7305, 16.59863
221.2126, 14.45923
221.6948, 15.89136
222.1769, 28.62756
222.6590, 46.73450
223.1411, 48.60522
223.6232, 21.20068
224.1053, 0.8288570
224.5875, 7.936035
225.0696, 36.85645
225.5517, 61.32751
226.0338, 62.50269
226.5159, 45.55701
226.9980, 36.92383
227.4802, 43.85925
227.9623, 49.76184
228.4444, 43.44873
228.9265, 29.09094
229.4086, 17.83508
229.8907, 20.92810
230.3729, 37.08679
230.8550, 43.54419
231.3371, 30.51025
231.8192, 17.47644
232.3013, 11.97302
232.7834, 13.36389
233.2656, 18.94531
233.7477, 28.55933
234.2298, 42.45776
234.7119, 49.05078
235.1940, 40.92920
235.6761, 31.62195
236.1583, 24.31287
236.6404, 19.97839
237.1225, 19.87976
237.6046, 28.25244
238.0867, 27.51904
238.5688, 51.93347
239.0510, 65.54028
239.5331, 68.86792
240.0152, 31.27228
240.4973, 46.15833
240.9794, 39.95648
241.4615, 33.09332
241.9437, 55.68933
242.4258, 24.11432
242.9079, 46.23706
243.3900, 46.87048
243.8721, 57.25073
244.3542, 46.27264
244.8364, 41.74152
245.3185, 58.42047
245.8006, 63.37946
246.2827, 49.97723
246.7648, 60.95776
247.2469, 28.51764
247.7291, 34.21185
248.2112, 56.34082
248.6933, 44.05054
249.1754, 55.27991
249.6575, 57.35303
250.1397, 18.53809
250.6218, 50.95074
251.1039, 52.60803
251.5860, 22.63342
252.0681, 52.49152
252.5502, 26.67682
253.0324, 20.80365
253.5145, 29.90857
253.9966, 23.35718
254.4787, 41.03058
254.9608, 34.51685
255.4429, 25.24255
255.9251, 24.58160
256.4072, 2.084167
256.8893, 15.66437
257.3714, 23.92999
257.8535, 28.82684
258.3356, 27.41589
258.8177, 25.67865
259.2999, 28.39954
259.7820, 34.72375
260.2641, 39.14240
260.7462, 35.26135
261.2283, 19.93756
261.7104, 10.20758
262.1926, 5.756897
262.6747, 6.208618
263.1568, 14.25464
263.6389, 27.17847
264.1210, 38.91565
264.6031, 42.14990
265.0853, 34.42310
265.5674, 30.45972
266.0495, 29.63434
266.5316, 32.62744
267.0138, 43.33398
267.4959, 59.19879
267.9780, 71.53760
268.4601, 71.14587
268.9422, 54.15295
269.4243, 44.41791
269.9065, 46.88458
270.3886, 52.21606
270.8707, 55.54449
271.3528, 56.68787
271.8349, 58.36896
272.3170, 63.38403
272.7992, 72.59882
273.2813, 77.34302
273.7634, 73.56519
274.2455, 70.16962
274.7276, 71.53705
275.2097, 77.20911
275.6919, 84.39832
276.1740, 90.97339
276.6561, 97.02875
277.1382, 101.4265
277.6203, 101.1163
278.1024, 102.4969
278.5846, 110.5780
279.0667, 123.2163
279.5488, 133.6669
280.0309, 136.4583
280.5130, 131.4020
280.9951, 129.1301
281.4773, 133.2433
281.9594, 135.3343
282.4415, 130.4646
282.9236, 121.5463
283.4057, 116.6423
283.8878, 122.0926
284.3700, 137.0563
284.8521, 145.3456
285.3342, 139.0904
285.8163, 135.4866
286.2984, 142.1465
286.7805, 155.4855
287.2627, 167.3644
287.7448, 172.4318
288.2269, 171.7606
288.7090, 172.9512
289.1911, 181.8431
289.6732, 185.8497
290.1554, 178.1276
290.6375, 163.9164
291.1196, 151.7219
291.6017, 146.0706
292.0838, 126.3549
292.5659, 149.0283
293.0481, 160.8685
293.5302, 162.4526
294.0123, 123.1934
294.4944, 136.6007
294.9765, 128.9174
295.4586, 120.4738
295.9408, 141.4465
296.4229, 108.2598
296.9050, 128.8138
297.3871, 127.9133
297.8692, 136.6876
298.3513, 124.2807
298.8335, 118.4219
299.3156, 133.8155
299.7977, 137.5045
300.2798, 122.5363
300.7619, 131.9768
301.2440, 97.96765
301.7262, 102.1268
302.2083, 122.6905
302.6904, 108.8556
303.1725, 118.7281
303.6546, 119.6107
304.1367, 79.52704
304.6189, 110.6431
305.1010, 85.48883
305.5831, 76.49829
306.0652, 69.90759
306.5473, 68.39618
307.0294, 72.50128
307.5116, 80.19489
307.9937, 90.10889
308.4758, 111.0880
308.9579, 112.4153
309.4400, 78.50696
309.9221, 40.16333
310.4043, 13.46429
310.8864, 1.872070
311.3685, 2.367798
311.8506, 14.21796
312.3327, 44.42621
312.8148, 57.79370
313.2970, 41.99548
313.7791, 22.58362
314.2612, 8.166382
314.7433, 1.151428
315.2254, 1.055969
315.7076, 9.106445
316.1897, 26.52057
316.6718, 37.74548
317.1539, 41.97852
317.6360, 40.92560
318.1181, 31.81189
318.6003, 17.52112
319.0824, 3.250549
319.5645, 8.045471
320.0466, 16.02667
320.5287, 14.55841
321.0108, 12.48212
321.4930, 31.75244
321.9751, 32.07532
322.4572, 20.29596
322.9393, 6.909973
323.4214, 2.313049
323.9035, 7.778381
324.3857, 10.89111
324.8678, 10.52759
325.3499, 9.179688
325.8320, 9.940063
326.3141, 9.252502
326.7962, 1.965698
327.2784, 14.68335
327.7605, 35.77136
328.2426, 51.34369
328.7247, 60.93225
329.2068, 65.21759
329.6889, 62.62140
330.1711, 56.49084
330.6532, 48.73883
331.1353, 39.92755
331.6174, 31.34277
332.0995, 24.71820
332.5816, 20.18756
333.0638, 17.08167
333.5459, 15.29944
334.0280, 14.99255
334.5101, 17.11212
334.9922, 21.56830
335.4743, 26.07410
335.9565, 27.08167
336.4386, 24.35382
336.9207, 26.21362
337.4028, 39.31982
337.8849, 51.60828
338.3671, 56.13342
338.8492, 53.18475
339.3313, 46.62695
339.8134, 35.99713
340.2955, 22.96045
340.7776, 17.35144
341.2598, 23.58069
341.7419, 31.19641
342.2240, 35.14569
342.7061, 35.41437
343.1882, 31.60846
343.6703, 18.02246
344.1525, 1.244141
344.6346, 2.913452
345.1167, 9.103882
345.5988, 22.05212
346.0809, 26.38153
346.5630, 25.17371
347.0452, 22.28925
347.5273, 17.17798
348.0094, 12.15460
348.4915, 9.264038
348.9736, 8.470642
349.4557, 11.28815
349.9379, 22.72607
350.4200, 36.23004
350.9021, 39.27258
351.3842, 26.43707
351.8663, 11.41260
352.3484, 2.135376
352.8306, 1.969360
353.3127, 2.625061
353.7948, 0.7261350
354.2769, 5.711670
354.7590, 8.021973
355.2411, 7.248535
355.7233, 5.861267
356.2054, 2.405396
356.6875, 0.6268310
357.1696, 2.256470
357.6517, 13.21899
358.1339, 26.36279
358.6160, 34.04053
359.0981, 35.61322
359.5802, 35.51074
360.0623, 30.26465
360.5444, 25.84705
361.0266, 30.18066
361.5087, 43.52460
361.9908, 56.83960
362.4729, 62.22229
362.9550, 58.90356
363.4371, 51.09363
363.9193, 29.96027
364.4014, 12.72546
364.8835, 11.99573
365.3656, 23.88672
365.8477, 34.86249
366.3298, 35.30804
366.8120, 26.91278
367.2941, 25.13147
367.7762, 39.64270
368.2583, 49.14423
368.7404, 43.54681
369.2225, 31.48047
369.7047, 25.70020
370.1868, 32.04987
370.6689, 46.62061
371.1510, 60.37061
371.6331, 82.67279
