##NAMES=Waylandite
##RRUFFID=R130361
##IDEAL CHEMISTRY=Bi^3+^Al_3_(PO_4_)_2_(OH)_6_
##LOCALITY=Ngussa, Kivu, Zaire
##OWNER=RRUFF
##SOURCE=Rock Currier
##DESCRIPTION=Colorless to pale brown crystals, associated with prismatic dark brown or bluish fluor-dravite
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R130361
239.7820, 0.0000000E+00
240.2642, 6.3293003E-02
240.7463, 0.8322140
241.2284, 2.216125
241.7105, 3.207581
242.1926, 3.598328
242.6747, 3.745300
243.1569, 3.571472
243.6390, 2.956726
244.1211, 2.864136
244.6032, 3.552124
245.0853, 4.511780
245.5674, 5.146423
246.0496, 5.285461
246.5317, 5.428894
247.0138, 5.763611
247.4959, 6.348999
247.9780, 6.562012
248.4601, 6.158020
248.9423, 5.660339
249.4244, 5.715088
249.9065, 6.767456
250.3886, 7.505371
250.8707, 7.466553
251.3528, 6.587524
251.8350, 6.459473
252.3171, 7.465027
252.7992, 8.799133
253.2813, 9.601074
253.7634, 9.548523
254.2455, 9.622742
254.7277, 10.04510
255.2098, 10.81470
255.6919, 11.50653
256.1740, 11.97406
256.6561, 12.55023
257.1382, 13.59827
257.6204, 15.38983
258.1025, 16.98694
258.5846, 18.19342
259.0667, 19.02051
259.5488, 19.70764
260.0309, 20.31384
260.5131, 20.69257
260.9952, 20.75903
261.4773, 20.42645
261.9594, 19.81366
262.4415, 18.97638
262.9236, 18.00000
263.4058, 17.02667
263.8879, 15.92078
264.3700, 15.02911
264.8521, 14.34705
265.3342, 14.12646
265.8163, 14.05267
266.2985, 13.65869
266.7806, 13.21637
267.2627, 12.79224
267.7448, 12.28174
268.2269, 11.88019
268.7090, 11.97406
269.1912, 12.41357
269.6733, 12.20300
270.1554, 11.01642
270.6375, 8.920044
271.1196, 8.717712
271.6017, 11.41272
272.0839, 14.90338
272.5660, 17.26038
273.0481, 18.45667
273.5302, 18.04175
274.0123, 15.50513
274.4944, 11.88812
274.9766, 9.886230
275.4587, 9.803467
275.9408, 10.09747
276.4229, 9.853760
276.9050, 8.926697
277.3871, 8.290405
277.8693, 8.104248
278.3514, 8.263550
278.8335, 8.623474
279.3156, 9.277100
279.7977, 9.678528
280.2798, 9.414368
280.7620, 8.442078
281.2441, 7.206116
281.7262, 5.526367
282.2083, 3.937073
282.6904, 3.588562
283.1725, 4.555176
283.6547, 5.567078
284.1368, 6.111450
284.6189, 6.183228
285.1010, 5.676514
285.5831, 4.415710
286.0652, 3.060181
286.5474, 2.769958
287.0295, 3.519714
287.5116, 4.056335
287.9937, 3.485168
288.4758, 2.108459
288.9579, 1.928040
289.4401, 3.157776
289.9222, 4.502808
290.4043, 3.981384
290.8864, 1.871521
291.3685, 0.4171140
291.8506, 0.9836430
292.3328, 2.782959
292.8149, 3.365540
293.2970, 2.665344
293.7791, 1.627075
294.2612, 1.215820
294.7433, 1.293396
295.2255, 1.324219
295.7076, 1.152527
296.1897, 0.8105470
296.6718, 0.2440190
297.1539, 0.5389400
297.6360, 1.095581
298.1182, 1.028076
298.6003, 0.5891110
299.0824, 0.4547120
299.5645, 1.030273
300.0466, 1.751465
300.5287, 1.674072
301.0109, 0.9057010
301.4930, 0.1910400
301.9751, 1.1536000E-02
302.4572, 0.2177120
302.9393, 0.8546750
303.4214, 2.151306
303.9036, 3.370850
304.3857, 3.637817
304.8678, 3.119080
305.3499, 2.426636
305.8320, 1.883667
306.3141, 1.392578
306.7963, 0.8258670
307.2784, 0.1022950
307.7605, 0.5501100
308.2426, 0.9554440
308.7247, 1.137817
309.2068, 1.161011
309.6890, 0.8593140
310.1711, 0.5020750
310.6532, 0.3302000
311.1353, 0.3820190
311.6174, 0.4700320
