##NAMES=Zharchikhite
##RRUFFID=R061136
##IDEAL CHEMISTRY=Al(OH)_2_F
##LOCALITY=Zharchikha deposit, Buryatia, Russia
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=White granular massive, co-type material
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R061136
107.2725, 0.0000000E+00
107.7546, 122.9812
108.2368, 256.6609
108.7189, 395.3691
109.2010, 517.4417
109.6831, 663.8823
110.1652, 747.3921
110.6473, 769.6973
111.1295, 795.6179
111.6116, 890.9590
112.0937, 916.9211
112.5758, 797.6797
113.0579, 610.3223
113.5400, 437.8140
114.0222, 279.3999
114.5043, 135.3188
114.9864, 7.606445
115.4685, 120.2695
115.9506, 212.4810
116.4327, 255.9287
116.9149, 258.3438
117.3970, 219.2432
117.8791, 142.0361
118.3612, 27.40430
118.8433, 124.0449
119.3254, 312.8154
119.8076, 537.4375
120.2897, 799.3730
120.7718, 1089.055
121.2539, 1418.839
121.7360, 1803.190
122.2181, 2224.523
122.7003, 2653.041
123.1824, 3076.632
123.6645, 3499.362
124.1466, 3924.609
124.6287, 4341.215
125.1108, 4772.879
125.5930, 5230.068
126.0751, 5716.098
126.5572, 6248.166
127.0393, 6855.883
127.5214, 7510.533
128.0035, 8136.504
128.4857, 8713.461
128.9678, 9273.076
129.4499, 9850.314
129.9320, 10449.12
130.4141, 11064.43
130.8962, 11708.21
131.3784, 12372.07
131.8605, 12968.12
132.3426, 13457.29
132.8247, 13871.14
133.3068, 14295.81
133.7889, 14746.71
134.2711, 15178.92
134.7532, 15538.34
135.2353, 15814.77
135.7174, 16066.43
136.1995, 16314.25
136.6816, 16560.34
137.1638, 16768.83
137.6459, 16930.63
138.1280, 17065.98
138.6101, 17197.92
139.0922, 17332.52
139.5743, 17458.49
140.0565, 17568.33
140.5386, 17650.47
141.0207, 17763.58
141.5028, 17912.27
141.9849, 18091.03
142.4670, 18297.31
142.9492, 18544.09
143.4313, 18793.41
143.9134, 19006.33
144.3955, 19136.68
144.8776, 19327.75
145.3597, 19633.59
145.8419, 20037.49
146.3240, 20374.38
146.8061, 20585.21
147.2882, 20765.94
147.7703, 20990.27
148.2524, 21311.39
148.7346, 21623.94
149.2167, 21926.49
149.6988, 22236.95
150.1809, 22460.04
150.6630, 22532.11
151.1452, 22538.00
151.6273, 22575.54
152.1094, 22724.49
152.5915, 22839.54
153.0736, 22871.29
153.5557, 22776.61
154.0379, 22680.27
154.5200, 22591.16
155.0021, 22510.18
155.4842, 22441.02
155.9663, 22402.74
156.4484, 22363.77
156.9306, 22306.65
157.4127, 22221.81
157.8948, 22128.65
158.3769, 22016.67
158.8590, 21896.45
159.3411, 21806.46
