##NAMES=Zincolibethenite
##RRUFFID=R060763
##IDEAL CHEMISTRY=Cu^2+^Zn^2+^P^5+^O_4_(OH)
##LOCALITY=Kabwe mine, Kabwe, Zambia
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Pale greenish-blue botryoidal groups of radiating crystals, associated with colorless tarbuttite
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R060763
125.7902, 0.0000000E+00
126.2723, 5.050964
126.7544, 3.559692
127.2365, 0.1871340
127.7187, 2.100525
128.2008, 3.571106
128.6829, 2.988464
129.1650, 1.734070
129.6471, 2.286377
130.1292, 6.057251
130.6114, 12.56738
131.0935, 16.52295
131.5756, 15.16504
132.0577, 12.81287
132.5398, 10.09326
133.0219, 7.462097
133.5041, 5.420593
133.9862, 4.392822
134.4683, 4.722778
134.9504, 4.798279
135.4325, 3.929993
135.9146, 3.088623
136.3968, 2.669861
136.8789, 2.878357
137.3610, 3.743958
137.8431, 5.550720
138.3252, 8.653625
138.8073, 11.75299
139.2895, 13.86401
139.7716, 15.65051
140.2537, 18.77264
140.7358, 24.25598
141.2179, 29.23792
141.7000, 29.23438
142.1821, 24.79657
142.6643, 20.38074
143.1464, 17.46844
143.6285, 15.58917
144.1106, 13.68909
144.5927, 11.28156
145.0748, 9.384949
145.5570, 9.158325
146.0391, 10.92432
146.5212, 13.24780
147.0033, 14.95502
147.4854, 15.99182
147.9675, 16.65326
148.4497, 17.08325
148.9318, 16.85468
149.4139, 15.63281
149.8960, 13.55811
150.3781, 10.95813
150.8602, 8.408630
151.3424, 5.581177
151.8245, 4.153931
152.3066, 4.363037
152.7887, 5.351074
153.2708, 6.850708
153.7529, 8.666626
154.2351, 10.93610
154.7172, 13.18329
155.1993, 14.30817
155.6814, 15.76682
156.1635, 17.71506
156.6456, 19.44397
157.1278, 20.47321
157.6099, 20.90610
158.0920, 20.69968
158.5741, 19.55472
159.0562, 16.14850
159.5383, 13.48929
160.0205, 12.74670
160.5026, 13.46054
160.9847, 14.52966
161.4668, 15.41006
161.9489, 16.03607
162.4310, 16.01120
162.9131, 13.88794
163.3953, 12.37347
163.8774, 14.04315
164.3595, 18.52615
164.8416, 21.89578
165.3237, 21.00659
165.8058, 17.30157
166.2880, 14.38797
166.7701, 12.89261
167.2522, 12.19611
167.7343, 11.70975
168.2164, 11.47382
168.6985, 11.37976
169.1807, 11.03210
169.6628, 10.76914
170.1449, 11.14008
170.6270, 12.64975
171.1091, 14.75977
171.5912, 16.34555
172.0734, 17.66092
172.5555, 17.78156
173.0376, 15.61438
173.5197, 12.40799
174.0018, 10.00034
174.4839, 9.770752
174.9661, 11.23596
175.4482, 11.67740
175.9303, 10.40082
176.4124, 8.782440
176.8945, 6.747162
177.3766, 4.665070
177.8588, 3.161926
178.3409, 2.720062
178.8230, 3.339783
179.3051, 3.425140
179.7872, 2.508514
180.2693, 1.552795
180.7515, 0.8934940
181.2336, 0.4461980
181.7157, 9.6923999E-02
182.1978, 1.082794
182.6799, 2.638031
183.1620, 3.893158
183.6441, 3.695221
184.1263, 3.503235
184.6084, 3.612152
185.0905, 3.992950
185.5726, 4.238617
186.0547, 4.088348
186.5368, 3.488251
187.0190, 2.765442
187.5011, 1.697784
187.9832, 0.6297610
188.4653, 0.1100160
188.9474, 0.4953920
189.4296, 0.8616030
189.9117, 1.670410
190.3938, 2.885742
190.8759, 3.479553
191.3580, 2.573486
191.8401, 1.364288
192.3223, 1.257324
192.8044, 2.513519
193.2865, 4.331360
193.7686, 6.302551
194.2507, 8.312134
194.7328, 9.860046
195.2150, 10.39194
195.6971, 10.43634
196.1792, 11.21100
196.6613, 13.26962
197.1434, 15.03534
197.6255, 15.04929
198.1077, 13.83826
198.5898, 12.71597
199.0719, 12.10779
199.5540, 12.07730
200.0361, 12.99768
200.5182, 15.43039
201.0004, 18.08902
201.4825, 20.44153
201.9646, 22.47174
202.4467, 24.12854
202.9288, 25.09583
203.4109, 25.47430
203.8930, 26.78271
204.3752, 29.95560
204.8573, 33.15002
205.3394, 36.15656
205.8215, 38.66858
206.3036, 40.09598
206.7857, 39.64050
207.2679, 37.15268
207.7500, 35.56018
208.2321, 35.29892
208.7142, 35.60669
209.1963, 36.86832
209.6784, 38.61703
210.1606, 39.77359
210.6427, 39.17050
211.1248, 36.45486
211.6069, 35.20474
212.0890, 36.58636
212.5711, 38.19485
213.0533, 39.33487
213.5354, 39.87943
214.0175, 39.86148
214.4996, 39.24493
214.9817, 37.89743
215.4638, 36.87949
215.9460, 36.21359
216.4281, 35.76657
216.9102, 35.35822
217.3923, 35.03781
217.8744, 35.12564
218.3565, 36.08029
218.8387, 38.10327
219.3208, 38.89972
219.8029, 37.26694
220.2850, 35.52377
220.7671, 35.58884
221.2492, 37.27792
221.7314, 38.37915
222.2135, 36.67563
222.6956, 31.93805
223.1777, 28.82187
223.6598, 27.96811
224.1419, 28.19504
224.6240, 29.05417
225.1062, 30.44208
